　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-01-11,6306,17266,44848,54577,29786,17067,13463,4741,3508,17461,3005,4979,7943,11698,14312,20124,18932,6801,10218,3919,9794,9511,6170,37842,2471,13960,12499,18975,25433,20690,11538,34849,21603,38083,32816,12027,40466,30244,28910,24816,26320,167861,46086,24704,27803,30482,39221,34311,27275,14833,35879,8457,10822,21216,7266,4099,3809,14817,10606,13464,47273,9475,15089,8308,24278,28556,35131,44000,47528,28542,34624,82456,25919,39261,42092,25887,73110,22789,19096,16158,20642,16070,37832,21065,9349,14625,43464,30927,26707,29074,15300,12147,6249,5743,7187,11414,10630,16683,19858,32805,29321,15866,13550,13774,14076,13393,12268,11094
2019-01-12,4873,11716,27017,54834,18295,12196,9657,4138,2843,10978,2170,3313,8845,8058,14015,6383,8162,4722,9510,3825,6681,7155,2894,29728,2041,12188,10093,14994,19016,17359,9859,32946,19650,30056,26510,5978,35104,24861,22897,20234,12976,171630,47416,21248,20665,29358,38584,30384,22137,10296,27443,6966,7884,17391,7462,3482,2147,10305,9068,12038,43917,6927,12973,6997,19468,19941,33154,40865,36969,23300,34942,86528,17796,37476,37209,22313,67267,17723,15900,10260,15745,11337,38392,15538,10336,12795,22423,19964,19046,22287,10293,9543,4990,3072,6600,9042,9999,14572,15128,23854,25694,12533,11097,11968,10905,11341,8804,8956
2019-01-13,4533,9059,21455,43828,15022,9418,7521,3553,2311,7810,1853,3046,9080,7077,11257,4947,6005,3874,7647,3330,5255,5581,2507,21763,1949,11518,8297,12581,15472,15163,8452,27362,15946,22771,22444,4914,29206,20421,18854,17147,12319,166369,39555,16499,19579,31736,32932,26009,20613,8137,21289,5844,7315,15422,7725,2737,1986,8132,7828,11630,42013,6507,11745,5839,16713,15967,27942,38474,30719,19308,31537,75025,15170,31367,27980,17762,55634,14151,13139,8180,14494,9949,32353,11986,11793,10610,17645,16349,14834,19161,7656,7416,4331,2371,5562,6904,8444,12630,13144,20436,22666,10282,9011,9620,9042,9904,7451,7335
2019-01-14,5421,15639,41784,46149,27641,14612,12212,4243,3179,14938,2650,4530,6172,8854,11170,17404,17872,5916,9094,3480,8168,8542,5850,30074,2259,13015,11293,16992,22035,16661,9950,27730,17955,33972,28624,10257,36524,27436,26252,22224,26240,146258,39151,23757,25729,27104,32369,27713,24301,13694,31819,7616,9182,18339,6255,3775,3422,10376,9410,11850,38821,8559,13667,7730,22565,25541,31078,37840,43008,25941,32477,69738,23672,32528,36075,22264,63815,20646,17138,14760,18051,14849,35345,18816,8322,12967,40304,25915,24933,26622,9016,11220,5388,5161,6309,10149,9685,14589,18313,29743,25641,14842,12670,12180,12957,12189,10314,9929
2019-01-15,5271,16020,42638,47171,28543,14969,12452,4393,3457,15127,2663,4663,7677,8946,12217,17883,18442,5964,9237,3536,8211,8791,6054,30849,2373,13289,11285,17015,22875,16657,10370,27896,18680,34478,30396,10582,37711,28430,27160,22997,26964,140710,40466,23525,25520,28048,33623,29442,24613,14022,32459,7729,10173,18643,7250,3780,3699,11645,9484,11780,37604,8656,13483,7600,22983,26443,32669,38669,44437,26541,32090,69998,24557,33430,37010,23491,64158,22113,17323,15102,18193,15014,33824,19368,8764,13078,40816,26242,25689,26689,8751,11088,5444,5218,6299,10582,9851,13997,18553,30497,26466,14748,12860,12512,13230,12449,10240,10048
2019-01-16,5417,16706,43566,49206,29121,15855,13016,4537,3361,15516,2667,4534,5863,8921,12515,18640,18856,5944,9494,3191,8566,8902,6865,30689,2429,12870,11498,17260,23510,16991,10666,28241,18990,35788,29821,10741,38270,27777,27626,23095,26406,142961,42211,23854,25924,26270,30459,27522,24378,14027,32195,7862,10095,17971,6697,3877,3561,11221,9310,10008,32363,8556,13198,7772,23139,26609,32149,39661,45221,27298,30999,70246,26157,33756,37768,24060,66352,22597,17836,15128,18706,13799,34220,19666,7930,12800,42864,27318,26876,26030,8736,11049,5478,5488,6549,10911,10291,13984,19342,30786,26903,15051,12732,12919,13802,12628,10065,10035
2019-01-17,5394,16455,43304,49392,29074,15704,12778,4533,3384,15666,2694,4766,7119,9241,12694,18273,18499,6263,9526,3401,8307,8984,6375,34545,2420,12951,11531,17371,23657,16733,10490,28845,19230,35212,30018,10390,38159,28931,27477,23205,26005,144306,41867,23765,25851,27720,33543,28366,24875,13898,32371,7997,10208,18543,7463,3965,3616,11604,9354,10234,33426,8724,13389,7749,23423,26154,32735,39241,45347,27400,31983,71472,24784,34693,38870,24179,66252,21936,17675,15471,19164,14839,37673,20030,8257,13313,42543,27922,26194,27454,8652,11083,5676,5295,6590,10733,10123,14317,19246,31164,26502,15076,13187,12766,13593,12729,10304,10270
2019-01-18,6473,17972,45515,57797,29797,16753,13450,4709,3676,17297,3015,5143,9258,10756,16312,18801,19782,7051,10957,4095,9274,10412,6590,37845,2885,14658,12731,19382,25126,19075,11450,33112,21224,36674,34014,10505,41450,31173,29497,25019,27015,167983,47593,26199,27392,31551,39607,33427,28000,14861,35296,8603,11111,20994,8066,4255,3835,12296,10589,12646,42165,9615,15163,8424,25683,27480,37153,45822,49311,29236,35359,92090,25837,37924,44003,26742,75575,23889,19724,16186,22157,16323,41957,21130,10139,14648,43467,29586,27387,29287,9413,12661,6286,5852,7416,11387,11816,16498,19941,32444,29311,16615,14423,14798,14887,13810,10977,11235
2019-01-19,5713,15552,37479,57672,22246,13203,11401,4606,3329,12827,2659,3831,10880,8643,14566,13217,13523,5056,10417,4043,8295,8408,5512,50684,2371,13807,12024,16956,21076,17829,11035,30669,20280,33778,35966,7752,38954,28793,27582,23778,17127,176340,48496,23479,23917,31337,39058,31073,25092,11773,29899,7854,8686,19796,7097,3981,2176,9634,10238,13669,46602,9056,14829,8056,22586,23673,35020,45716,43477,27581,35232,87540,20320,38072,40989,26227,74489,20389,17629,14060,20421,14709,44442,18767,11588,15644,35253,21824,23477,27218,8257,11561,5655,4704,7526,9890,10808,16386,17581,29408,27457,15048,12929,13528,13289,12747,10387,10624
2019-01-20,4726,9828,21123,46473,14351,9069,7962,3749,2520,8097,1740,2661,8372,5981,11557,5424,7238,3622,8016,3148,5421,6201,3148,43921,2194,11021,8872,13270,15118,15958,8895,26767,16609,24522,31557,4494,30296,21627,20045,17905,11346,168869,40552,17779,19429,26502,33135,25439,21110,8139,21882,5832,6239,15338,7281,3061,1721,7676,7663,11720,36766,6716,11482,6113,16762,16430,28625,39041,32362,20772,31444,78899,14148,32112,30852,19613,58940,15203,14144,8552,17238,9151,37602,12435,10781,12893,17557,14832,15766,18797,6551,8445,4259,2352,5782,7289,8939,14075,13080,20272,23132,10697,9788,10231,9788,9882,7393,7812
