　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2021-03-01,3192,7431,17416,34226,11608,8015,6930,3504,2056,7489,1894,3423,10607,5019,8903,4645,5640,3494,8302,4917,4692,5708,2139,15280,3660,13637,8448,11772,15152,12065,7484,24609,12466,19288,14687,3609,25662,17870,18315,15130,7764,143010,36525,15102,15255,22873,24836,34935,17091,9253,19327,5748,6139,14659,6579,2972,2270,8877,7688,10122,42007,5828,10634,5522,15464,16071,24100,31669,26649,17647,24055,60982,9601,23951,22881,12588,46157,12365,11525,7222,15719,10325,20960,10984,11487,8277,14073,10112,11506,15000,6464,7103,4278,2052,6122,6401,7803,11460,10149,15989,16592,9606,8287,8317,8478,8553,6830,7201,718,2133,2428,3714,1017,1110,1587,9299,1685,2817,2443
2021-03-02,4018,15378,41759,39498,27177,16056,12268,4444,3576,13759,2779,4752,4421,10549,10264,19711,19357,6145,9723,3224,9035,8915,7282,29818,3312,12989,12339,17278,24960,17537,10573,27831,17567,34641,25499,12058,36382,26613,27611,21619,25328,123268,37229,19424,24342,25510,26810,29568,23844,13684,31370,7465,9618,17601,5223,3899,3600,13092,9160,11284,30702,10088,12968,7853,22725,27140,30774,34486,41347,26037,26231,54961,22921,31160,31704,19408,57670,21292,16484,14569,19193,14375,24852,19573,8613,11279,39514,23562,24882,23964,14659,11823,6320,5572,6709,11108,9911,13879,17689,29597,22772,15580,12331,12702,13418,12060,12364,10666,1754,2454,3614,4789,2248,3449,2997,7636,2141,3681,4168
2021-03-03,3837,15198,42210,40984,26994,15593,12163,4279,3493,13708,2780,4707,4889,10719,10674,19544,19321,6299,9861,3518,9219,8821,6967,30458,3212,13330,12550,17496,25742,17528,10699,28356,17867,35210,26584,11898,36062,26709,27274,22032,24485,116021,39361,19516,24870,25772,27528,33098,24363,13837,32185,7528,9634,18669,5514,3853,3678,13455,9584,11405,32014,10057,13171,8128,23121,27190,31013,34320,41554,26373,27101,56459,23132,31635,32288,19568,57982,21094,16554,14745,18881,14987,24959,19488,9091,11733,39767,23621,25022,23882,14284,11873,6473,5580,6603,10865,9561,13762,17696,29390,23003,15497,12548,12569,13156,12041,12439,10959,1538,2412,3459,4614,2275,3427,2868,7115,2170,3614,4281
2021-03-04,3886,15299,42005,41249,26967,15648,12517,4408,3617,13639,2820,4673,5082,10730,11204,19404,19358,6353,10030,3618,9013,8762,6961,30918,3346,13581,12746,17406,25745,17814,10660,29047,17973,35194,26947,11847,36193,26965,27541,21925,23595,119164,39981,19645,25080,25808,28329,35553,24624,13648,31746,7599,9731,18677,5555,4070,3594,13388,9387,11776,33482,10118,13169,8093,23149,27305,31196,34668,41658,26423,27577,57368,23250,32388,33271,19593,59137,21138,16449,15090,19320,15110,25430,19708,9509,11422,39881,23556,24685,24094,14564,11791,6279,5602,6770,10820,9617,13987,17702,29413,23416,15700,12515,12533,13163,12070,12489,10760,1532,2316,3489,4678,2281,3442,2918,7306,2157,3624,4245
2021-03-05,4384,15685,43993,46773,28605,16572,13031,4596,3791,15430,2987,4993,6084,11160,12407,20012,20049,7018,10685,3875,10034,9511,6990,32654,3458,14682,13524,19019,27513,19157,11393,33176,20099,37195,28878,11931,38626,28486,29035,22703,24310,140452,46195,20658,26393,28923,30981,40206,26947,14593,34667,8011,10318,20769,5971,4428,3691,14263,10103,13338,39059,10652,14364,8716,24451,28160,33504,39592,44330,28045,29399,67271,24546,35373,37133,21730,67144,22349,17906,16012,21624,15856,28778,20988,10620,12701,40610,24737,26073,25849,16535,12974,6853,5809,7215,11390,10495,16154,18670,30796,25551,16209,13257,13402,13858,12696,13454,11683,1623,2548,3600,4941,2418,3549,2955,8642,2369,3875,4668
2021-03-06,2138,9559,24617,45410,17040,13033,8522,3767,2618,8512,1823,2955,4301,7573,9653,5563,7393,4003,8878,2836,5804,6341,2479,16907,3919,10417,9718,14091,18254,13908,9156,28215,16233,27697,18101,4999,29833,20486,20549,16483,10346,134948,44646,15394,16638,21996,22250,24973,18517,9084,21958,6236,6038,14379,5191,3042,1665,7757,7189,9169,26147,5944,9937,6315,16468,16836,27834,33560,31687,20915,23508,68332,14756,29450,30499,16824,53423,15810,13938,8399,14973,8371,21393,13756,8819,9264,18662,19880,14802,15507,8940,7727,4623,2567,5203,7594,8898,12092,12879,19126,20036,10942,8994,10014,9708,9457,7439,8013,804,2242,3035,4684,1043,1334,2052,7443,1843,2971,2579
2021-03-07,2539,7232,18552,35121,12440,9974,6595,3359,2283,6536,1671,2508,4082,5422,8544,3916,6225,3284,6958,2725,4734,5160,2188,14284,3570,10079,8446,11505,14906,12194,7689,24807,13627,22293,15505,3512,25416,17174,17328,14660,8574,130303,36977,11558,15965,22675,20915,24436,16517,7598,18320,5316,5311,13975,5385,2691,1377,7210,6633,8509,27175,5874,9407,5418,14632,13597,24299,31037,26247,17662,22944,62241,12371,25877,23432,13121,44732,12972,11389,7043,14031,7644,17296,10359,9898,8002,14123,17164,11567,13691,6390,6706,4250,2143,4828,6037,7550,11169,10320,15460,17576,9498,7813,8445,7917,8290,6615,6633,646,1952,2548,3877,1031,1176,1618,8524,1608,2606,2334
2021-03-08,3787,14832,40910,39099,26578,14950,12148,4296,3504,13801,2646,4600,4434,10090,10940,18863,18972,6144,9567,3525,8909,8686,6784,30127,3145,13300,12480,16974,24880,17143,10351,26947,16888,33356,24854,11375,35421,25947,27025,21607,24563,122025,37707,19219,24114,25046,26906,27754,23442,13728,31750,7331,9493,18303,5116,3960,3358,14236,9305,11412,32201,9983,13136,8118,22749,26835,30451,35087,40708,25645,26687,55460,22037,30037,31324,18833,57445,20449,16327,14624,19300,14685,24359,18595,8858,11194,38376,22877,24413,23723,13992,11355,6266,5387,6528,10613,9330,13745,17651,28594,22101,15448,12236,12199,12984,11809,12290,10488,1613,2362,3450,4686,2257,3333,2855,7675,2086,3603,4163
2021-03-09,3797,15313,41616,40432,27519,15737,12433,4417,3558,13992,2879,4726,5568,10574,10824,19342,19343,6241,9972,3669,9047,8959,7167,30634,3254,13816,12482,17232,25059,17493,10582,28525,17998,34570,25923,11629,36163,26671,27277,21926,24867,114647,38515,19641,24905,26507,27875,29448,24442,14067,31744,7564,9755,18856,5380,3963,3535,14296,9504,11761,33143,10097,12820,8068,23102,27179,31083,34754,41290,26262,27258,56936,23369,31167,32778,19811,57866,21487,16679,14613,19197,15006,24656,19519,9633,11207,38790,23537,24836,24193,14347,11550,6349,5528,6692,10705,9710,13937,18063,29033,23266,15484,12428,12476,13104,11886,12509,10679,1682,2373,3440,4599,2330,3442,2899,7139,2157,3601,4261
2021-03-10,3953,15345,42650,42047,27603,15866,12410,4377,3567,14062,2878,4757,5567,10747,11289,19433,19723,6307,10133,3707,9078,8997,6707,30763,3218,13511,12745,17660,25655,18021,10618,29770,18138,35460,26854,11873,36416,27095,27633,22210,24434,118354,40020,19801,25561,27050,28706,30353,24713,13893,32606,7667,9858,19000,5564,4077,3600,14832,9638,11906,34045,10233,13376,8261,23237,27355,31638,35622,42058,26506,27669,58437,23981,32301,33147,20088,58888,21368,16939,14830,19542,15156,24966,19613,9821,11803,39623,23526,25160,24320,14385,11791,6444,5606,6844,11018,9898,14271,18126,29821,23731,15769,12681,12756,13283,12147,12576,11050,1564,2296,3432,4650,2316,3480,2948,7415,2191,3686,4170
2021-03-11,4193,15529,42208,42572,27651,15790,12568,4440,3602,14032,2840,4859,6234,10672,11514,19528,19283,6389,10149,4060,9120,8937,6677,31112,3380,13938,12720,17432,25518,17903,10610,29754,17878,35253,26640,11719,36619,27073,27406,22196,23933,121047,41043,19650,25526,27931,29030,31237,24951,13881,32332,7641,9805,19472,5593,4133,3593,14867,9604,12441,36154,10097,13462,8303,23297,26996,31611,35810,41821,26528,27927,58396,23505,32313,33543,20790,59794,21231,16543,14929,19503,15405,25680,20051,10726,11723,39727,23419,24976,24432,14477,11480,6236,5514,6890,10937,9714,14213,17837,29387,23886,15663,12726,12568,13290,12200,12539,11004,1602,2390,3473,4704,2319,3344,2872,7424,2204,3633,4217
2021-03-12,4577,16018,43708,48303,29767,16615,13346,4628,3923,15491,2956,5075,6391,11393,12701,20352,20225,7006,10908,3880,10030,9528,6737,32203,3646,14303,13293,18585,26648,19164,11351,34008,19785,35188,29026,11879,38162,28625,28751,22977,23953,145613,47005,20724,26802,30189,31514,33009,26909,14405,34261,8236,10149,21059,6329,4161,3666,16093,10197,13478,39956,10535,14561,8675,24291,27722,34223,40550,44560,27890,29608,68144,25332,34855,37411,22625,68226,22951,17705,15860,22225,16018,27577,21149,10654,12590,40000,24591,26087,25876,15609,12111,6736,5706,7512,11223,10514,16106,18907,31148,25985,16236,13138,13296,13860,12793,13378,11552,1691,2575,3680,4949,2359,3649,3006,9014,2255,4004,4568
2021-03-13,2532,10117,24430,45911,17757,12089,9071,4464,2983,9383,2247,4093,8964,7074,10808,6187,7440,4272,9859,3966,6332,6866,2351,18269,3525,12748,10737,15047,18779,16447,9712,31260,17315,28873,20524,5064,32236,22666,22798,18289,10994,144059,47804,16742,18871,40946,28842,30390,22017,10312,24721,6975,7404,17672,6939,4432,1992,10170,8553,11703,39257,6887,11593,6996,18858,18234,31039,35482,33787,22661,29909,73741,16328,33533,32252,17865,56386,16300,14685,10355,20300,11129,21785,14380,14301,10814,18805,15148,14921,18072,9278,9086,5159,2679,6839,9082,9630,13849,14048,21435,22583,12232,10283,10859,10690,10446,8446,8929,839,2394,2949,4508,1254,1489,2210,7526,2079,3235,2886
2021-03-14,2606,7756,18614,35783,13799,9623,7031,3950,2501,6529,1874,3227,9155,5430,9856,4644,5922,3396,8045,3960,4980,5566,2004,15153,3416,13093,8804,12255,14981,13664,8289,28351,15201,22611,17494,4022,26710,18628,18794,16056,9539,148030,38143,12251,17943,36689,24772,25576,18295,8008,19771,5635,5986,15176,5888,3083,1659,8449,7179,10276,39178,6166,10766,5954,15794,14060,25409,33252,27737,18208,24735,61829,14192,28116,23634,14227,47792,13270,12060,7573,19615,10167,18109,10782,14549,8882,14226,10971,12178,14836,6942,7543,4420,2276,6354,6548,7923,12496,11411,16532,18594,9958,8548,8925,8646,8793,7521,7245,752,2062,2495,3929,1032,1422,1836,9255,1739,2793,2542
