　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2021-04-01,5592,15054,45072,47216,27423,14801,11990,4365,3329,14526,2160,4877,6031,8195,11301,17492,18275,5658,10216,3623,8271,9120,6180,28660,3670,12777,13325,17526,25021,16358,10098,23857,17435,32252,26053,10024,37006,26987,26386,20596,24433,169481,45728,22053,24505,29338,26871,26444,24665,13341,32824,7156,8489,19910,5039,3865,3447,15117,10195,13333,29169,9682,15443,8455,23768,24308,28229,45026,40202,27534,27040,64776,24641,33108,37879,22745,71039,21912,16686,15580,27116,13873,27536,21317,8458,12165,41189,25310,25170,24338,8817,12967,5925,5316,7287,10550,10309,12494,18111,29766,24391,14537,13121,13458,12523,12349,11264,9695,1335,2584,4009,4953,2316,3403,2847,10311,2617,4269,4514
2021-04-02,4179,8104,20686,40687,13795,7747,7088,5226,2148,8142,1557,3487,13661,5235,9176,5234,5811,3593,7359,4293,4759,5519,2247,19756,3968,15345,9386,11719,15353,12261,7361,21285,12286,19546,14992,4266,26418,18533,18345,15021,8180,152261,41759,17444,14390,24663,25350,23398,17796,8992,21113,5506,5224,15676,6135,2820,2269,9166,7875,13981,36888,6045,10836,6287,15894,15321,23044,38799,27069,18539,25292,69099,12199,25526,29707,15637,52913,13180,12389,7862,21644,9484,24481,13118,8262,8954,16602,12185,12414,15673,6224,9146,4293,2061,6959,6609,8637,9625,11284,16764,17672,9829,8879,9175,8475,9103,7111,6786,705,2156,2723,3965,1028,1169,1856,9388,1919,3119,2741
2021-04-03,3546,7233,18279,38143,12928,7141,6758,5434,2232,6847,1658,3545,15919,5144,9930,4661,5280,3408,7206,4219,4581,5272,2078,18701,4053,16332,9192,11339,13996,12043,7056,20809,11530,18694,15540,3759,25513,17293,17143,14758,7584,130646,39171,14738,13414,25808,24522,23282,17562,7130,20745,5285,5105,14934,6099,2865,1568,8750,7600,15846,39240,5919,10416,5843,15063,13479,22050,34788,24835,17166,25186,67214,12597,24027,26284,15477,49778,12800,11906,7581,16186,9864,23480,11658,10449,9256,14714,11073,11225,14475,5499,7320,3784,1898,7043,5991,8462,9174,10643,14993,17736,9509,8205,8695,8268,8566,6864,6519,700,2100,2502,3955,953,1032,1672,7966,1713,3055,2787
2021-04-04,2393,6706,15790,32267,10934,6391,6193,4977,2125,6156,1420,2733,12605,4515,8630,4079,5565,3251,6675,3237,4203,4731,1862,15543,3849,13714,8508,10573,12568,11765,7038,19740,11167,16563,14128,3047,24322,16621,15878,13840,6539,105602,33966,11732,13345,21712,21242,20650,15895,6940,18395,4823,4440,13255,5680,2538,1337,6964,6652,12865,32713,5706,8656,5458,13959,11336,18952,29273,22632,16089,22017,60019,11408,22916,22608,14013,44823,11741,11020,6827,13182,8287,20433,10359,9038,7632,12789,10193,10183,12629,5215,6345,3834,1751,6424,5792,7774,8183,9496,12850,15651,8574,7497,7807,7386,7891,6260,6070,677,2083,2797,3952,878,1020,1570,6557,1581,3265,2768
2021-04-05,2991,6920,17435,33429,11543,7482,6932,4410,2194,8031,1466,3254,11919,5607,8028,5096,5640,3791,7538,4358,4731,5318,2081,16889,3636,12898,8910,11604,14396,11847,7512,21049,11257,18175,13998,3658,25772,17960,17282,14187,6963,104676,33660,11879,13278,21183,22270,22037,17276,8982,20777,5282,4699,14730,5334,2677,1950,8533,7349,12978,36838,5459,8992,5454,14700,14205,19453,29537,24505,17162,21393,55688,9491,20889,22470,12295,43239,12459,12015,7840,13691,8802,19344,10758,7831,7658,13972,11147,11408,11956,5944,6805,3936,1915,6420,6009,7950,8238,9999,14771,15344,8774,7773,8258,7740,8353,6463,6366,714,2232,2808,4180,988,1208,1687,6929,1634,3155,2843
2021-04-06,4396,14352,42601,40055,27023,13724,11975,4117,3241,15668,2290,5018,5878,10581,9931,19309,18601,5849,9679,3362,8222,8898,5915,27856,3198,11920,13035,16765,24523,16247,10024,26332,17508,31976,25316,9781,36716,26725,26141,19963,25359,117421,37950,20997,23475,27236,22762,25476,23641,13741,33270,7071,8571,19723,4806,3840,2696,14553,10155,13428,31908,9047,13281,7808,22859,23739,26641,38251,37785,26806,25769,54487,21130,27123,33025,20441,59664,21294,16157,14888,19066,13392,25360,20198,8232,11538,39247,23796,24494,22584,8999,11879,5630,5319,6525,10536,9782,11908,17421,29457,23093,13780,12748,13087,12322,12105,10948,9649,1382,2455,3850,4785,2241,3450,2900,7806,2280,3830,4425
2021-04-07,4386,14838,44337,41007,27327,15263,11849,4192,3339,14907,2188,5045,5560,10641,10566,19442,18869,5842,9780,3575,8787,9057,6034,28843,3189,12433,13518,16813,24357,18226,10065,28182,17705,34630,25647,10120,37381,27007,26821,20880,25538,116342,39583,21549,24261,27654,25230,26079,24067,13693,33714,7125,8730,20450,5058,3840,3649,15499,10067,13463,32062,9254,14115,8124,23150,24818,27282,38829,38528,27331,26342,56638,24423,28351,33482,21363,60332,21300,16657,15479,19514,13788,25202,20585,8251,11843,40159,24256,25464,23664,11083,12251,5771,5331,6713,10615,10002,12371,17574,30349,23912,14034,13015,12936,12587,12207,11465,9835,1339,2445,3907,4721,2376,3503,2869,7373,2299,3864,4446
2021-04-08,4319,15408,45392,42012,27659,15437,12137,4027,3327,14779,2167,5004,5005,10757,11262,19696,19195,5956,10019,3322,9335,9148,6279,28974,3496,11827,13477,16900,24657,17790,10438,26780,17807,34801,25359,11483,37701,27346,27046,20651,24760,117122,39952,21222,24981,27220,24499,27298,23953,13487,32473,7032,8576,19772,4837,4082,3538,14829,9737,13106,30365,9223,13643,7997,23216,24701,27062,39487,38458,27688,25750,55604,24428,31096,33752,21514,61581,21736,16749,15517,19887,13307,25878,20720,7925,11838,40778,24522,25605,23350,15188,12296,6155,5458,6799,10743,9919,12411,17938,30486,23882,14267,12876,13355,12739,12310,11528,9713,1355,2602,4049,4883,2263,3567,3068,7829,2431,3902,4389
2021-04-09,4946,16079,47823,48725,29457,16059,12819,4217,3442,14868,2205,4891,4525,10680,12781,19758,19560,6226,10486,3372,9387,9584,6582,29749,3618,12084,13949,17768,25856,18385,10991,29931,19114,36576,26518,11778,39314,28959,27915,21506,26668,146613,47674,22964,25952,29471,26335,28854,26804,13743,33633,7270,9161,21162,5578,4079,3606,15308,10161,13160,30646,9732,15274,8569,24158,25173,29985,43936,40404,28798,27738,68393,25624,33858,39876,24510,71295,23316,17504,16003,23013,13843,32066,22786,8297,12696,43027,25995,26927,24702,14988,12573,6369,5630,7014,11004,11025,13055,19274,31636,26217,14738,13451,13847,13291,12864,11879,10151,1475,2713,4104,5240,2470,3663,3215,9502,2553,4369,4634
2021-04-10,2989,9847,27282,46235,18766,11788,8599,4032,2593,9060,1602,3215,5989,7637,11440,5990,9017,4199,8623,3567,6173,6650,2449,16210,4228,13626,10558,13583,18683,15113,9016,29516,16254,28218,19976,6073,33054,22255,20959,17276,12008,135443,48698,18716,18121,30065,24646,26006,21493,9621,24747,6390,6738,17518,6630,3348,1818,10252,8682,11562,29626,6533,11756,6575,18220,16442,27198,38364,31804,22157,26778,75315,16690,28647,33086,19658,57314,16120,14594,9155,16422,10253,28469,15429,10812,11089,22378,20683,15600,17655,10188,10441,5036,2634,6611,8277,9785,11630,14203,21510,22024,11298,10361,10850,9944,10497,8053,7812,2017,2362,3036,4737,1246,1416,2079,8467,2239,3624,3042
