　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-01-11,5862,16999,48903,56000,29796,16723,13006,4175,3199,16456,2376,5159,7723,11031,14029,20450,18685,6125,10047,3753,9297,9697,5672,35371,2538,11748,13241,18494,24390,20410,10869,32726,21079,37785,31594,12297,41522,30469,27975,23816,27885,175290,48221,26916,26930,30885,37900,33181,26954,13900,36454,7702,9400,21601,6807,4037,3879,14831,10683,14592,40952,9196,15919,8211,24644,25897,32335,47641,44978,29360,33580,83287,27021,38343,43591,28757,76680,22825,18863,16637,21641,14613,40203,22595,8884,14303,45797,32819,28624,28329,15189,13112,5752,5578,7150,11073,11118,13564,20246,34094,30198,14510,13769,14401,13274,13276,11321,9982
2019-01-12,4485,11464,29061,56185,19255,11761,9588,3852,2602,10659,1828,3373,9141,7872,14318,6443,8339,4525,8832,3908,6031,7199,2687,27024,2283,11249,10345,13903,18122,17178,9300,31267,19408,29630,26188,6299,35020,24505,21775,20028,13735,173852,49899,22343,20065,29387,37299,30230,22440,9646,27447,6463,7127,17795,8010,3393,2115,10225,9237,13546,39492,6970,13621,6850,19025,17936,30631,42808,34809,23279,33847,90177,18742,36978,39311,25556,67791,17266,15788,10177,16973,11116,41169,16661,10038,12948,23841,21410,19970,21716,10003,10226,4778,3089,6693,8736,10264,11706,15403,24777,26605,11406,10792,12192,10405,11143,8522,8031
2019-01-13,4649,8759,22415,43656,15767,9158,7617,3493,2335,9937,1637,3055,9750,6752,11442,5231,6201,4046,7527,3569,5204,5885,2411,20784,2125,10793,9133,12262,15072,15807,8302,26918,15615,22896,23653,5464,29983,21168,18312,17010,12152,162691,40818,17176,18600,27535,32443,26715,21673,8062,22756,5675,6399,16897,7918,2931,2025,8907,8211,13478,38160,6538,11438,5804,16716,14631,24974,39155,29901,19913,30419,75807,15968,31109,28353,20332,53477,14591,13554,8997,14238,9558,34009,12758,12071,10876,18168,17212,15501,18437,7863,8029,4371,2300,5722,6986,8513,9533,12713,20684,23272,9583,9055,9807,8642,9768,7154,6921
2019-01-14,5699,15226,44183,46727,27536,14279,12033,3948,3009,15882,2170,4797,6461,8932,11129,18151,17876,5762,8879,3396,8201,8963,5430,28436,2333,11368,12147,16859,21582,16760,9699,26819,17830,33914,28217,10157,38242,27500,25829,21819,27324,145402,39935,25378,24484,27386,31650,28324,23926,13377,33250,6982,7839,19994,5850,3762,3576,10819,9987,13132,35957,8145,13699,7590,23148,23383,28235,40951,41746,26974,31216,69413,24796,32031,36626,23876,64613,20875,17186,15698,17617,13663,35824,19607,7831,13505,41565,26298,25955,25165,9625,11824,4847,5051,6627,10064,9982,12625,18102,30632,25661,13482,13146,12755,12330,12206,9444,9267
2019-01-15,5488,16092,45101,47389,28280,14615,12178,4033,3246,15846,2171,4941,7776,8961,11781,18568,18090,5804,9177,3408,8159,9292,5675,29031,2518,11374,12258,16717,22314,16683,9962,26673,18451,34613,29589,10545,39368,28765,26564,22173,28081,141045,40832,24880,24744,29135,32869,29614,24355,13443,33584,7196,8574,20142,6699,3898,3735,12169,10136,13224,34572,8267,13922,7446,23508,24171,29393,42293,43013,27355,30927,70081,25446,32437,37930,24962,65593,22244,17517,15745,18174,13428,34050,20406,8418,13143,42591,27051,26940,25482,9412,11807,4929,5172,6547,10269,9947,12476,18576,31547,27020,13383,13125,13063,12538,12753,9470,9247
2019-01-16,5483,16468,45818,48466,28526,15585,12792,4308,3105,16482,2128,4973,5832,8985,12236,19019,18647,5767,9416,3007,8627,9411,6148,29616,2679,11051,12439,17125,22794,17001,10303,26692,18829,35819,28953,10436,39685,28711,27224,22288,27611,142178,42640,25109,25343,27613,29419,27586,24125,13472,33367,7337,8749,19577,6078,3919,3676,11672,9977,10739,30238,8314,13848,7679,23632,24441,28799,43649,43749,28146,29854,70145,26987,33213,38797,25792,66953,22987,17716,15824,18704,12293,34642,20982,7484,13138,44299,28364,27573,25265,9520,11754,4818,5299,6651,10757,10536,12312,19282,32116,27193,13849,13076,13665,13292,12913,9284,9268
2019-01-17,5296,16110,46295,49638,28874,15063,12645,4115,3215,16453,2277,5032,6763,9263,12486,18882,18666,6101,9338,3232,8285,9429,5968,32850,2569,11139,12398,17139,23066,16839,9933,27581,19071,35188,29266,10136,39637,29090,26799,22553,27358,143362,42931,25466,25407,27980,31719,28638,24812,13465,33246,7517,8818,20130,6673,4033,3737,11828,9907,11155,30902,8324,14063,7529,23948,23957,29267,43098,43599,28147,31001,71451,25631,33880,39617,26107,67999,22465,17463,16349,18788,13255,38741,21058,7914,13268,44506,29067,27637,26236,9262,11977,5179,5344,6673,10685,10279,12267,19343,32244,27167,13941,13651,13289,12961,12850,9427,9472
2019-01-18,6054,17811,48416,58420,30005,16141,13230,4336,3408,16904,2406,5200,8947,10400,16223,19219,19455,6593,10744,3894,9195,10519,6091,36595,2843,12659,13465,18744,24219,18968,10755,31955,21073,36914,33146,10450,42968,31266,29083,24226,28669,169433,48467,28333,26902,32348,38072,32079,27930,14323,36073,7962,9916,21907,7136,4276,3873,12604,11039,13862,38616,9386,15688,8520,26078,25185,34055,49179,47235,30035,33803,93350,27299,37411,45285,29746,77406,24300,19482,16926,22195,15137,42679,22805,9443,14561,45862,30707,29107,28171,9972,13291,5797,5746,7666,11197,12076,13968,20280,34142,29901,15327,14591,15234,13913,13877,10167,10315
2019-01-19,5386,15233,40913,59509,22927,12439,11268,4178,2971,12556,2094,3824,10873,8351,15069,13637,13513,4731,9547,3903,7623,8365,4978,47653,2552,12148,12225,16212,20292,17793,10227,29841,19860,33284,35831,7922,38679,28724,25595,22771,18174,178475,50726,25470,23310,31377,38289,31236,25163,11134,30513,7195,7362,20004,7431,3930,2063,9624,10287,15380,42184,8711,14942,7698,22309,21180,32628,48435,40501,27479,33862,92058,21685,38162,43352,29726,76706,19825,17265,14319,20556,14208,46856,20330,11297,16020,38040,22972,24774,26002,8700,12216,5236,4833,7370,9413,11164,13871,18048,30871,28539,13087,12667,13634,12067,12503,9555,9309
2019-01-20,4428,9732,21980,46565,14812,8818,7978,3629,2267,9237,1539,2810,8579,6393,11981,5638,7302,3729,7827,3075,5260,6441,2634,42247,2359,10429,9469,12700,14772,15694,8721,26207,16456,24625,31656,4746,30876,21944,19333,17583,11926,167553,41683,18384,18655,25956,32060,25739,21784,8064,22697,5832,5486,16625,7442,3154,1732,8139,7931,13063,34277,6647,11541,5986,16880,15181,25953,40595,30901,20878,30319,79894,14588,31742,31653,21772,58089,15346,14302,9092,16848,8968,38873,13093,10926,13390,18124,16031,16563,17795,6868,8822,4060,2243,5826,7107,9197,11745,13076,20788,23640,10089,9523,10630,9351,9829,7124,7465
