　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-08-01,6525,15739,44360,49121,25966,14831,12125,4857,3219,12832,2787,4097,7815,8423,11801,17318,17385,5413,9560,3448,8886,8001,6317,31791,3521,12891,11889,17633,22143,16235,10631,27843,19080,35788,30558,9791,37401,28282,26931,22928,27152,160569,43701,24043,24711,26704,31392,28033,24002,13190,30705,7875,9934,17668,5600,3770,3538,11164,9403,9923,34340,8960,16385,7780,21682,26389,32258,40923,43736,27249,32671,74330,22664,35281,38227,23540,65687,20554,17385,15233,18080,14883,48683,19206,8451,14363,42610,24943,25632,28031,8623,11201,5441,5051,6664,10048,9914,13579,17923,30548,26950,15366,12300,12663,13097,12192,10147,9949
2019-08-02,7038,16420,44795,54848,26565,15247,12693,5156,3507,13392,2712,3979,8076,8812,13445,17740,17713,5725,10210,3809,8821,8692,6236,32725,3634,13271,12407,18475,23306,17057,11141,30459,20001,36322,31523,9696,38844,29169,28117,23655,27496,180792,47851,25613,25740,28068,33612,30169,24903,13302,32092,8133,10259,19033,6203,3897,3476,11380,9997,10476,36958,9470,16041,8110,22781,26929,34678,46390,45057,28433,33159,83199,23040,37245,41258,25811,73841,21482,18494,15717,20293,15682,53486,20407,9372,15183,43391,25590,26258,28831,8360,11740,5617,5288,7023,10695,10609,15188,18973,31232,28966,15879,12879,13508,13684,12689,10606,10349
2019-08-03,5440,10788,26585,52816,17092,9991,9045,5235,2668,9066,2103,3093,10019,6462,13214,5807,7302,4222,8687,3573,6472,6918,3085,30719,3972,12104,10046,15277,17158,16632,9807,30067,18006,28327,25981,5102,33910,24232,22946,20012,13742,196816,51114,24600,20212,29790,35410,28878,19796,10172,23859,6813,7445,15936,6389,3247,1921,8128,8584,10167,40119,7054,14365,7627,19129,19585,32292,44781,37565,23044,32684,97458,15122,36203,34367,21910,68193,16819,15554,9880,18246,11410,57930,14943,12086,28888,22937,18954,17475,21946,7070,9784,4497,2607,6871,8990,12525,19184,14615,21114,26621,13091,10808,11351,11256,11232,8731,8883
2019-08-04,5674,8248,20526,43562,13285,8598,7163,4539,2171,6796,1724,2688,8845,5369,10520,4718,6560,3484,7006,3394,5009,5532,2789,27647,4126,10971,8492,13076,13340,12679,8116,25857,15213,21430,21189,4187,27695,19292,18108,16550,10772,183483,40874,16254,18400,23935,29979,23242,19102,7745,19211,5678,8712,13658,5849,2678,1704,6735,7248,9056,41732,6557,13008,6126,15917,15796,27518,43136,31616,19186,28233,77898,13032,29532,27617,17117,58190,13605,12808,7949,17893,10120,48485,11450,8609,14220,17681,15837,13749,18022,5875,7591,3566,2216,5263,7017,8584,12564,12145,17228,22182,10495,8748,9508,9357,9126,7190,6981
2019-08-05,6347,15399,42963,47763,24944,14357,11845,4560,3252,12679,2676,3826,6415,8191,10773,16824,16758,5311,9159,3370,8156,7761,5971,30629,3396,12318,11534,17149,21597,15421,10407,26577,17839,34289,27336,9789,36195,26763,26272,22019,26997,163629,41904,24712,24994,25699,30314,26700,23033,13013,30271,7761,11742,17033,5357,3589,3436,11709,9166,9915,35179,9122,15050,7524,21322,26064,31361,40832,41819,26071,30620,74755,20496,33962,36526,23495,65918,19702,16994,14695,18470,14819,41981,19071,8438,13781,41631,22742,24973,27106,8746,10588,5319,5093,6424,9846,10014,13358,17739,29587,26561,15030,11991,12556,12830,11835,10037,9929
2019-08-06,6331,16194,44149,49513,26282,14941,12705,4945,3509,13148,2812,4020,8343,8872,11836,17473,17367,5424,9722,3475,8388,8149,6152,31185,3392,12899,11844,18138,22284,16226,10514,28137,19072,35758,30372,9896,37793,28142,27172,22724,28375,158602,44621,25292,25194,27716,32187,28593,24180,13794,31413,7736,11983,18059,5797,3887,3329,11384,9507,10147,36161,9401,15114,7764,22098,26749,32889,41888,43555,27305,31673,75742,22610,34926,38063,24274,67714,20995,17612,14780,18621,14960,34253,19668,8395,14075,42445,23808,25477,27572,8821,11059,5545,5169,6664,10079,9896,13337,18049,30738,27533,15358,12260,12822,13131,12229,10231,10047
2019-08-07,6560,16547,45926,53397,26845,15745,12746,5094,3440,13437,2895,3938,7099,9086,12428,18146,18094,5546,9933,3433,8733,8334,6626,31194,3398,12867,12178,17985,22981,16568,10823,28725,19436,36821,29566,10293,37872,28282,27482,22997,27663,164263,45921,25466,25564,26797,30217,27950,24314,13558,32045,7963,12266,17837,5740,3922,3391,11629,9381,10269,34248,9332,14788,7638,21948,26611,32943,43862,44470,27685,31952,77727,22836,35432,39814,25029,71247,21555,17835,15203,19532,14697,34843,19892,8322,14479,45040,24440,26488,27309,9195,10979,5583,5397,6533,10088,10092,13581,18308,31303,27707,15465,12375,13138,13325,12458,10300,10183
2019-08-08,6252,15305,42675,46823,25204,14798,11900,4944,3211,12520,2515,3577,4939,8056,10461,17481,17276,4954,9154,2891,8073,7871,6548,29455,3064,11087,11245,16635,21521,14847,10448,25416,17575,34134,27649,9453,35458,26782,25979,21816,25574,143389,38948,22266,23269,23973,25030,24957,21804,12176,28452,7494,11230,15644,4865,3414,3243,10552,8407,9239,28242,8796,13225,7099,20459,25039,29402,39553,41314,25802,28486,65907,21249,31297,34055,21924,62468,20586,16818,14473,17474,13366,32481,18578,7549,13145,41638,22312,24804,24446,8894,9958,5028,5087,6342,9800,9501,12801,17177,29134,25806,14327,11264,12283,12588,11726,9600,9650
2019-08-09,1909,4118,10900,26111,6572,3675,3573,1924,1112,3380,764,1043,901,2465,5373,2331,2893,1683,3425,1021,2549,2468,1135,7585,2145,4706,4106,6684,7045,6656,4724,11748,7228,10379,8099,1959,14910,9968,9102,8992,7238,71657,22263,9757,8165,7467,12443,9070,8261,3921,9816,2845,3222,5584,2096,1349,947,2899,3307,2710,11597,3033,4393,2869,7876,8226,12287,18392,15759,10078,15414,44215,6055,12385,14855,7166,29984,7808,7106,4551,7409,3823,17440,5908,2916,5436,10429,5964,6862,8909,2869,3073,1787,1222,2345,3407,4726,5544,7437,8829,11427,4758,4203,4911,4691,4805,2993,3408
2019-08-10,5724,10734,25594,53160,18138,10166,8694,5103,2675,9550,1983,3011,9702,6576,12087,5370,7160,4616,8531,2994,6304,6813,2943,19689,4110,11820,9817,15473,16748,16298,9675,41440,19923,28433,25586,4836,32862,23409,21764,18788,12924,177639,48389,20725,19142,28388,34052,27329,21982,9814,24914,6794,9450,15475,5794,3163,1988,8988,8649,9847,38354,6982,13244,7223,18278,19006,31281,43183,35822,22311,32839,87638,16917,35036,34490,20176,62900,16372,16107,9298,15675,10275,31206,14562,9048,13743,22157,17209,17068,21432,7368,8391,4160,2582,6120,7580,9764,12977,14136,19980,25649,12316,10251,11131,10946,10660,8007,8216
