　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-09-01,5534,8234,19563,40172,13025,9425,6681,3785,2104,6860,1567,2600,7626,5574,9551,4636,6395,3278,7035,2850,4861,5107,2289,15660,3956,11409,8009,12203,13772,13317,7711,27110,15199,21829,19686,4088,26911,19123,17081,16101,10566,163580,39078,14738,17504,24305,28409,22142,18136,7602,19922,5597,6118,13356,5175,2600,1655,7383,6972,8224,37420,6000,10798,5352,15367,14711,25543,36211,29529,18041,27519,69406,13060,30449,26291,15499,50083,13028,12347,7414,14612,8923,30980,10923,9074,11069,15647,12049,13613,16637,7072,7328,3472,2055,5161,6743,7865,11499,11455,18177,20775,9699,8524,8924,8676,8674,6942,6749
2019-09-02,5941,14954,41568,43479,28180,14220,11864,4398,3159,13041,2695,4511,5588,8875,10155,17155,18117,5945,8835,3269,8123,8367,5721,30155,3424,12849,11046,17005,22040,16153,9942,26741,18044,33321,27714,11853,36179,26772,25789,22003,26302,146522,39328,23270,24831,26263,29932,26711,22539,13794,30708,7455,9547,17567,5012,3565,3284,11193,9392,9398,32772,9073,13617,7442,21722,25844,30578,38453,41744,25830,30089,65957,20879,32426,34260,21054,59622,20582,16387,14790,18292,14572,34598,18414,7853,13724,41304,22221,24484,26027,8707,10795,5427,5065,6365,10358,9319,13745,18102,29848,25453,15066,12430,12060,12801,11844,10139,9938
2019-09-03,6083,15399,43391,44857,28918,15112,12265,4508,3185,13659,2796,4591,6340,9253,10522,18308,18477,6136,9387,3880,8594,8657,5946,31257,3524,13417,11582,17435,22972,16610,10540,27793,18187,34468,28810,10722,37147,27615,26390,22722,26663,146212,40802,23367,25145,27588,30708,28380,23700,14154,32043,7534,9917,18612,5577,3724,3633,11454,9437,9618,33606,9225,13829,7508,22474,26555,31587,39146,43039,26425,31633,66072,22647,33813,35419,22079,61147,21419,16959,14510,18913,15232,29964,19099,8195,13837,42742,25587,25100,26361,8853,11108,5571,5148,6338,10309,9522,14015,18240,30913,26706,15097,12428,12431,13037,12133,10475,10106
2019-09-04,6005,15339,43009,44674,29344,15454,12208,4509,3187,13706,2718,4513,5471,9652,10309,18389,18579,5978,9342,3318,8745,8620,6118,30163,3633,12731,11501,17352,22882,16532,10443,27067,18668,34911,28786,10279,37125,27632,26606,22551,26192,144491,41143,23495,24759,26412,29239,27904,23764,14016,32361,7684,9702,17615,5376,3622,3500,11356,8975,9446,31114,8869,13082,7572,22008,26098,31084,39088,43133,26413,30008,64120,22770,33044,35276,22150,61571,21415,16864,14627,18394,14123,30055,18644,7941,13449,42943,26418,25517,25866,9138,10933,5532,5218,6529,10721,10089,13801,18389,30288,26574,15280,12523,12474,13297,12010,10471,9972
2019-09-05,6109,15766,44888,47662,29676,15781,12743,4473,3275,14167,2703,4664,5035,9689,10763,17699,18743,6144,9417,3324,8515,8671,6252,30672,3889,12761,11609,17609,23448,16427,10677,28738,19022,35488,29359,10777,37575,27774,26574,22835,26264,148247,42447,23286,25541,26747,30522,27771,23403,13921,32284,7812,9942,17292,5488,3658,3619,11751,9081,9661,31714,9018,12992,7332,22312,26704,31937,39423,42484,26705,29870,67614,24008,34086,36838,22882,62619,21919,16982,14989,18619,14075,30725,19395,7788,14034,43815,28408,26005,26191,9590,10886,5567,5290,6473,10830,9982,14223,18824,30363,26729,15160,12789,12559,13654,12142,10683,10172
2019-09-06,6898,16581,45399,53302,30187,15766,12985,4792,3508,16420,2904,4885,6952,10084,12409,18614,19623,6919,10184,3608,9016,9415,6091,32264,3654,13858,12610,19229,25187,18199,11372,32332,21430,37331,32885,11611,40616,29833,28204,24401,27213,172297,47687,25267,27111,28914,35631,31055,25547,14550,33434,8077,10771,19910,6473,3963,3697,12811,10051,10840,39467,9612,14616,8158,23831,27909,34473,43939,47944,28115,33573,78073,25634,37956,40733,24478,68261,23064,18238,16039,20727,15619,37959,20763,8982,15378,44806,27127,26665,28309,12402,11724,6114,5394,7285,11194,10659,15914,19756,32608,29495,16372,13526,13454,14428,12992,11879,10832
2019-09-07,5272,10768,26007,51690,17421,11788,9090,4418,2664,11063,2115,3369,8477,8088,12059,6173,7675,4223,8860,3184,6316,6795,2721,19711,3950,11974,9967,15742,17899,17287,9909,33518,19586,30022,26724,4948,34637,24269,22141,20034,13553,180192,47896,21124,20180,31123,36155,28564,20829,10627,24741,6841,7407,17035,6345,3421,1998,9545,8950,9635,40693,7129,12378,7016,18933,19392,32161,42147,37512,22802,32685,86275,16495,36884,34952,21193,59848,17070,15499,9473,15089,10917,37155,15047,9904,13452,22295,18464,17302,21636,9280,11972,4930,2720,10647,8349,10226,14146,14979,25708,26232,14166,10742,11497,11185,11346,8438,8744
2019-09-08,5544,8512,20353,41744,13772,9744,7471,3978,2345,7578,1762,2931,7939,6549,9714,5069,5987,3537,7310,3312,5146,5456,2238,16672,4128,11369,8678,13672,14595,15127,8578,28605,16206,24505,21998,4340,29588,20939,19371,18018,12323,178176,39834,15371,19505,28404,30704,23736,20522,7887,20216,5682,6061,14695,5396,2748,1717,8362,7680,8991,38169,6571,11989,5663,15994,15634,27867,38804,30058,19146,28624,75533,13482,31286,27580,16888,51620,13847,13377,8227,14547,10170,32591,11579,9254,12369,17925,14724,14248,18613,9180,8063,4883,2816,47452,7362,8804,13502,13270,19121,22949,10580,9032,9530,9059,9420,8396,7551
2019-09-09,6187,15186,42650,43889,28641,16239,12321,4462,3228,14974,2739,4678,5519,11269,12003,19084,18185,6042,9196,3358,9018,8594,5814,31161,3290,13160,11766,17676,22582,18257,10350,30258,18195,34865,28246,12404,37543,27512,27026,23473,26737,144861,38456,23291,26071,27156,33579,29579,23964,14259,32223,7444,9793,17884,5158,3685,3537,14510,9660,9874,36754,9220,13789,7657,22669,27685,31662,38831,44644,26322,30337,66068,23529,34599,33489,20786,59366,21086,16531,14868,18763,14858,32150,18491,7890,13393,41990,23949,25195,25666,14748,11429,5970,5249,6691,10925,9712,14010,18454,30370,25153,15663,12799,12591,13392,12170,11987,10290
2019-09-10,5982,16013,43650,45747,29967,16566,12755,4680,3276,15589,2846,4834,6442,11690,11679,19700,18840,6231,9593,3426,9200,8747,5977,31702,3311,13396,11982,18224,23692,18939,10864,31465,18808,36414,30962,12227,38574,28427,27782,23795,27379,141626,40750,23732,26657,28621,35071,31159,24891,14549,33034,7896,9973,18887,5646,3820,3765,14445,9738,10462,36825,9394,13793,7844,23093,28506,33079,39072,45872,26702,31097,66392,25705,35445,35506,22240,60294,21984,17117,15036,18888,15199,29279,19487,8336,13317,43068,26126,26112,26184,15117,11487,5948,5397,6794,11079,9784,14067,19083,31172,26904,15901,13122,12696,13780,12677,12190,10743
