　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-05-01,4956,10301,25782,49599,21060,12540,9124,3608,2477,12980,1526,3958,5676,9202,11281,7657,8656,5070,8081,2496,7185,7854,2599,17214,2230,9692,10296,13821,15425,15719,8793,27434,15782,27426,26053,9121,32476,22773,20259,18112,24520,131882,46255,22540,19459,23204,30495,27009,19976,10003,29020,5943,5159,17209,6085,2967,2464,10525,8578,8205,29978,5834,9955,6444,18567,20034,24298,39862,34014,21686,28882,74407,22105,30609,31029,18780,53539,17836,14786,11006,15713,8187,29940,13717,6506,11629,25481,17411,17894,16968,12702,9232,3855,2333,5464,8868,9076,11458,15590,21916,27689,11108,10795,10974,10462,10735,7994,7340
2019-05-02,6102,17016,47512,50946,28926,16740,12871,4319,3145,15812,2165,4813,7154,11068,11928,20194,18418,5992,9634,3073,9364,9047,5699,29880,3046,11070,12746,18240,22804,18360,10514,28912,19554,36999,32525,12612,39744,29048,26865,22671,27811,149130,46710,26434,25733,28749,33782,32054,24165,13734,34003,7515,8534,20224,6230,3767,3589,13183,10040,9919,34036,8341,13629,7373,23066,25070,28375,44231,43266,27637,32183,74303,27396,35980,37696,24814,63866,22094,17442,16065,18845,13132,40798,20984,7828,14058,46912,27050,27808,25614,14511,11838,4920,5147,6598,10952,10228,13197,20241,32905,31146,13991,12971,13631,13136,12779,10427,9234
2019-05-03,6558,17470,49114,57577,29756,17008,13210,4341,3258,16256,2352,5106,10242,11118,13725,19599,18644,6127,10198,3590,9486,9447,5678,30635,2789,12103,13046,18613,23585,19470,10698,33386,21632,37695,34083,12604,41457,30334,27379,23375,29216,190734,53075,29365,27488,31729,40362,34741,26772,13653,35426,7661,9057,21972,6641,4036,3611,13847,10754,11109,41283,9079,15901,8290,24251,25619,32267,48476,44670,28722,35022,87395,27790,38156,42405,29510,73282,22986,18478,16049,21877,15913,53687,22658,9966,15790,47617,27680,28627,28990,14309,12654,5345,5365,7074,10765,10775,13491,20795,35166,32529,14681,13852,13988,13207,13195,10983,9779
2019-05-04,4952,11530,28361,56250,22015,11303,9532,4006,2799,11012,1812,3752,11594,8153,12705,6964,7702,4133,8764,3620,5904,6895,2405,18916,2395,12542,10394,14289,16813,16336,9397,33287,19102,30278,27903,6433,34725,24689,20763,19296,14286,180734,51962,22832,21266,31162,38085,31342,21715,10014,26808,6452,6179,18225,7145,3502,2046,9740,9192,10448,42252,6932,13638,6633,19186,18234,30374,45290,34235,23111,33926,93947,17189,35044,36262,25642,60263,16083,15632,9716,16008,11151,58908,16223,12807,12692,23730,19982,18994,22165,10017,9728,4038,2423,7100,8608,9792,11458,15666,23660,29322,11464,10945,11323,10608,11151,8477,7979
2019-05-05,5113,9363,21412,45408,17450,9668,7561,3809,2410,10057,1605,3259,11091,6837,12054,6164,7147,3798,7491,3755,5403,6069,2399,15337,2306,12217,9225,12954,14717,14738,8713,31630,16390,24858,28867,5211,30858,21982,18826,17758,11991,166078,42710,17442,19775,27757,32684,26757,21766,8326,23828,5673,5805,17085,6724,2883,1683,9198,8245,9929,43885,6380,12711,5909,17496,15063,25443,40076,30827,20318,30442,78263,15006,31511,27873,21052,49940,14388,13706,8787,13840,10245,44139,12510,11374,11192,18058,17504,15634,18215,8918,8363,3485,2325,5839,7010,8379,9897,12888,20443,24349,10066,9604,9892,9217,9914,7589,7241
2019-05-06,6127,16123,45161,46506,27902,16434,12394,4262,3146,16134,2234,4838,5840,10695,11602,20035,18511,6041,9386,3126,9325,8934,5837,28671,2688,11304,12714,17992,22409,18523,10186,27999,18416,35362,27236,12235,40067,28675,27397,22547,27975,140771,39686,25165,24888,27171,30807,28920,23581,13543,34002,7389,8468,19855,4992,3764,3530,13656,10114,10139,34375,8377,13960,7531,23074,25270,28112,43928,43257,27112,28943,65719,24629,32581,34947,22346,63084,21673,17504,16060,18275,12445,41073,20069,7463,13328,42969,26204,26702,24051,14753,11665,4753,4959,6621,10835,10023,12351,18864,31410,25707,14251,13068,13524,13347,12812,10609,9413
2019-05-07,5870,16235,46346,46523,28944,16345,12452,4199,3230,16626,2162,4877,5983,10987,11121,20363,18915,5906,9411,3074,9300,9187,5858,29660,2634,11153,12873,18076,22721,18311,10125,27910,18973,35822,29172,12593,40291,29232,27288,22798,28889,133039,40141,24480,25476,28543,32220,29119,24899,13817,34351,7281,8852,20453,5103,3923,3775,13983,10405,9850,33087,8423,13778,7546,23451,25597,28520,42912,43641,27553,29365,65799,25770,33539,36152,22926,61999,22359,17387,15695,18012,13056,33266,20384,7791,13079,43799,26111,27009,25026,14462,12891,5125,5237,6542,10671,10199,12239,19187,31932,26138,14089,13127,13423,13015,12833,10499,9360
2019-05-08,6169,16431,45782,48357,28874,16817,12482,4127,3208,16303,2211,4838,6231,11045,12028,20062,18741,6048,9782,3220,9275,9448,5625,33095,2534,11326,12781,17958,22559,18198,10250,28102,19043,35982,29743,12200,39513,28845,27014,22792,28621,133539,41632,25020,25599,28989,32780,29765,25196,13946,34854,7654,8870,20804,5312,3846,3638,14228,10449,10199,33872,8554,14010,7824,23243,25588,28937,43341,43575,28168,29637,66624,26913,33554,36271,23419,63594,22262,17712,15655,18889,13367,29844,20387,7871,13035,44004,26469,27165,25239,14448,12521,4975,5157,6624,10814,10341,12646,18758,31431,26368,14167,13394,13285,13170,12770,10375,9518
2019-05-09,6082,16721,47159,49058,28762,16866,12680,4392,3140,16562,2257,4853,6050,11122,12455,20366,19005,6105,9958,3100,9460,9230,5916,33263,2940,11452,12796,18206,23106,18394,10636,28842,19773,36384,29993,12419,40704,29435,27493,22944,27809,141760,42260,25009,25959,28346,31229,29057,24418,13542,34372,7521,8749,20060,5572,3852,3687,13489,10212,9964,33264,8482,14105,7536,23648,25469,29138,45088,44196,27975,29185,68666,26419,34344,36954,24276,66052,22470,18071,16318,19863,12836,31216,20647,7872,12956,45082,27222,27535,24539,14591,13033,4988,5096,6666,11173,10292,12824,19421,31809,26794,14408,13258,13610,13368,13211,10488,9599
2019-05-10,6785,16984,48429,57834,30461,16877,12893,4304,3317,16254,2299,4962,7035,10532,13671,20398,18793,6600,10280,3388,9664,9725,5864,34058,2849,12106,13649,19016,23755,19360,10836,31677,21074,38426,32639,12397,41262,30048,27719,23680,28429,195602,49166,26502,26506,31233,36564,31855,26874,14110,35792,7784,9506,22073,5991,4108,3636,13816,10837,10383,37342,9188,16126,8474,24968,26089,31832,50866,45012,29376,32172,80792,25967,37232,41617,27883,75249,23398,19124,16388,25064,14378,34731,21892,8975,14434,45396,27509,28479,27428,14364,12972,5120,5310,7032,10880,10869,13243,19828,33012,29279,14822,13979,14058,13454,13120,11042,9824
