　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-06-01,5237,11141,25514,52535,20361,14483,9767,4517,2736,11170,1941,3408,6609,8062,13570,6561,8474,4256,9198,3215,6802,7554,2851,32518,5553,12896,10913,16886,18417,18934,10766,40429,20437,32809,46254,6284,35816,24809,23521,20188,40080,190696,48458,21133,21404,30591,38420,30826,22214,10325,28135,6935,7336,17306,6112,3274,2022,9552,9140,10675,40748,7199,13145,6908,19284,20008,32878,43834,39208,24346,31783,94289,21691,40816,34972,22461,58923,17198,16324,9807,17124,10533,29967,15047,10318,12613,22076,17063,18057,20730,9567,9571,4701,2579,6259,9686,10025,13801,14803,21578,27690,12751,11154,11425,11288,11285,8901,8897
2019-06-02,5330,8689,20214,40858,17344,10783,7687,3865,2369,8446,1675,3031,6352,6030,11998,4785,6998,3572,7249,3160,5230,5733,2333,16412,5410,11498,8444,13428,14287,15792,8230,30498,16409,23526,23364,4713,28713,20383,18453,16922,11742,163825,39802,15173,18061,26943,29738,24435,20560,8084,21174,5674,5808,14804,5640,2892,1703,7846,7364,7916,37892,6189,10981,5581,15855,15084,26790,38509,30707,18954,28066,77696,16104,31559,26947,16343,48840,14018,12923,7968,14120,9484,24238,11151,9750,10627,16408,16312,14238,18126,7063,9677,4645,2137,5469,6861,7992,12665,12126,18601,21863,10203,8890,9152,9047,9276,8138,7668
2019-06-03,5874,15554,41774,43131,27839,16475,12331,4427,3283,14583,2634,4735,5599,10121,11536,18159,17358,5886,9212,3335,8746,8538,5736,30350,3521,13211,11329,17519,21608,17367,10179,27931,17833,33997,29230,12164,36711,27624,26299,22385,26311,142718,38700,22907,25548,26843,32535,28809,23750,13678,31925,7683,9821,18453,5070,3781,3406,12857,9387,9174,35816,8950,13622,7504,22222,26794,31087,37978,42788,26010,31302,71315,22279,32486,34581,21464,59221,20324,17143,14847,18350,14405,28896,18623,7899,13149,40990,23990,24759,26259,13201,11264,5841,5141,6265,10355,9772,13816,17991,29805,24452,14772,12624,12113,13144,11938,11143,10016
2019-06-04,6226,15670,42779,44839,27696,16977,12694,4594,3452,14584,2692,4361,5645,10825,11379,19010,17917,6221,9555,3290,8949,8957,5742,30830,3513,12901,11844,17937,22459,17638,10466,29595,18469,35475,33199,12262,37790,27995,26926,22899,27769,138898,39489,23428,25706,27894,33684,29204,23980,13883,32698,7810,9933,18255,5638,3914,3606,13389,9426,9163,35846,8900,13357,7516,22634,27573,32204,38346,44180,26384,29846,69367,24135,33366,35317,21753,59403,21217,17191,14487,17913,14668,30111,18964,8048,12797,41674,25157,25004,26285,13513,10937,5637,5090,6459,10652,10124,13646,18464,29866,25311,15078,12691,12181,13213,12280,11095,9991
2019-06-05,6251,15851,42766,46402,28550,16341,12743,4674,3413,14901,2748,4370,7797,10885,12196,18734,17624,5843,9872,3383,9118,8600,5615,31427,3472,13219,11990,18352,23035,18641,10540,30017,19719,36523,33021,12279,38494,28502,27387,23444,27783,147240,41318,24045,26153,28298,34931,30310,25077,13977,33741,7924,10251,19107,5475,4181,3640,13794,9778,9650,37875,9279,13683,7917,23037,27789,32811,39053,44753,27153,30845,70838,24168,34535,36425,22570,61516,21462,17428,15124,18216,14974,30762,19283,9543,13576,42087,24112,25884,26801,13778,11287,5711,5268,6628,10538,10279,13862,18516,29832,26374,15376,12716,12424,13228,12345,11496,10163
2019-06-06,6700,16240,43099,53295,28255,18101,13242,4868,3437,16672,2800,4536,7925,11261,12387,19709,18435,6343,10182,3511,9764,8746,5682,34055,3741,13678,12621,19638,23986,19912,11244,34271,20309,36870,34475,11944,39765,28983,28442,24521,26790,162665,44166,24198,27020,29705,38781,33411,25472,14074,34559,8301,10333,20439,6111,4043,3639,14601,10219,10820,43682,9668,14591,8171,23736,28576,35005,44371,47640,28105,31576,79187,24863,37607,38423,23607,66149,22203,18155,15868,20199,15484,32098,19852,8454,14225,41902,24222,26145,27321,15224,11951,5901,5333,6889,10939,10903,15976,18647,30335,26975,15934,13196,13006,13748,12947,12094,10997
2019-06-07,4702,7627,17355,40705,11777,10099,7058,3718,1862,7230,1628,2701,8313,6756,9418,4333,5507,3224,6888,2548,4837,5271,2435,17479,4816,11552,7953,12285,12520,12761,7981,24373,13893,19373,18518,3806,27098,18546,17382,15872,8926,137265,36845,14491,14424,23081,31567,21907,16676,7069,19539,5445,5522,13433,4957,2583,1725,7626,8182,10720,44273,5976,8746,5630,14686,13616,23704,32084,27309,17310,25896,75665,11167,23930,26444,15190,47046,12578,12122,7321,12864,8598,25067,11067,6652,9907,15882,10269,13145,17722,6398,6280,3446,1905,4553,6088,8194,10514,10942,14931,19424,10443,8248,8394,8445,8936,6776,6603
2019-06-08,4884,9072,20421,47824,14445,10867,7589,3715,2290,8413,1861,3232,10877,6007,11009,4697,5669,3561,7751,3233,5552,6393,2440,20255,5613,13221,9090,13661,14117,13121,8215,26223,14853,22351,22501,4821,29327,20673,19121,17482,11329,167750,43242,18261,17272,26701,35775,26849,18604,8140,22736,6066,6491,16110,6758,3063,2002,8533,9970,14501,53576,6597,11217,6041,16206,15638,28418,38420,30560,19545,29630,87520,12948,28882,30129,18015,53775,13644,13400,8050,15327,10300,30544,11902,11374,11765,17765,15488,14905,20733,7054,7657,4027,2069,5370,6918,9099,11986,11887,17598,22220,11540,9726,9927,9666,9594,7653,7690
2019-06-09,5873,7972,17634,40013,11715,10211,6512,3426,2103,7066,1561,2893,8881,5470,10906,4168,5543,3433,6988,3260,4962,5075,2456,18016,5056,12810,8221,12909,12890,13135,7397,24408,13787,19184,25972,4703,26502,18313,16877,15516,10906,208501,37302,14099,17566,25868,28362,22315,18933,7229,19557,5091,5430,13964,5519,2583,1496,7172,7044,7907,41706,6530,11631,5393,14999,14042,25426,41128,27749,17223,26822,73535,11377,24660,24545,14783,48974,12668,12128,7396,17266,9333,25444,10107,14980,10762,14827,15095,12858,17445,5870,7179,3562,2044,5169,6166,7496,11863,10917,15751,19358,9754,8333,8386,8383,8492,7020,6991
2019-06-10,6584,15286,41943,44353,26562,15790,12080,4505,3169,14313,2538,4263,5331,9936,10554,18803,17609,5546,9034,3181,8680,8271,6063,29623,3430,12796,11387,17596,22469,16849,9903,27341,17474,34145,27020,11604,36121,26724,26381,22165,27203,159191,38192,23299,25504,26201,30883,27615,22920,13700,32118,7583,9498,16993,4967,3836,2573,11758,9127,9136,33260,8984,13385,7503,21872,27356,30988,39472,43130,25718,28923,66560,22822,32215,34574,21364,60848,20176,16502,14379,18478,13628,29963,18527,7577,13238,40848,23999,24909,24941,12990,10443,5400,5090,6333,10272,9569,14395,18244,29608,24274,14976,12286,12239,13136,12075,10939,10084
