　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-03-01,4858,9974,21534,48734,15581,10002,8616,3891,2903,10236,2659,4536,22855,6054,11261,5678,6520,3929,8636,4189,5679,8469,2365,18517,2037,14572,9470,14204,15916,14242,8981,28305,16115,24099,28546,4651,32984,22915,22280,19746,18367,179132,44132,21467,19153,29625,51480,52525,22357,8965,26655,6587,7708,17851,10980,3228,2814,10757,9448,14434,71004,7107,12423,6635,17968,19854,31391,40602,33425,20551,34622,92654,13395,37221,31949,22653,58245,14704,14575,8823,14851,13335,34614,14036,10182,12908,19707,13708,16394,23204,7589,9278,4653,2317,12107,8425,10361,13145,13298,20592,24053,12127,10666,10525,10620,10670,8504,8874
2019-03-02,5060,10217,22327,48569,15551,10124,8447,3826,2662,9536,2482,4394,21320,6485,11504,5520,6572,3994,9040,4631,5951,8285,2367,19242,2056,15639,9781,14353,16167,14833,8681,31141,17487,24841,30067,4912,32746,23064,21761,19526,12200,189629,43537,19725,19140,33730,48588,51095,21553,8778,25536,6663,7428,17664,10172,3265,2273,10307,9374,13948,69548,7011,12524,6770,18343,18241,30798,42212,34376,20639,34649,91349,15193,37888,34005,21973,56803,14849,14296,8674,15845,13193,34173,13558,12583,12462,18800,14149,16174,22990,7494,9369,4531,2376,13837,8230,10024,13648,13020,20291,24420,12284,10679,10598,10613,10670,8921,8800
2019-03-03,5261,7628,17729,38436,12118,8842,6409,3067,2087,6532,1456,2310,5841,5199,9178,4905,5717,3016,6534,2525,4637,5345,2154,16714,1977,9570,7613,11728,12675,11622,7262,22186,14950,20662,19710,3358,25456,17924,16597,15159,9383,185784,35397,12811,16696,21217,25367,25297,17472,6951,18246,5032,5092,12590,5935,2317,1435,6326,6239,7313,28526,5713,9675,5020,14120,13677,23750,36693,26474,16517,24760,65987,11986,26514,26277,16205,45352,12462,11547,6820,15247,7397,25548,10129,7546,9787,15158,15903,12662,14788,5753,6300,3247,2038,5856,6391,7422,11164,10947,16359,19281,8936,7545,8336,8019,8421,6299,6363
2019-03-04,5887,15852,40843,42886,27653,15690,12343,4207,3193,14884,2770,4571,6002,10604,10415,18944,17950,5877,9189,3451,8794,8898,5561,35855,2307,13058,11316,17505,22389,17385,10066,28013,17573,34171,28554,11827,36606,27243,26644,22917,26002,146801,37094,22413,25719,27039,33474,30620,23991,14124,32737,7844,9963,18371,5823,3660,3448,13538,9728,9725,37916,8948,13573,7689,22459,27008,30734,37211,43263,25721,30464,63814,22555,34197,34287,20815,58128,20573,17198,14617,19868,14433,30657,18204,8326,12430,40039,24899,24678,25660,13267,10854,5465,5259,6524,10477,9374,14204,18318,28915,24573,15094,12726,12268,13379,12149,11288,9976
2019-03-05,5447,16559,41765,44563,29653,16553,12740,4469,3396,15363,2825,4572,7110,11037,12072,19599,18660,6124,9330,3665,8989,9219,5816,38110,2405,13742,11760,17773,23056,18296,10502,30079,18436,35996,31514,12362,37967,28216,27340,23767,26989,136044,38772,23136,26290,28572,35486,31737,24909,14041,33374,7868,10263,19416,6401,3889,3746,14152,10133,10255,38659,9124,13659,7851,22934,27953,31985,37958,44955,26671,30910,65396,25318,35126,35669,21773,59244,21590,17518,14795,20115,14826,31763,18702,8645,12466,40799,26068,25363,26366,13621,11323,5663,5365,6622,10760,9634,13919,18980,30431,26379,15164,12822,12496,13422,12542,11524,10359
2019-03-06,5552,17014,43636,47090,29760,17192,13063,4538,3424,15232,2642,4628,5836,11292,11505,20384,19053,6192,9506,3375,9169,9191,6554,38265,2427,13120,11619,17999,23184,18505,10722,30108,19092,36920,31406,12191,37915,28255,27314,23506,27022,139705,41231,23359,26512,27738,33908,30090,24637,13644,33088,7985,10083,18452,6108,3851,3705,14122,9722,9339,35804,8988,13305,7829,22861,27546,31984,39942,44995,27011,30996,68841,26636,35669,36809,22893,61767,21984,17809,14840,20630,14003,33203,19376,8345,12763,43474,26531,26140,25859,13845,11249,5578,5495,6587,10792,9736,14348,19449,31156,26574,15227,13188,12754,13689,12698,11296,10330
2019-03-07,5786,17344,44879,48550,31160,17804,13153,4723,3434,15783,2643,4593,5345,11269,11715,20694,19159,5990,9544,3204,9443,9008,6825,38479,2495,12988,11652,18401,23939,18134,10974,31278,19521,37412,31216,12611,38796,28919,27979,23601,27716,145357,42030,23514,26333,27441,34443,29577,24255,13727,32925,8190,10307,17752,6217,3888,3594,13932,9444,9077,33873,8987,13003,7524,22756,27511,32055,39814,45601,27001,31201,68864,27271,35935,36839,23149,62938,22650,18395,15363,21539,14071,35458,20084,8013,13107,44778,27432,26666,25732,14102,11059,5707,5747,6731,11461,10140,14450,20355,32044,27223,15513,12778,13059,13991,13152,11184,10496
2019-03-08,6511,18282,47075,56097,33208,18215,14123,4911,3749,17822,2775,5026,6177,11908,13420,21461,20143,7129,10788,3554,10364,9979,6797,40962,2658,14359,12635,19794,25506,19843,11800,35609,21917,39983,35361,12798,41258,30679,29550,25108,28386,172641,47697,24933,28383,29550,39376,33337,26822,14527,35442,8569,10916,20423,7499,4063,3866,14786,10276,10422,40399,9592,14252,8255,24024,28652,34832,45583,48174,28186,34040,83192,28159,41176,41904,25791,71858,24006,19777,15963,23509,14939,38439,21272,9169,14545,46416,28917,28011,28564,15577,11866,5980,5782,7287,11939,11159,17175,21146,33126,30595,16289,13878,14098,14895,13882,12171,11329
2019-03-09,4540,11727,27820,56242,22196,13264,9740,4026,2737,12367,1946,2963,5186,8512,12312,6561,7759,4223,9178,2691,6665,7478,2651,28698,2155,11764,9835,15744,17984,17366,10276,46564,20934,32606,27942,5774,34728,24304,22806,19080,13504,180668,50725,20938,20217,32316,31778,26590,21260,10326,26452,6831,7016,15259,7697,3245,1938,8513,8366,8146,31859,6431,11115,6607,17978,19233,32051,43302,37013,22500,30374,91918,18996,38247,36460,21635,59030,17089,15552,9707,17505,9588,33800,14680,9148,12585,24321,21771,18503,19478,9645,8786,4483,2679,6041,9322,9962,13138,15913,22812,27821,12425,10188,11594,11189,11522,8163,8892
2019-03-10,4454,8889,20660,44427,14793,9609,7692,3756,2271,8782,1700,2556,5550,6330,10495,5151,5974,3430,7421,2384,5177,5997,2111,15805,2157,11414,8459,12677,14514,15378,8240,26801,15633,23478,24526,4259,28392,20087,18364,16529,11759,171144,42233,15426,18801,24892,30637,24810,20727,7865,20903,5568,5962,14196,7042,2662,1548,7101,7128,7691,31229,6180,10544,5754,15638,14778,26745,38172,30127,19019,28741,80363,15495,32738,28394,16753,49757,14272,13642,7883,14305,8149,26809,11205,8730,10631,17975,13929,14546,17310,7144,7776,4369,2331,5242,6790,8360,11868,12866,18782,23342,10139,8874,9441,9085,9631,6921,7189
