　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳
2019-04-11,5973,16420,43228,46327,29467,17094,12860,4458,3418,15191,2732,4583,6645,11014,11119,19818,18622,6136,9440,3350,9408,8566,6225,30329,2397,13467,11521,17874,23580,17960,10555,29712,19004,36444,32151,12070,37418,28164,27028,23140,27249,141400,39893,23147,26089,27211,32766,29704,24213,14125,32882,7723,10045,18651,5754,3782,3639,13627,9792,9720,36429,9079,13462,7549,22898,27476,32112,39527,44777,26885,29698,65719,25987,34164,35263,23582,61510,21651,17542,15108,18172,14128,30593,19323,8153,13176,42986,25704,25872,25458,14462,11199,5480,5294,6540,10619,9458,14358,18932,30775,25764,15045,12738,12484,13356,12200,11086,10232
2019-04-12,6495,17478,44133,52094,29943,17375,13438,4757,3688,17392,2924,4760,8127,11597,12623,20146,19279,6910,10245,3741,10404,9548,5944,37522,2462,14878,12548,19094,24465,19527,11209,33731,20428,38234,34869,11813,40228,29854,28645,24508,27700,166281,45204,25249,27613,29663,38253,32989,26526,14555,35606,8206,10735,21064,6665,3986,3873,14976,10553,10663,42840,9740,14315,8072,23858,28455,34633,43926,47249,28242,32864,78731,25712,38134,39178,25866,67200,22406,19216,15940,21121,15394,37392,20364,9072,13808,43091,26879,26492,28272,14912,12444,5780,5366,7028,11637,10429,16838,19751,31848,27960,16000,13701,13640,14250,13172,11937,11021
2019-04-13,4722,11704,25376,52755,25612,12053,9662,4513,2670,10896,2169,3528,9025,9017,11876,6504,9407,4659,9160,3202,6888,7393,2401,28928,2031,13955,9856,15419,17093,16355,9911,33818,19382,30807,32106,6542,34206,25049,22502,19777,14047,175475,47460,21010,20555,31317,34919,30492,21556,10439,26849,7006,7435,17733,7239,3264,2139,9803,9204,9439,44056,6776,11937,6905,18912,19563,32338,42475,37016,22774,31988,86058,17661,33790,33934,21382,56337,16512,16037,9989,16831,10405,34541,15265,12599,12224,22156,19833,17604,21519,9782,9781,4469,2577,7141,8545,9860,13940,14557,22392,25765,12490,10854,10968,10832,11122,8342,8792
2019-04-14,4863,8930,19604,40839,15799,8833,7409,3825,2371,8018,1872,4132,9607,6426,10731,6078,7772,4063,7535,3587,5446,6089,2319,26136,2178,15605,8682,13186,14444,14254,8361,27947,15753,23047,28870,4891,29298,20776,18562,18372,11876,173086,37920,15559,19896,30740,32522,25948,20131,7940,22137,5835,6357,15427,6617,2755,1759,8179,7968,8912,46144,6621,10709,5700,16623,15526,27599,37829,30553,19234,29794,77354,15073,27700,26095,17389,49410,14720,14075,8589,16269,10102,31723,11644,11243,10740,16775,15907,14476,18505,7039,8129,4212,2367,6073,6849,8121,12367,12068,18396,22063,10342,9410,9361,9079,9484,7513,7449
2019-04-15,5827,15970,41861,43297,23724,15755,12277,4314,3255,14787,2724,4521,6224,10316,10794,18953,17398,5919,9090,3263,8845,8685,6044,29745,2389,13681,11279,17279,22894,17203,10002,27230,17723,34580,29872,11916,36776,27046,26642,22704,26161,144676,38308,23498,25843,27295,33051,28605,23787,13983,32310,7689,9735,18775,5912,3696,3543,13155,9625,9692,39893,9047,13377,7679,23001,26933,31241,38306,43032,25830,31308,69326,23012,33621,33260,22722,59840,20694,17211,14723,17826,14344,33449,18575,8303,12966,41038,24684,25297,25997,13360,10736,5450,5142,6346,10580,9586,14464,18393,30697,24935,15168,12504,12214,13435,12046,11207,9969
2019-04-16,5781,16476,43719,44543,29257,17132,13061,4596,3417,15427,2660,4425,6057,10542,10966,19606,18832,6161,9225,3209,9203,8838,5888,30214,2530,12897,11508,17702,23478,17720,10537,28102,18725,35783,30510,12326,37950,28016,27706,23030,27181,137584,38720,23365,25536,27189,33173,29174,23839,14013,32600,7802,10166,18233,5923,3781,3676,13487,9492,9146,33849,8856,12905,7470,22830,27772,31541,38528,44312,26064,30231,68095,25543,33323,34595,22373,59403,21350,17284,14625,18011,13894,29894,19432,7777,12821,42807,25343,26199,26221,13059,10984,5419,5395,6552,11091,10160,14414,19042,30289,26038,15095,12608,12637,13671,12525,11223,10208
2019-04-17,5720,16526,43135,46545,28887,16563,12734,4535,3543,15551,2855,4778,8756,10923,11926,19514,18928,6180,9746,3609,9330,9024,5763,32009,2360,14830,11711,18162,23243,18440,10695,28885,19318,35991,31982,12122,38235,28527,27560,23277,27528,142349,41988,24100,26512,29264,35952,31532,25057,14581,34135,8068,10053,19465,6296,3984,3705,14126,10140,9882,42435,9109,13600,7954,23605,27578,32488,39459,44966,26842,32354,71951,25723,33763,35724,23863,60758,21639,17824,15060,18611,15527,30741,19154,9068,13225,42440,25723,25977,28255,13089,11333,5643,5457,6704,10902,9883,14802,18860,31035,26485,15400,12877,12737,13615,12464,11282,10439
2019-04-18,5430,15481,39967,41959,27625,15523,12217,4324,3323,14244,2583,4454,7111,10194,10577,18539,17453,5849,8809,3320,8627,8557,5349,29621,2197,13668,10778,16630,21452,16788,9756,28190,17973,33669,28764,11269,34933,26695,25520,22185,23808,133932,38166,21521,24692,29245,36066,28856,22809,13182,30770,7347,9798,18023,5558,3768,3286,13077,9613,9150,37232,8663,12794,7095,21862,25814,30057,36413,41520,25030,28702,66612,23006,31650,33129,21987,57487,20002,16142,14098,17267,14246,29606,17937,8135,12065,39324,23890,23885,26070,12603,10657,5113,4928,6274,10164,8997,13563,17650,28224,24860,14223,12024,11781,12632,11561,10591,9768
2019-04-19,7046,17784,46242,54029,30829,18430,13473,4778,3753,17274,2903,4925,8668,11232,12857,20373,19689,6846,10304,3669,10112,9419,6283,32241,2564,14782,12309,19382,24506,19739,11392,34850,21227,38648,35358,12411,40016,29678,28610,24348,27979,176923,47252,25146,27780,32598,37286,35015,26791,14525,35026,8270,10527,20649,7098,4177,3766,14424,10352,10620,42875,9450,14468,8044,24082,28357,35207,45700,46697,28046,34523,83245,27117,38146,40310,25577,70120,22964,18972,15954,20501,15381,37710,21282,9314,14927,45035,27030,28056,28504,13587,11679,5714,5549,7097,11215,10364,17008,20219,33295,29575,15973,13555,13558,13929,13044,11855,10949
2019-04-20,5277,11754,27120,52796,18933,11868,9623,3976,2408,10390,2213,3356,9726,7995,13151,6291,8071,4592,9205,3501,6839,7283,2551,20962,2251,18249,10550,15612,18024,18485,9860,37271,21149,31960,28886,6493,35292,24778,23812,20295,16364,176445,49846,21681,21182,33640,39772,31165,24650,10517,27229,7055,7932,18460,7715,3605,2070,9431,9189,9438,45429,6999,13110,7079,21400,20081,33259,41870,37438,23782,33841,93504,18745,34571,35531,20533,59869,16704,16617,10032,14916,11024,35668,15612,11582,12706,22720,21608,18274,23695,9335,9402,4417,2655,6506,10302,10320,14473,14933,24180,27380,12937,11176,11506,10709,11056,9137,9001
2019-04-21,5359,8643,20721,43548,14792,10293,7482,3496,2171,7651,1779,2824,8668,6099,11558,5113,7214,4265,7360,3225,5230,5623,2332,17390,2117,15204,9122,13008,14811,15081,8298,29915,16266,23902,25470,5274,28470,20530,18676,17249,12642,172447,40248,15642,20501,28351,32789,25620,22903,8096,21590,5758,6678,15368,6722,2949,1767,7872,7759,9674,42439,6387,12335,5797,16521,15473,27876,38280,30581,19782,28683,77426,14155,27646,26813,16118,49392,13907,13587,8142,14082,9960,30935,11924,12175,10700,17013,15118,15005,19356,7043,7827,3847,2297,5480,7967,8400,12798,12558,18721,22156,10633,9483,9291,9078,9511,7595,7343
2019-04-22,5881,15895,42321,43291,28707,16249,12356,4289,3416,14729,2713,4512,6280,10341,10580,18898,18276,5867,8920,3339,8849,8490,6225,30013,2409,13273,11251,17320,22068,17028,10315,27324,17977,34211,28109,12211,35964,26697,26424,22431,26157,145136,37755,23464,25202,27244,32507,28696,23505,13848,31560,7558,9880,17818,5692,3627,3521,12793,9378,9227,36031,8627,13516,7430,21008,26487,30541,38394,42260,25506,29900,66991,22618,32572,33659,21409,60952,20396,17043,14452,17627,13896,31092,18768,8419,13265,41479,24630,25190,25610,12953,10840,5301,5134,6397,10406,9358,14011,18540,29911,25234,14894,12593,12356,13156,11873,11110,9927
2019-04-23,6071,16083,42583,45740,29031,16580,12595,4446,3546,15232,2679,4703,8279,10743,11387,19286,18319,6154,9427,3493,9026,8836,5788,32159,2452,14224,11606,17768,22771,17928,10553,28845,19059,35373,30185,12232,37361,27766,27025,23289,27133,138786,39440,24116,26111,29686,35309,30694,24739,14067,32703,7782,10028,18637,6068,3771,3640,13706,9668,9423,37732,8976,13555,7556,22475,27502,31964,38300,44115,26244,31386,68295,25005,33404,34951,21914,59990,21352,17640,14734,18220,14876,31358,19152,8826,13102,41148,24759,25610,26443,13288,11186,5558,5258,6607,10730,9675,14460,18904,30451,26487,15032,12840,12453,13391,12149,11272,10161
2019-04-24,6404,16748,43362,46551,29038,16683,12740,4637,3517,15230,2763,4731,7635,10759,12913,19359,18944,6025,9484,3552,9117,9098,5837,37722,2448,14902,11638,18038,22914,18254,10654,29696,19195,35583,29927,12252,37462,28020,27010,23428,26872,143769,41003,24150,26001,30899,35978,30869,24755,14108,33425,7953,10002,18772,5904,3904,3643,13426,9931,9698,38150,9050,13660,7732,22622,27165,32150,39847,44677,26643,31219,73594,25256,34599,35384,22994,63262,21424,17965,14469,19849,14807,31323,19127,9482,13324,42771,25102,25974,27100,13525,11316,5561,5384,6708,10691,9686,14425,18688,30183,26836,14965,12845,12585,13419,12266,11219,10354
2019-04-25,6023,16265,44317,47466,29761,16790,12908,4427,3496,14921,2729,4730,7764,11111,12696,19326,18922,6220,9479,3526,9145,8816,5823,39937,2564,14608,11513,17828,22921,18195,10588,30313,19293,35721,30471,12169,37934,28138,26677,23363,26238,146251,41170,23239,26763,30315,36533,31270,24655,14102,32721,7993,10340,18905,5785,3708,3700,13397,9754,9682,38521,9023,13884,7596,22737,27050,32170,39979,43795,26553,31366,73006,26156,35243,36182,23360,63352,21607,17574,15179,20210,15282,32962,19292,8937,13012,42749,25197,25758,27095,13462,11219,5583,5229,6711,10503,9600,14382,18901,30558,26165,15072,12777,12565,13663,12272,11207,10228
2019-04-26,6998,17117,45220,52897,30547,17643,13513,4731,3707,17306,2985,4887,8514,11908,14097,19961,19347,6916,10200,3771,10161,9519,5889,40953,2638,16187,12427,19254,24643,19601,11238,34638,21760,38487,33376,12127,40094,29677,28529,24191,26859,174152,46899,25538,27500,39930,40645,35200,27038,14666,34747,8546,10619,21034,6674,3884,3694,14112,10345,10565,44553,9608,15054,8220,23951,28310,35681,46197,47075,28192,33827,83419,26035,38589,40274,25707,70510,22900,19042,16101,22266,16018,36098,20439,9689,14636,43281,30194,27317,29306,14951,12341,5949,5542,7105,11082,10621,16146,19883,31633,28425,16092,13780,13751,14254,13014,12131,11021
2019-04-27,5642,11791,27199,53232,18799,13204,9905,4220,2932,11041,2271,3919,9913,8712,17234,6222,8453,5371,9538,3347,6847,7723,2577,25775,2377,18233,10829,15632,18104,16548,10000,35857,20514,31552,27710,6010,35847,25231,22649,20669,15230,179621,49481,21620,21817,51303,39519,30927,22569,10600,27993,7153,7370,17775,7423,3619,2152,10691,9461,9140,44454,7383,13925,7187,19488,20093,34797,43936,38630,24272,34433,97278,18063,37218,36119,22533,60643,17192,17030,10533,16995,11504,34538,14592,12081,13487,22731,20686,18701,24573,10202,10519,4581,2571,6506,8603,10146,14837,14993,22331,26535,12936,11449,11601,11436,11499,8976,9185
2019-04-28,5552,9697,21677,43149,15122,10536,7858,3635,2368,7886,1739,3152,9695,6532,11891,5192,6450,3940,7543,4030,5454,6106,2337,18061,2224,16472,9115,13234,14405,14820,8360,31708,16352,23855,24763,4899,28868,20377,18804,17278,12485,178608,42365,16690,20547,44147,33823,26029,21147,8099,22590,6096,6277,15230,7291,2980,1784,8060,7877,8507,42687,6590,12631,5779,16463,16215,28278,40414,31004,19553,30672,82905,14569,29584,27431,18921,53256,14007,13926,8247,14920,10564,30225,11449,10761,11603,18146,18061,15190,22595,7198,8243,3880,2283,5746,6683,8219,13142,12825,21098,24367,11052,9504,9472,9608,9556,7481,7457
2019-04-29,6478,15906,41967,45145,28219,15755,12289,4295,3323,14536,2742,4438,6969,10366,11941,18292,17889,5856,9075,3342,8722,8525,5549,29983,2369,14308,11303,17337,22013,17123,10163,28489,17420,33982,28683,12134,37001,27305,26239,22675,25764,153075,41107,24606,26089,27916,36054,29968,23721,13780,31754,7550,9742,18404,5638,3668,3399,12857,9322,9450,38254,8975,14189,7489,22224,26866,30926,39537,43011,26240,32179,71871,23175,34004,34323,21588,61072,20896,17031,14691,18425,14974,35938,18605,8821,13796,41431,24161,25059,27159,12980,10841,5419,4927,6512,10162,9514,14526,19007,30749,27571,14994,12502,12346,13206,12087,11070,9833
2019-04-30,6712,16880,43528,51872,28691,16595,13126,4548,3423,14974,2816,4636,8544,10964,12612,19330,18468,6108,9549,3362,9030,8914,5900,31198,2446,14954,12072,18133,23171,18212,10620,30042,19592,36193,32431,12125,37932,28070,27213,23421,26905,149752,44750,25223,27030,29481,37856,31900,25068,14101,32827,7869,9926,19303,6182,3941,3631,13455,9834,9666,38276,9141,13923,7602,22892,27543,32536,40056,45132,26743,33912,74031,25590,36068,37178,23111,62560,21957,18194,14870,18473,15199,34588,19786,8909,14079,43268,25360,25586,28270,13452,11517,5576,5304,6816,10623,9804,15084,20034,31661,29549,15280,12849,12641,13448,12478,11340,10241
