　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-01-01,2153,6643,16503,32800,10469,6414,5796,2952,1964,5784,1220,2645,10505,4202,10853,3578,4738,3165,6319,4538,4359,4825,2065,12016,3454,10092,8308,10042,12489,11477,7076,18164,9508,15968,16644,3205,23428,15678,15205,13671,7672,128220,43809,13611,13071,25272,23966,21255,15616,6663,16648,4878,4424,13737,7408,2844,1577,7647,6809,10589,38074,5486,9126,5121,13908,11047,20088,42852,22450,16433,24899,70220,10585,26783,22297,13006,49417,11887,10856,6838,14508,8832,26103,10217,8684,10426,13859,13468,10555,15800,5649,8068,4169,1862,6150,5682,7962,9058,10028,14163,17786,7783,7651,8030,7349,7753,6293,5602,820,2211,2916,4088,1066,1194,1530,10177,1708,3252,3503
2023-01-02,2681,6156,16512,30211,10251,6519,5446,2786,1778,7519,1060,2065,4791,4469,8872,3883,4976,3259,6135,3044,4393,4230,1995,10666,2870,7758,7516,9395,12677,9934,6619,16202,9248,16062,11779,2814,21634,14385,14156,11978,6176,103975,37801,13864,11367,15091,17512,17373,14437,7349,15914,4346,4022,12159,4485,2270,1842,6520,6165,8107,23817,4746,7118,4658,12574,11871,16714,31300,20758,15495,20061,51759,8316,22440,21447,11204,40711,11548,10278,6341,13149,6185,18567,9658,4819,8340,13475,13320,10537,12359,5297,5295,3612,1797,4420,5272,6753,7700,9191,13409,15491,6876,6778,7307,6604,7013,5335,4848,807,1936,2717,3811,1033,1145,1486,7993,1570,2923,3024
2023-01-03,4069,13436,40848,36996,24731,12985,10774,3804,3101,13311,1920,4346,4970,8067,10143,17521,17608,5378,9238,3364,8590,8417,6514,25292,3151,10310,12891,15187,23367,16568,9564,22378,15294,29833,24748,9529,33932,24734,24599,19247,22725,110556,38969,20006,21564,24124,25308,24484,21463,12315,29634,6488,7769,18523,5043,3602,3207,13902,9320,12442,28026,8855,12588,7763,21928,22998,24356,36228,36389,26057,24433,52056,23529,31604,31105,18808,56551,20725,15623,13791,19258,12260,26316,19155,7534,11866,37194,21782,24015,22428,9509,10628,5741,4819,6842,9992,9231,11530,16241,27253,22758,12924,12190,12232,11685,11342,10922,8763,1591,2575,4276,4809,2548,3772,3231,8005,2419,4107,5374
2023-01-04,3976,13974,42067,38864,25100,13379,10785,3886,3204,13298,1944,4291,4785,8152,11403,17527,17836,5284,9452,3564,8715,8505,6666,26217,3132,10431,12817,15052,23575,16639,9551,21969,15297,30204,24707,9792,33889,25127,24429,19325,23011,108837,41191,20822,21902,24408,25698,24826,22004,12491,30237,6801,7833,18665,4870,3566,3202,13968,9428,12294,27957,8916,12585,7875,22225,23277,24718,36641,37229,26606,24859,53879,24590,32040,31558,19745,57010,20519,15538,13829,19623,12666,26786,19449,7506,11960,38360,22268,24443,23119,9553,10798,5842,4991,6942,10050,9305,11616,16557,28057,23444,13079,12442,12252,11801,11451,10946,8828,1600,2524,4144,4755,2644,3763,3226,7962,2520,4147,5475
2023-01-05,3838,14080,42690,40464,25593,13323,11082,3971,3226,13400,1971,4425,5349,8292,11587,17707,17987,5541,9486,3859,8698,8499,6667,26534,3288,10628,12986,15174,23279,16601,9523,22308,15437,30457,24969,9429,34505,25232,24785,19347,23036,111015,42882,20790,22119,25064,23992,25227,22298,12216,30232,6718,7921,19068,5026,3671,3319,14208,9452,12759,28753,9051,13064,7815,22432,23062,25015,37076,37019,26616,25271,54367,23593,32624,32615,19925,59002,20569,15387,14516,19580,12605,26916,19580,7557,12306,38684,22755,24727,22995,9434,10879,5979,4912,7155,10073,9503,11981,16606,28130,23766,13046,12334,12468,11813,11301,10840,8771,1615,2563,4239,4920,2703,3751,3248,7971,2441,4098,5585
2023-01-06,3830,14331,45418,44026,26343,13487,11032,3998,3403,13260,1982,4376,4586,8227,12461,17917,18051,5736,9616,3433,8680,8724,6879,28561,3256,10764,13206,15509,24215,17167,9891,23653,16169,31330,25925,9661,35220,25953,25527,19692,23189,127110,47701,22088,22962,25580,25126,25196,23223,12445,30148,6933,8576,19841,5312,3826,3355,14083,9523,12634,28741,9320,13383,8099,22835,23276,26159,40438,38780,27762,26673,60344,24525,34412,36036,21707,64837,21374,16043,14789,21549,12776,32784,20668,7620,13569,40710,28007,25709,24585,9547,11055,6173,5039,7268,10368,9864,12315,17357,30511,24961,13348,12559,13054,12184,11817,11138,9103,1641,2669,4399,5032,2772,3815,3249,8886,2584,4368,5892
2023-01-07,3253,12247,37998,45638,23097,11147,9562,3941,2871,10704,1750,4048,8081,7422,14076,12249,13968,5420,9005,4902,6973,8084,5688,22468,3411,10946,12044,14103,20089,15560,9221,24009,15491,27312,23985,7619,32686,23441,22498,18154,13394,128496,53744,20190,20834,26055,25377,24772,21684,10667,25234,6546,6629,18749,6245,3620,2269,10045,8717,11784,29568,8595,12293,7505,20991,18997,26420,39887,33624,25171,27279,67706,20834,32727,36138,20816,63806,20007,14878,13053,19866,12305,31835,18298,10486,15109,34737,23639,21699,21862,7762,10804,5961,4163,7440,9407,10001,13383,16422,26589,24556,12187,11780,11940,11088,11166,9432,8124,1490,2451,3910,4772,2241,2798,2782,8968,2316,4175,5123
2023-01-08,2804,7396,19113,32667,12763,7295,6288,3323,2079,7232,1209,2590,6819,5353,10639,4428,5487,3569,6788,5716,4571,5121,2045,12405,3025,9680,8213,10150,14220,12523,7454,21998,11071,18678,15777,3436,23811,16296,15763,13997,6960,114121,42231,14010,14312,21755,22201,20347,16857,6784,17629,4952,5094,14406,5263,2808,1551,7643,6836,10054,28219,5480,8757,5447,14342,11748,19823,30567,23543,18314,22042,56146,11855,26941,23152,14551,43858,12539,11065,8029,13699,8245,24353,10608,10229,11944,15463,14663,12456,14478,5662,6871,4068,2148,6185,6179,7333,10576,10864,15990,18516,8063,7737,8358,7380,7616,6351,5565,885,2044,2779,3805,1205,1407,1638,7583,1804,3057,3603
2023-01-09,4010,13105,40972,37750,24433,12727,10400,3837,3185,12594,1960,4347,4573,7592,11101,16851,17287,5525,9137,3723,7778,8271,6273,26033,3075,10354,12675,14690,22823,15645,9146,20933,14890,28631,23363,9102,33408,24174,24243,19056,23245,114325,40209,20857,21211,23263,22818,23385,21525,12382,29838,6543,7770,17937,4482,3464,3122,12677,9243,12284,28699,8946,12666,7967,22008,22270,24441,36756,36246,25727,24549,52802,22203,31259,31677,18746,56527,19721,15004,13912,19214,12379,28714,19076,7313,12645,36991,21939,23953,22583,8376,10506,5797,4824,6808,9705,9474,12028,16204,28043,22663,12749,12058,12048,11721,11188,9745,8604,1568,2550,4114,4682,2678,3594,3053,8037,2340,4016,5460
2023-01-10,3743,13735,42672,39315,24929,12656,10576,3722,3190,12392,2002,4314,5104,7773,11364,18037,18014,5333,9246,3678,7837,8344,6469,28405,3137,10713,12979,14736,23443,14930,9319,21381,15294,30143,25105,9165,33957,25247,24545,19484,23013,112896,42604,22247,21748,24495,22891,24181,22042,12622,29902,6625,7992,18407,4608,3621,3193,12444,9408,12480,27684,9109,12863,7892,22252,22798,25347,37014,35881,26431,24975,54232,23039,32020,33121,19709,58355,20533,15184,14267,19700,12232,25973,19114,7480,13648,38308,22606,24376,22857,8433,10700,5773,4947,6962,9968,9686,12098,16633,28722,23423,13088,12243,12205,11762,11355,9937,8854,1629,2618,4037,4870,2688,3677,3060,8010,2361,4169,5520
