　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-01-01,2552,6759,16459,34426,9994,6648,6165,3106,1924,5153,1400,2500,10173,4123,10953,3494,4561,3175,6515,4457,4228,4382,2142,12497,3401,10729,7499,9998,12671,11448,7096,18448,9833,16318,17148,3276,22741,14994,15178,13180,8140,125217,42908,13731,13979,25049,24392,20780,15173,6529,15995,4829,5067,12940,7609,2677,1502,7056,6554,9186,41091,5276,8330,5014,13130,11153,22240,40330,22824,16117,26284,72151,11303,26839,21547,12414,50094,12444,10722,6480,14505,9663,26145,10553,9042,9930,13699,12821,10746,16451,4932,7590,3981,2050,6137,5613,8118,10186,10444,14202,17473,7885,7213,7526,7518,7807,6171,5921,905,2110,2715,4070,1040,1217,1571,11237,1525,2942,3465
2023-01-02,3353,5910,15763,31443,9308,6616,5020,2735,1747,5795,1203,1944,4309,4008,8743,3358,4368,2835,5835,2893,3936,4029,1944,11234,2850,8232,6794,8999,12206,9054,6212,15660,8948,15362,11197,2582,19556,13540,14006,11460,6179,125739,36980,13308,11627,15733,16824,16092,13290,7100,14502,4476,4527,10760,4655,2251,1703,5488,5977,6803,24263,4637,7708,4661,11891,12785,18616,31927,20521,14742,20354,52106,8176,22268,20572,10536,42771,10740,9843,5686,15021,6336,18983,9115,4856,7918,13112,12483,9755,13062,4585,5137,3420,1762,4328,5116,6422,8984,8978,12974,14643,7281,6517,6862,6600,6781,5174,5072,774,1768,2409,3647,926,1075,1446,10580,1342,2559,2900
2023-01-03,4007,13401,38976,37678,24814,13502,10754,4128,3182,12230,2466,4002,4635,7640,10429,17387,18110,5636,9193,3431,8409,8028,7292,26718,3083,11919,12079,14651,23668,16039,9950,22743,15212,29609,24986,9615,32190,23955,24644,19566,21632,120374,38533,18729,21893,23211,25028,24456,21446,12355,28317,6912,8834,17023,5438,3541,3118,13395,8651,10939,29857,9413,12468,7761,21357,24959,27199,32879,37048,24997,24847,51840,22995,31338,30460,18436,54837,20311,15344,13757,19131,12949,26829,18371,8038,11639,36352,20914,23281,23452,8442,10443,6061,5038,6835,10057,8906,12641,16341,26973,22333,14316,11733,11565,11901,11053,11529,9632,1937,2461,3841,4798,2650,3722,3129,8337,2204,3798,5212
2023-01-04,3798,13840,39476,39596,25320,13864,10910,4181,3384,12372,2509,4113,4751,8140,11768,17299,18353,5564,9385,3773,8683,8219,7145,27665,3019,12209,12371,14834,24208,16293,9932,22903,15340,30249,25329,9800,32977,24232,24789,20035,21849,112278,40513,19294,22020,23296,26379,25274,21946,12812,29597,7205,8736,17486,5269,3492,3250,13516,9079,11053,30351,9450,12398,8012,21753,25364,27993,32781,37964,25721,25555,53535,23917,32329,30795,18861,54908,20485,15446,13653,18905,12959,27323,18416,8192,11680,37151,21504,23567,23780,8737,10609,6104,5129,6990,10149,9240,12761,16561,27510,22832,14289,12065,11705,12215,11342,11747,9748,1897,2459,3791,4868,2658,3827,3159,7663,2197,3876,5506
2023-01-05,3705,13847,40456,41059,25534,13759,11206,4176,3318,12532,2519,4237,5465,8398,11985,17578,18479,5810,9515,4054,8610,8242,7053,28010,3065,12269,12482,14933,24022,16419,10038,23311,15545,30643,25357,9633,33340,24585,25299,20127,22003,112844,42199,19671,22309,23994,24254,25283,22469,12568,29613,7015,8964,17943,5393,3578,3270,13951,8953,11423,31669,9546,12642,8019,21992,25256,28271,33232,38210,25934,25867,53604,23010,32898,31844,19352,57031,20227,15327,14351,19018,13216,27261,18819,8230,12421,37452,21712,23967,23484,8623,10656,6027,5078,7134,10229,9320,13035,16593,27521,23395,14331,11937,11830,12185,11162,11603,9809,1844,2556,3891,4890,2732,3772,3120,7710,2240,3908,5527
2023-01-06,4033,13423,42085,44562,26170,14035,11401,4320,3585,13906,2550,4214,4852,8483,12991,17096,18568,5980,9735,3567,8764,8577,6903,31127,3179,12538,12689,15340,25163,17290,10280,25151,16366,31753,26612,9734,34529,25208,26073,20473,22042,127660,46614,20444,23125,24430,26379,26001,23257,12955,29820,7580,9573,19135,5737,3847,3402,13960,9156,11897,33268,9734,13054,8280,22480,25759,29328,36534,39997,26930,27449,58862,23713,34761,34072,20248,62358,21124,16137,14498,20577,13655,31899,19476,8098,13291,38483,26157,24538,24965,8926,10904,6240,5191,7432,10738,9684,13926,17408,29527,24219,14662,12281,12467,12654,11595,11949,10357,1824,2665,4065,5128,2748,3784,3254,8773,2361,4047,5971
2023-01-07,3453,12025,34863,46353,22763,11474,9796,4343,3132,11219,2304,4012,7703,7491,14339,12134,14233,5911,9356,4915,7152,8211,5983,24070,3331,12479,11598,14354,21103,15664,9798,24974,15543,27709,24658,7768,32599,23422,23524,19088,12666,129921,51752,18607,20972,25047,25623,26291,21800,11220,25086,7218,7629,18102,6692,3607,2432,9797,8510,10853,33181,8794,12368,7752,21192,21211,29016,36990,35225,24924,28061,64341,19473,33213,33715,19631,61440,19886,14929,12896,18873,12245,30913,17140,11076,14268,32430,21793,20904,22278,7441,10602,6047,4142,7440,9625,9670,14637,15841,25443,24268,13338,11857,11824,11720,11175,10194,9193,1743,2436,3773,4815,2246,2763,2776,8800,2086,3932,4917
2023-01-08,2955,7440,18365,34056,11838,7614,6284,3351,2064,6086,1443,2620,6460,5201,10614,4139,5194,3532,6986,5537,4462,5030,2061,13429,3097,10318,8033,10076,14217,12424,7446,22277,11243,18448,15485,3319,22943,16124,16114,14294,6980,118549,41295,13436,14629,22190,22057,20563,16264,6812,17297,5004,5762,13244,5392,2881,1484,7132,6493,9037,30229,5554,8973,5501,14223,12957,22323,29725,24208,17709,22782,55685,11675,27108,22128,13330,44133,12496,10825,7750,14090,8039,24416,10255,10404,10851,14853,14001,11897,14759,5314,6686,4020,2143,6158,6145,6972,11398,10983,15843,17929,8661,7829,8042,7582,7717,6565,5990,838,2021,2680,3775,1175,1303,1655,8163,1669,2760,3419
2023-01-09,3827,13014,39186,38834,24548,13190,10370,4105,3272,11705,2499,4083,4463,7521,11512,16669,18002,5584,8957,3857,7526,7926,6770,27853,2882,11866,11888,14455,23504,15280,9431,21699,14847,28522,23985,9127,31969,23358,24336,19626,22381,116120,40091,19633,21185,22370,22563,23758,21790,12681,29033,6919,8729,16768,4899,3425,3101,12173,8656,11080,31858,9508,12568,8195,21457,24313,27139,33117,37100,24774,25154,53091,21915,31534,30728,18120,55753,19307,14929,13589,18683,12993,29536,18367,7949,12370,35950,21357,23221,22962,7503,10268,5931,4989,6943,9805,9171,12754,16176,27750,22298,14097,11752,11414,11986,10919,10514,9588,1693,2333,3642,4731,2709,3606,3074,7995,2145,3874,5218
2023-01-10,3784,13430,40166,40121,25090,13032,10739,4071,3463,11485,2526,4094,5053,7707,11879,17789,18276,5652,9396,3773,7649,8166,6803,31284,2981,12266,12335,14709,24243,14997,9666,22543,15409,30211,25636,9341,33159,24290,24898,20194,22114,113814,41907,20812,21466,23508,23208,24639,22173,12875,29380,7124,8968,17170,5175,3573,3180,12077,8922,11282,31555,9543,12601,8104,21750,24982,28275,33309,36712,25842,25623,53591,22440,31911,32098,18963,56455,20281,15177,14175,19084,12824,26405,18257,8056,13147,36851,21580,23492,23678,7421,10487,5894,5263,7024,10099,9288,13372,16600,27994,23059,14265,11903,11741,12194,11276,10694,9716,1765,2479,3783,4718,2755,3707,3008,7822,2115,3909,5490
