　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-07-01,3960,8461,24261,42379,14946,9300,7204,3265,2242,7144,1384,2785,5982,5766,12353,5224,6593,3592,7886,2973,5284,5715,2493,18174,3584,11079,9224,11496,12969,12910,8215,23537,14122,23069,20586,4181,26457,18817,14810,14687,10983,139836,50514,17565,14888,22862,26361,22136,17786,8416,20640,5401,5113,13864,4438,3088,1588,7408,7335,10141,27599,5759,9817,5906,16090,14459,22718,37743,27566,20194,24168,70772,14777,30267,30621,17874,55188,14793,13498,10940,18696,8242,41051,13755,8588,12202,21065,17747,13996,17659,5969,8435,3473,2409,6360,6997,9395,10246,13357,19225,21873,9450,8590,9524,8849,8901,7191,6430,,,,,,,,,,,
2023-07-02,3891,6913,18140,33127,11310,8148,5726,3005,1901,6279,1166,2267,5128,5097,11232,3828,5328,3009,6367,2743,4199,4883,2168,14924,3632,10362,7878,9889,10690,11330,7260,22969,11420,19570,16697,3559,22555,15533,12272,12320,8066,125154,41226,12334,13087,18819,22176,18789,15001,6660,16581,4541,4224,11631,4002,2660,1251,6652,6147,8806,24951,5176,7816,5024,13303,10875,18271,31987,22468,16611,21291,58792,10805,26496,21960,14159,44474,12281,10871,9134,15704,7171,36238,10288,7783,9970,15155,10968,11544,14437,4966,5995,2689,2007,5600,5529,7712,8267,10296,14840,18464,7889,7009,7811,7218,7503,5952,5219,,,,,,,,,,,
2023-07-03,5474,13157,42433,38489,22078,12721,9994,3785,3190,11617,1943,3565,4600,7270,11325,15655,16798,4438,8940,3193,7661,7499,6296,25307,3310,10169,12410,14699,18580,14266,9174,23044,14984,30076,23502,8769,31973,23770,20395,18125,23910,127118,42907,21307,20177,22041,22391,22748,21149,11502,27644,6214,7641,16249,3679,3629,3070,11834,9014,12570,27925,8769,12320,8084,21108,22105,24812,38350,34832,26305,24486,61917,20596,31278,31495,20033,58814,17731,15248,13290,19275,12461,39155,19428,7066,13512,38563,22735,23739,24006,8466,10212,4375,5002,7226,9211,9694,10802,16130,28126,22841,12914,10960,11854,11266,10842,9376,8174,,,,,,,,,,,
2023-07-04,5233,13670,43752,40881,22574,13227,10323,3869,3123,12191,2007,3682,6152,7397,11671,16089,17452,5014,9107,3376,7830,7633,6512,26088,3384,10636,12446,15115,18693,14705,9523,23986,15485,31605,23227,8898,32935,24797,20779,18204,25071,128891,44570,21983,20542,24040,24448,24311,21613,11750,28072,6566,7674,16958,4134,3736,3004,11770,8863,12783,27958,8875,12625,8055,21719,22936,25508,38914,35546,26578,24804,62428,20972,32299,33283,20620,59999,18498,15607,13424,19784,12728,30267,19800,7801,13938,39484,23642,24735,24492,8566,10168,4440,5061,7359,9881,9947,11042,16278,27959,23773,12972,11227,12139,11234,11050,9607,8400,,,,,,,,,,,
2023-07-05,5257,13800,44341,41823,22923,13583,10416,3800,3153,11936,2064,3729,5969,7527,11934,16301,17413,4720,9626,3139,7973,7724,6632,26749,3375,10778,12450,15418,18835,14808,9517,24337,15807,31422,23777,8774,33136,24900,20933,18776,24837,130662,46699,23089,20883,23938,24958,24191,22133,11683,28502,6564,7823,16694,4225,3734,3089,11771,9100,12976,28358,8867,12785,8244,21882,22900,25723,39246,35892,27124,25439,63933,22007,32348,33777,21405,61439,18802,16007,13783,20309,12844,29064,20257,7444,19702,40245,27318,24726,25225,8413,10353,4513,5043,7530,9389,10577,12380,17202,28725,24268,13169,11390,12160,11374,11460,9596,8331,,,,,,,,,,,
2023-07-06,5152,13761,44048,41726,22747,13035,10257,3890,3219,11725,1909,3635,5863,7439,12373,16257,17200,4751,9463,3184,7696,8034,6729,26576,3505,10960,12701,15103,19175,14553,9496,23699,15432,31459,23551,8910,32663,24805,20806,18401,24154,135171,45932,21712,20738,23753,24996,24236,21752,11469,27782,6264,7803,16577,4112,3703,3019,11692,8953,12670,27933,8927,12632,7991,21550,22525,25303,40178,35877,27004,24709,64315,21283,32479,34319,21927,63311,18985,15849,14197,20927,12846,30736,20296,7532,14097,40251,23914,25011,25305,8276,10185,4428,5058,7549,9202,10157,11176,16766,28677,24288,12930,11418,11941,11223,11142,9379,8319,,,,,,,,,,,
2023-07-07,5683,14013,45847,47241,23675,13294,10591,3877,3109,11583,1937,3584,5484,7468,13252,15639,17126,5168,9751,3251,7627,7692,6795,32900,3766,10944,12675,15594,19653,15337,9939,25193,16153,32012,24643,9136,33851,24958,21181,18833,24277,156896,52758,23275,21405,24922,26882,25048,23319,11250,28011,6723,8082,17062,4280,3788,2966,11386,9014,12677,28593,9392,13549,8325,22040,22294,27049,44288,36256,27851,25909,72801,22147,34484,37892,23532,69145,19825,16451,13773,24475,12702,34903,21422,7962,14907,41909,24448,25209,26645,7795,10408,4551,5031,7762,9403,10831,11344,17627,29383,25734,13335,11398,12507,11495,11457,9709,8502,,,,,,,,,,,
2023-07-08,3961,8459,24578,42828,15598,8845,7201,3550,2175,7588,1390,2857,6631,5984,14156,4956,6531,3747,7992,3150,5557,6010,2825,31319,5404,10837,9250,11785,13094,13480,8209,23306,13122,22908,17717,4107,26819,19046,14918,15270,9470,148423,51076,18188,15498,26223,29182,23547,18955,8105,20078,5691,5406,14336,4563,3056,1536,7464,7384,10626,30258,6246,10149,6131,16691,14439,24494,39584,28161,21408,24292,75689,14404,30901,31416,17924,59940,15180,13347,9711,22111,8379,30823,13408,10470,12894,21071,14595,14298,18252,5814,7967,3421,2299,6782,7121,9640,9877,13028,17922,21920,9827,9068,9908,8737,9134,7640,6412,,,,,,,,,,,
2023-07-09,4032,6902,18509,33049,10827,6969,5847,2920,1920,5849,1187,2254,5594,4950,12147,3942,5226,2968,6612,2729,4624,5083,2346,21947,5149,10362,8086,9946,10843,11875,7244,19633,11117,17587,14644,3575,22669,15759,12691,12689,7425,130525,40292,13430,13967,21915,22874,19522,15628,6579,15598,4776,4324,12320,3710,2597,1220,6358,6289,8931,26732,5496,8405,5289,14228,11243,19309,33020,22892,17900,20539,64152,11408,25742,21693,13899,46380,12508,11324,6826,17434,6976,24991,9791,8277,10714,15869,10843,11729,14088,5071,6223,2641,1896,5855,5831,7532,8054,10171,14007,17763,8195,7249,8087,7265,7497,6168,5190,,,,,,,,,,,
2023-07-10,5272,12937,41634,37810,21701,12578,9846,3681,3118,11759,1917,3423,4320,7227,11770,15602,16470,4449,8897,3027,7721,7288,6550,31274,3594,10082,12289,14720,18514,14465,9229,23125,14515,29852,21931,8640,31967,23116,20359,18102,23302,129251,41503,21901,20198,22391,22119,21954,21021,11476,27579,6367,7561,15925,3493,3623,2946,11478,8773,12277,26709,8884,12469,8063,21298,21944,24765,39421,34789,26604,24430,61160,19874,30691,31251,19743,59713,18027,15273,13307,20252,11950,30395,19188,7483,13350,38431,22643,23457,24036,8162,9623,4322,4808,7004,9070,9871,10536,15776,26986,22213,12752,10900,11784,11236,11056,9355,8103,,,,,,,,,,,
