　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-11-11,3758,10171,30214,66695,18383,12137,8723,3765,2634,9728,1615,3393,8246,6794,12732,6846,7742,4222,8755,3431,6465,6805,2518,33756,3520,10656,10033,13849,17671,14739,8817,23605,14228,26624,24797,5674,31586,21586,16842,16916,11822,169275,57989,19641,20365,31519,30641,29122,23686,12079,25836,7213,6309,17466,7500,3502,1844,9341,8547,11874,34246,7052,11750,6817,19138,17161,27879,43513,31794,23298,29808,87822,17301,37782,36151,22057,72448,17516,15532,12779,25900,9627,37169,15038,11877,14266,24175,19409,16636,20122,8426,9693,3934,2799,8726,8628,11007,12005,15157,21160,25832,12305,11122,12043,10191,10736,8862,7928,,,,,,,,,,,
2023-11-12,3724,7872,21273,49191,13384,9140,7029,3309,2172,7430,1312,2601,6596,5901,11124,4281,6162,3670,7389,2584,5332,5985,2260,25826,3430,9198,8605,11550,13856,12570,7963,20798,12492,20941,22033,4125,25434,18277,13649,14396,9342,148825,45386,13529,15847,24348,25274,23259,19081,7527,20549,5805,4902,15268,6765,2995,1479,7801,7010,10346,30653,6164,9442,5475,15193,12320,21750,36932,26232,19331,24973,69096,13560,29495,24069,15298,51787,14383,12280,8966,21864,7338,31019,11019,9416,11190,16827,16776,12572,16447,7075,7145,3083,2153,6221,6676,8421,9775,11786,16213,20414,8810,7900,9097,8446,8628,7221,6323,,,,,,,,,,,
2023-11-13,5202,13809,44149,50583,26314,14120,10975,4172,3421,12992,2049,4742,5366,9860,11077,16775,18395,5903,9699,3181,9011,8717,6937,26730,3210,10678,13005,16358,20145,16609,9863,22497,15319,31704,26813,11616,34478,25214,21223,20082,24785,128737,42351,22278,22381,24634,27574,26410,22170,11869,31021,6963,7990,19351,5535,3800,3431,13889,9507,13524,30785,9380,13203,8375,23200,23961,26126,40182,37748,27756,27106,63349,24707,33494,32429,19956,60142,19872,16384,13882,21491,13050,30184,19624,7169,14828,39611,21837,24501,25679,14585,11114,4737,5112,7733,10450,10313,12203,17148,28860,23904,13727,11806,12900,12476,11902,11490,9134,,,,,,,,,,,
2023-11-14,4967,14645,46038,49550,27319,14945,11289,4207,3377,13598,2183,4780,6046,10137,11162,17406,19278,6116,10156,3249,9323,9104,7001,28356,3320,10936,13364,16527,21086,17041,10167,22206,16291,32938,30092,11991,36081,26483,22082,20470,25647,128702,43410,22896,23878,26339,28169,28105,23128,13388,31567,7121,8232,19930,6579,3994,3436,14136,9770,13799,30347,9534,13757,8669,23706,25149,26943,40905,39463,28310,26944,62793,26200,33729,34116,22356,62179,21498,16745,15837,22573,13091,30271,20267,7869,15095,41242,22574,26074,25181,14663,11442,4964,5259,8042,11068,10313,12844,18146,30325,25981,14597,12816,13354,12946,12338,11843,9454,,,,,,,,,,,
2023-11-15,5012,14666,46526,52329,27220,15157,11480,4087,3617,13716,2272,4873,6486,10230,11743,17425,19639,6234,10280,3538,9420,9124,6959,28826,3399,11337,13364,16694,21179,17457,10190,22772,16915,33698,30063,12160,36138,26636,22309,20633,25881,132543,45584,23590,24378,27355,29946,28788,24421,13671,32091,7908,8721,20789,6674,4195,3653,14589,10328,14556,33076,9694,14135,8719,24080,25404,27355,41843,39690,29030,28271,63978,27330,35023,35239,23691,63920,21506,17022,16177,22708,14273,31085,20275,8403,15722,41595,22697,26323,26527,14502,11816,5011,5314,8352,11026,10426,12994,17928,30097,26583,14637,13026,13243,12987,12540,11985,9568,,,,,,,,,,,
2023-11-16,4988,14749,46963,51389,27683,14994,11575,4358,3380,13818,2186,4838,5837,10292,11901,17287,19133,6211,10264,3364,9435,9104,6956,29145,3641,11306,13362,16799,21406,17193,10199,23090,16691,33907,30478,12160,36698,26737,22268,20440,25593,136851,45560,22798,24665,26660,28223,28417,23684,13189,31660,7382,8343,19826,6638,4012,3413,13984,9511,13892,30413,9422,13797,8659,24074,24979,26916,42180,39380,28835,27503,63106,27008,34921,35049,22540,65052,21888,16662,16424,23392,13039,31075,20763,8282,15559,42464,23094,26210,25306,14316,11409,4949,5224,8174,10981,10608,13167,18459,30300,27172,14459,12883,13418,13330,12589,11770,9476,,,,,,,,,,,
2023-11-17,5630,15216,49131,60175,28712,15254,12102,4561,3624,14039,2252,4845,6974,10272,13665,17038,19051,6378,10824,3694,9627,9751,7053,50331,3770,12053,13739,17621,22486,18434,10720,25338,17836,34838,32867,12265,37593,27785,22420,20689,26160,175260,54243,25089,25738,29108,32677,30738,25967,13763,32712,7956,8715,21653,7070,4280,3665,14092,10382,14452,34841,10224,15551,9215,25246,25301,31122,52700,41240,30268,30138,77120,27343,38798,40971,25962,77418,22898,17825,15794,31847,14585,34237,22266,9412,16669,44037,23564,26624,28340,14479,12540,5261,5449,8749,11311,11635,13610,19543,31906,29467,15140,13504,14315,13462,13248,12187,9821,,,,,,,,,,,
2023-11-18,3911,10276,29607,60196,18432,10760,8754,3813,2631,9756,1686,3710,9931,7383,14788,5703,7908,4502,9445,4124,6357,6947,2785,51241,4667,11659,10260,14165,17376,15414,8915,24308,15975,26912,26727,5079,30783,22124,17147,17847,11430,165570,57210,20483,17837,31291,31014,27656,21629,9363,24327,7304,5882,18670,7891,3406,2145,9655,8856,12884,37260,7201,12655,7727,20131,17835,29976,59217,32869,25177,30990,87029,18516,36924,35960,29557,66772,17691,15504,9861,26350,11249,31882,14802,13418,14338,22504,19514,15987,22697,10439,11298,3985,2706,9330,8345,10887,12268,15731,21390,26271,11251,10343,11618,10359,10830,8879,7845,,,,,,,,,,,
2023-11-19,3755,8005,21452,48952,14305,8878,7063,3395,2432,8447,1521,3228,10740,6386,10696,4960,6819,3904,7893,3680,5615,5968,2374,42042,3170,10847,8732,11740,13954,13231,7855,21146,13077,21231,24097,4241,26091,18532,14107,15204,11801,148000,45789,14624,16438,24454,27886,23695,17899,7615,20741,6556,4855,16185,7537,2967,1522,8456,7908,11828,37480,6193,10440,6034,16391,13386,23612,48136,27104,20807,26087,71103,13447,29031,25413,18405,53786,14399,13295,7926,22768,9204,27918,11386,10567,12229,16307,11179,12673,16437,7121,7806,2871,2137,6932,6557,8460,9879,11504,16415,21265,9024,8084,9149,8474,8755,7505,6371,,,,,,,,,,,
2023-11-20,5156,13845,44272,54438,26147,14502,11059,4130,3465,12487,2133,4894,6463,9992,11151,16729,18664,6064,9721,3455,9061,9163,6824,44386,3203,11238,12923,16050,20367,16730,9717,24609,15286,31394,26686,11751,35032,25625,21376,19824,25007,132398,41976,22127,23058,25602,28660,27353,22910,13183,31533,7201,8205,19821,5464,3953,3404,14321,9655,14102,33166,9464,13727,8497,23484,24427,26543,43632,38171,27996,27237,61726,24465,33148,32371,20379,62392,20204,16423,14363,24939,13287,29388,19093,7985,15284,39570,22083,24917,25332,14457,11556,4801,5154,8001,10512,10147,12358,17284,28833,24796,14053,12617,13012,12621,12141,11651,9203,,,,,,,,,,,
