　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-12-01,5321,15466,49357,48584,28531,15648,12059,4330,3446,13722,2113,4839,5828,9887,13987,17276,19502,6402,10670,3404,9582,9625,7607,41060,3604,11293,13816,17447,22184,17961,10843,30283,18051,34990,30782,12049,38143,27937,22851,20937,25862,171215,54697,24815,25789,32357,31185,31908,27939,13592,32602,7118,8934,20854,6633,4220,3445,13830,10360,13903,31420,9960,15418,9037,25214,25330,29867,51953,41235,30531,29717,74263,28176,38788,39961,25281,77777,23264,17984,16431,31517,13881,37609,22644,8406,16422,44602,24821,27115,27950,14203,12360,5289,5452,8506,11151,11394,13498,19835,31935,27966,15030,13711,14390,13498,12997,12082,9985,,,,,,,,,,,
2023-12-02,3448,9735,28097,45067,17507,11392,8352,3665,2834,8355,1582,3198,8318,6737,12940,5321,7417,4236,8679,3188,6222,6518,2568,30174,3447,10193,10139,13508,16569,15009,8979,26711,15073,25518,31290,6358,29595,21315,16315,17187,13008,161143,61811,20797,17649,38906,28699,31503,22960,9260,23258,6504,5875,17124,7715,3528,1792,9267,8864,11906,32893,7206,12908,7469,19229,17443,31020,66103,31735,24894,32317,84179,18785,36754,35264,20962,74055,16642,15462,11468,24324,10300,38487,15157,10370,13241,26505,19950,15238,21769,8437,10495,3818,2572,7683,9212,10644,11869,14394,20942,24460,11185,9941,11459,10774,10713,9229,8215,,,,,,,,,,,
2023-12-03,3528,7807,21072,35554,14243,9473,6935,3290,2585,7866,1368,2617,7173,6018,10899,4379,6464,3640,7383,2796,4988,5585,2262,22881,3265,9523,8647,11761,14491,13544,8002,28434,13026,21175,26029,4102,25929,18367,13657,14652,10971,148111,48325,14600,16129,37124,25657,29605,21678,7855,19898,5587,4922,15942,7358,3003,1543,7977,7316,11050,31442,6096,9992,5939,16378,13301,24312,50398,27709,20586,27910,69660,20427,33807,24868,27407,58309,14084,12811,8008,20834,8349,32030,11089,10472,11243,17064,15696,12742,16447,6922,7226,3332,2307,8070,6763,8573,9526,11454,17010,20752,9116,8241,9481,9396,8935,7368,6406,,,,,,,,,,,
2023-12-04,4891,14334,45591,38541,26720,14926,11286,4164,3313,13441,2039,4694,4714,9622,10617,17211,18930,5891,9752,2971,9202,9057,7531,26683,3376,10256,13065,16029,20420,16266,9840,26260,15598,32059,24188,11550,35549,25670,21879,19696,24731,129864,40859,21885,23472,24829,25075,26693,22838,12700,30299,6554,7944,17983,5129,3701,3337,13537,9141,13086,27419,9059,12862,8147,23074,24088,25402,41779,38199,27639,27286,58884,25296,32804,31828,24363,61719,20613,16370,14241,22294,12076,30764,19852,7149,14416,40786,22277,25414,24208,14664,10537,4818,5453,7811,10484,10529,12440,17558,29421,24299,14334,12490,13159,13041,12697,11303,8992,,,,,,,,,,,
2023-12-05,4794,14469,46505,39929,27585,15154,11258,4019,3490,13498,2135,4842,5853,9938,11140,17676,19543,5963,9923,3245,9206,9016,7225,28129,3373,10802,13207,16574,21146,17637,9981,26769,16430,33226,29984,12415,36314,26708,22481,20390,25749,129539,43784,22704,24361,26568,27982,30044,26038,13505,31671,7052,8598,19855,6137,4089,3644,14314,10021,13719,30127,9484,13476,8487,23909,25132,27414,42569,39647,28644,27265,62782,26095,33722,34055,24910,63130,21624,16743,14383,22335,13153,30010,20261,8102,15303,41845,22973,25947,26337,14722,11709,5136,5509,7974,11028,10501,12694,18333,30720,26018,14432,13171,13133,12818,12326,11963,9543,,,,,,,,,,,
2023-12-06,4718,14777,47762,41809,27898,15496,11541,4208,3430,13759,2117,4737,5045,10094,11586,17578,19590,6016,10202,3189,9383,9186,7360,29200,3400,10776,13533,16618,21367,17361,10271,27511,16845,33913,29436,12053,36395,26584,22198,20240,25746,131956,44691,23341,24642,26094,27440,29591,24581,13364,32094,6959,8467,19811,5916,4111,3529,14204,9902,13550,29018,9450,13623,8695,23811,25376,27205,43473,39842,29065,27062,62901,26912,35015,34569,27254,66042,21588,16848,14354,23568,13019,30908,21028,7695,15173,42999,23838,26560,25827,14566,11608,5122,5547,8089,11025,10421,12749,18835,30610,26063,14619,12985,13349,13400,12498,11902,9609,,,,,,,,,,,
2023-12-07,4797,14944,47473,43710,27560,15275,11706,4158,3378,13566,2285,4853,7143,10390,11844,17422,19737,6230,10164,3793,9417,9263,7030,35524,3429,11400,13584,16596,21296,17905,10353,28081,16765,33731,31231,12488,36867,27286,22488,20715,25587,138867,47539,23791,25447,27964,31263,36011,27076,13595,32743,7186,8621,20817,6645,4186,3736,14740,10231,14567,33285,9845,14599,8820,24193,25702,28547,46182,40635,29638,28969,65873,26501,35521,35817,22919,67286,21845,17082,15339,25138,14243,32699,21088,8726,15899,42793,23696,26264,27147,14440,11924,5164,5451,8339,10859,10800,13086,18468,30690,27014,14546,13214,13315,13365,12587,11916,9689,,,,,,,,,,,
2023-12-08,5608,15828,50273,49556,29203,15869,12008,4320,3667,13880,2228,5036,7635,10224,14785,17039,19575,6613,10798,3758,9626,9931,7377,38537,3629,12393,14062,17620,22640,18553,10782,31220,18221,35532,32017,12315,38496,28262,22972,21115,26087,179501,56931,25592,26779,32231,33883,36675,28122,13831,33591,7399,8936,22295,7335,4449,3576,14494,10686,15111,35713,10599,16576,9737,25515,25946,31958,55477,42481,30907,30703,78005,28143,38612,40743,35332,84187,23297,18296,15530,31355,15319,38060,22979,9461,16832,45012,24759,27176,29094,14682,12755,5354,5702,8777,11430,11776,13755,20161,34059,29315,15399,13842,14357,13793,13296,12427,10359,,,,,,,,,,,
2023-12-09,3642,10145,29699,47971,18702,11600,8682,3868,2998,9526,1789,3642,10450,7008,13367,5613,8038,4415,8906,3896,6399,6913,2738,33864,3560,12609,10681,14160,17563,17008,9563,37594,18701,27384,28650,5599,32098,22819,17885,18699,12834,181245,63263,21717,18843,42844,33734,35061,24397,9882,25140,7135,6684,18834,8012,3780,1982,9605,9317,13367,39700,7770,14591,8197,21009,18742,35059,79427,34283,26254,31294,94081,18495,37277,37223,35529,88069,17707,16110,11242,28702,11515,38801,16134,12668,15234,23701,21215,16076,22710,11707,10728,4235,2853,8772,9410,11419,12339,15611,24084,25926,12533,11177,12283,11083,11225,9919,8612,,,,,,,,,,,
2023-12-10,3758,8428,22082,37271,13869,9965,6960,3468,2517,8251,1489,3228,10771,6862,11037,4738,6813,3802,7951,3905,5587,6040,2308,22697,3217,11066,9215,12386,14692,14538,8320,31366,14901,21116,24249,4773,27299,18931,14659,15940,9456,163365,50423,15347,17050,34253,28830,31979,20762,7928,21746,5683,5204,16574,6796,3130,1658,8847,7726,12406,39275,6823,11251,6601,17146,14420,26651,59010,28161,21550,26626,76311,14642,31504,25287,30051,66792,14249,13421,8809,24295,9771,32270,11955,11500,13163,17409,16249,13029,18220,6558,8480,3143,2304,7803,6881,9165,10133,12102,17084,21666,9427,8701,9821,8946,9033,8006,7026,,,,,,,,,,,
