　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-10-01,3408,6688,17584,31761,10815,7056,6178,3156,1904,7084,1193,2513,6192,5159,8893,4094,5373,3191,6537,2508,4563,4665,2106,11278,3300,9805,7905,11836,14659,11658,7492,21984,10970,17284,16017,3217,23388,16174,12018,13202,7291,120755,38647,11892,13575,30883,22303,19620,14928,6736,16828,4825,4117,13084,4595,2383,1249,6842,6222,10443,30742,5563,8221,4882,13457,10889,17782,30912,22149,16938,20882,55626,10239,26535,19755,14972,42800,12258,10946,8142,16249,7119,26206,9584,7930,8894,14172,8927,11992,13104,6805,6883,2496,1863,5403,5553,7292,7818,10477,13863,16870,7845,6914,8106,7462,7858,6340,5589,,,,,,,,,,,
2023-10-02,4945,13779,43083,37096,25730,14098,10731,3844,3332,13645,2057,4740,5600,10026,10249,16672,18593,5751,9408,3219,9060,8627,6869,26228,3208,10474,12962,16565,21309,16857,9688,27661,15268,31333,25214,12307,34928,25322,21401,19806,25058,122423,39779,21635,22834,24247,26556,26268,22221,12998,31578,6540,7948,18900,4539,3765,3364,14124,9587,13350,31447,9164,13299,8366,23071,24095,25185,37897,37617,27594,26110,55953,24170,32871,30586,18977,58569,19939,15826,13786,20691,13509,32774,19075,7356,13930,38989,21593,24718,24487,15131,11162,4668,5109,7600,10500,9739,12119,16831,28893,23577,13919,12556,12813,12467,12104,11667,9173,,,,,,,,,,,
2023-10-03,5100,14459,44821,40546,27251,14920,11500,4067,3320,13937,2117,4725,5122,10011,10456,17316,19161,6078,10110,3178,9289,9097,6884,27226,3380,10677,13327,16705,21691,17202,10104,27043,16188,33736,26101,12512,36249,26468,22101,20301,25803,122135,41808,21970,23320,25637,26786,27251,23194,13410,31404,6884,8250,19056,4781,3881,3472,14265,9871,13375,29867,9295,13658,8367,23302,25285,26377,38872,38913,28343,25520,55729,25485,33127,32504,19748,59800,21635,16278,14202,22129,13231,28518,19699,7251,14396,40406,22637,25572,24314,14992,12169,4844,5257,7896,10843,10167,12232,17557,29729,24876,14345,12724,13273,12844,12410,11908,9250,,,,,,,,,,,
2023-10-04,4874,14423,45492,39864,26619,15085,11412,3973,3296,13483,2023,4581,4076,9874,10756,17399,19053,5996,9859,2900,9438,8788,7194,26172,3563,9958,12960,16622,21455,17018,10168,26615,16601,33327,25903,12301,35941,26326,22103,20018,24952,117412,41293,21573,23032,23824,23269,26084,21716,12696,30139,6633,8064,17806,4558,3851,3231,13772,9021,12487,26524,9108,12785,8179,22871,24425,25225,38513,38634,28057,24623,54812,26635,33533,32217,20862,60145,21267,15858,14019,21447,12503,28535,20152,7117,14580,41035,23391,25930,23705,14724,11366,4746,5309,7686,11136,10176,12204,17447,29299,24843,14145,12659,13192,13029,12104,11615,9159,,,,,,,,,,,
2023-10-05,4430,14306,44935,39965,26829,14519,11281,3965,3266,13317,1981,4450,4290,9597,11190,17209,18461,5827,9705,2923,9274,8914,7134,25479,3524,10031,12816,16483,21539,16472,9938,26690,16208,32639,26698,12269,35243,25974,21489,19666,24671,114734,46920,21012,23217,23882,24199,26051,22339,12424,29573,6503,7956,18307,4612,3869,3192,13456,9287,12594,27097,9053,12755,8259,22785,24074,25221,38347,38018,27726,25010,56718,25716,33682,32559,20419,58638,20911,15746,14175,20957,12543,28526,19917,7048,14185,40350,22718,25483,24262,14600,11349,4863,5367,7763,10619,9898,12006,17567,29192,24594,14078,12588,12925,12651,12307,11359,9158,,,,,,,,,,,
2023-10-06,6144,14610,47081,46863,27824,14990,11361,4142,3335,13472,2101,4728,5429,9685,13316,16782,18576,6184,10514,3292,9436,9290,6894,27009,3787,11386,13341,17944,22963,17841,10694,29422,18045,34235,28002,12060,36814,26905,21892,20313,26308,173455,55652,23607,24721,27889,29837,28786,24540,13523,32349,7074,8863,20393,5079,4096,3276,13462,10131,13701,31903,10045,15153,9025,24690,24689,28438,46145,40174,29011,27636,68831,26300,36939,37591,22871,69613,22447,16925,14682,30221,13744,33290,21665,8130,15766,42803,23832,26637,27163,14132,12225,4963,5379,8404,10998,10882,12530,18961,30423,26441,14803,13423,13928,13076,12840,11995,9659,,,,,,,,,,,
2023-10-07,4666,8822,24977,47200,15459,8834,7251,3435,2139,7428,1364,2948,7279,5933,11128,4413,6546,3485,7649,2728,5395,5662,2532,14552,3816,10495,9080,13375,17345,12652,8142,21634,12221,22263,24825,4463,27318,19096,15011,15347,11423,163651,57252,18367,15641,25744,26515,23879,18223,8358,19274,5705,5315,15084,5550,2963,1704,7751,7637,11820,33147,6201,10651,6201,16477,15003,23979,40807,27721,20663,26742,77252,15708,35159,32467,39126,70988,15308,13393,10257,23587,8754,35462,13875,10065,12588,20202,16602,14170,18289,6637,7521,3293,2273,6785,7969,9459,10368,13034,19121,22075,9861,8735,9973,8990,9513,7573,6748,,,,,,,,,,,
2023-10-08,4157,7474,20859,40236,12216,7126,6419,3021,1862,6092,1220,2735,9920,4472,10224,3775,5135,2976,7076,2664,4502,5502,2342,12140,4206,10322,8196,12993,17588,11288,7253,20283,10954,17779,29243,3728,24593,17104,12908,14091,9256,146966,53597,14924,14738,25263,24460,23149,17899,6749,16708,4988,4509,13894,6629,2723,1472,7042,6670,11063,37094,5800,9465,5347,14951,11584,21426,37050,23391,17884,25452,74026,12282,30616,25172,18318,51836,12648,11521,7618,18002,7982,30516,10980,9575,12048,16346,10811,11956,16432,5529,6750,2906,1970,6575,6059,8512,9270,11362,14974,19244,8966,7735,9194,8221,8452,6650,5940,,,,,,,,,,,
2023-10-09,3969,7076,21422,41679,12682,6859,6479,2947,1921,7521,1256,2795,8488,4656,10199,3990,5379,3292,6891,2482,4498,5468,2326,12199,4222,10313,8462,13577,19038,11582,7427,20604,10174,18749,23948,3787,25731,17488,13636,14340,16053,131865,52846,17567,13709,22617,23916,22937,18106,8572,17787,5360,4837,13607,6152,2711,2195,7298,7630,11327,36735,5728,9127,5846,15465,14627,21200,36213,24735,18639,24932,73140,9842,28788,25883,16771,51170,12277,11942,6877,17148,8037,29509,11750,6242,12019,17197,15539,12078,16512,5724,6999,3189,2160,6173,6106,9074,9671,11505,15892,18476,8802,8168,9082,8274,8923,6712,6173,,,,,,,,,,,
2023-10-10,4116,6624,17895,34255,11025,6979,5937,2787,2015,7545,1239,2365,6418,5155,8819,3956,4996,3449,6379,2242,4520,4603,2190,11015,3336,8461,7725,11669,14256,11149,7398,21278,10388,17955,30427,3674,23003,15935,11940,13184,11874,111491,43677,12777,12462,18923,20812,21255,15077,6744,17209,4731,4016,13397,4753,2528,2060,7251,6296,9957,31355,5210,7452,4846,13579,10818,17531,31328,22053,16569,20835,58352,9535,23973,21148,13008,42672,12585,11095,6778,15231,7330,20673,9847,5769,9785,14848,9645,11250,13175,6577,6737,2544,1843,5418,5715,7510,7822,10033,13595,16948,7463,7020,7723,7359,7828,5958,5244,,,,,,,,,,,
