　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,G大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,O景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,O頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2023-09-01,5246,14348,47571,47574,27657,13086,11228,4064,3398,12008,2000,4394,4476,7992,11735,15818,18213,6068,10070,3048,8334,9128,7015,28013,3911,11038,13010,15894,20443,15736,10216,26974,17235,32735,25968,9953,36044,26105,21350,19279,25136,153389,50234,23356,22976,25580,24615,25599,23510,12831,29208,7011,8143,18831,5029,3691,3199,11903,9974,12800,28259,9364,14704,8683,23264,22901,27476,44006,37022,28142,26708,66226,23269,33756,37552,23463,67919,22207,16670,14565,26646,13142,37276,21425,7895,14706,42915,24192,26250,25712,7912,11250,4759,5225,7738,10696,10630,12523,18557,29146,26284,14047,12595,13182,12442,12170,10457,9076,,,,,,,,,,,
2023-09-02,3201,8132,23147,39922,15010,8191,6363,2998,2032,6590,1193,2454,3718,5165,9066,4333,5651,3420,7156,2428,4723,5358,2312,14668,3325,8167,8213,10484,12409,12160,7546,22236,12339,22345,18450,4018,24410,17186,13367,13843,9122,123750,45732,16213,14077,19771,20967,20255,16677,7820,18373,5142,4824,12803,4290,2711,1379,6365,6926,8994,22502,5389,9060,5625,14169,12868,20770,32960,25552,19007,21734,62687,12859,29114,28752,18477,48596,14133,12185,9183,18716,6451,31904,12142,8585,10502,18574,12349,13185,15211,5086,6911,2975,2239,5607,6727,8509,8861,12289,16275,20819,8827,7743,9140,8448,8417,6234,5755,,,,,,,,,,,
2023-09-03,1883,5766,16176,26004,9489,5775,4818,2424,1486,5178,777,1586,2276,3800,6674,3197,4422,2509,5137,1874,3197,3746,1672,9067,3070,5719,5769,7684,8477,8707,5654,17782,9208,15171,14044,2597,17893,12273,9523,10094,6157,91207,31513,9968,10813,12444,14836,14039,11552,5022,12660,3445,3008,8693,3066,1849,913,4491,4695,6241,15444,4099,6144,3698,10401,8515,14740,23860,18008,13180,16392,46162,8943,19238,17433,13053,33606,10134,8530,5266,12227,4469,23975,7969,4983,7591,12239,8155,9391,9978,4178,4629,1981,1674,3926,4217,5958,6021,8886,10660,14539,6030,5250,6394,5790,6074,4532,4105,,,,,,,,,,,
2023-09-04,4111,13341,43561,36238,24992,12887,10332,3677,3169,11626,1820,4261,3148,7695,9742,15738,18334,5658,9041,2853,7889,8399,7172,25687,3483,9397,12210,14794,19085,14409,9365,27733,14927,30918,23480,10626,33437,24119,20866,18398,24433,114190,40047,21322,20866,22014,20769,22959,20864,12048,28816,6137,7515,17332,3782,3669,3193,12330,8929,11801,24616,8711,12796,7827,21773,22245,24191,36922,34667,26258,24124,56847,21073,30757,30272,19673,56465,19487,15212,13585,20044,11764,31358,18938,6733,13695,39164,22752,24685,23371,8410,11014,4611,5267,7277,9941,9676,11434,16636,27721,23174,13301,11846,12298,12133,11562,9877,8714,,,,,,,,,,,
2023-09-05,5383,13664,45163,39857,26260,13586,10876,3908,3283,12962,2022,4450,4565,8299,10790,16350,19069,5908,9622,3202,8504,8800,6866,29764,3533,10474,12581,15566,20129,15855,9779,27985,15806,32489,26396,9959,35039,25485,21300,19266,25453,123211,42898,22443,22435,24846,23657,25824,23237,12885,29795,6575,7914,19157,4389,3838,3363,12916,9666,12952,27571,9194,13769,8210,22905,23454,25838,39042,36972,27581,25804,57742,22596,32308,32988,20901,60042,20884,15891,14323,22417,12899,28423,19471,7401,14365,40207,23528,25653,24734,9197,11709,4716,5238,7528,10168,10106,11932,17423,28664,24769,13899,12297,12781,12352,11730,10339,9143,,,,,,,,,,,
2023-09-06,5201,14164,46174,41181,26657,14215,11373,4217,3359,13307,2059,4526,5000,8362,11251,16883,19383,6146,10279,3221,8853,9121,7152,41338,3829,10766,12997,15863,20590,15438,10164,28391,16313,32836,25757,10032,35704,25903,21744,19275,25280,130647,43752,22356,22495,25005,25120,25953,22462,13157,30490,6772,8312,18675,4767,3804,3385,12584,9563,13066,27964,9297,13862,8399,22923,23330,25585,40785,37255,28093,24971,58362,23696,32157,34172,21662,62791,21425,16595,14787,28598,12554,28767,19896,7427,14226,40863,23600,25971,23823,9244,11375,4739,5162,7786,10820,10136,12156,17762,28818,25053,14158,12530,13189,12865,12198,10399,9249,,,,,,,,,,,
2023-09-07,5375,14298,46360,43656,26840,14204,11175,4034,3317,12309,2144,4535,4681,8531,11570,16476,19267,6141,9970,3286,8534,9110,7279,45096,3688,10848,12939,15782,20421,15540,9905,28594,16377,33380,25583,10076,35314,25837,21711,19654,25491,132657,45676,22492,23007,25183,25809,25966,23128,13069,30265,6692,8040,18826,4831,3846,3401,12892,9813,13288,28936,9166,14069,8312,23188,24149,26150,40474,36931,28037,25857,61089,24457,33154,34998,22205,63607,21479,16400,14966,30512,13174,31936,20162,7747,14518,41496,23656,25971,24859,10059,11948,4814,5220,7943,10387,10168,12351,17862,29260,25653,14088,12532,12904,12576,12111,10416,9183,,,,,,,,,,,
2023-09-08,5455,14556,48065,48116,27788,14378,11549,4019,3462,12610,2000,4619,4661,8615,12116,16100,19271,6192,10241,3273,8508,9529,7161,45020,3815,11214,12993,16234,20971,16268,10467,30413,17680,33727,27378,10438,36173,26271,21550,19881,25339,159478,52283,23830,23847,28536,29257,26826,24708,13261,30539,6929,8476,19994,5244,3970,3292,13044,9976,13407,31163,9732,15249,8824,23730,23606,28774,45085,40068,28753,27363,70678,26065,35918,39352,24024,71247,22383,17150,15102,33277,13437,35803,21959,8098,15335,42983,24141,26460,26581,11604,12083,4916,5299,8159,10527,10811,12955,18804,29767,27069,14361,12945,13282,13047,12236,10698,9367,,,,,,,,,,,
2023-09-09,3994,8868,28068,44861,16481,11303,7929,3567,2481,8063,1609,3222,8078,6517,12233,5198,6864,3851,8193,3274,5474,6491,2592,15640,3925,11863,9728,12741,13996,14569,8738,28495,15473,25376,22392,4640,28974,20441,15534,16242,11485,150849,55588,19752,16733,30553,31574,25890,20392,8764,22372,6035,5609,16280,5574,3569,1739,8513,8144,11864,35704,6425,11940,6544,17329,15289,25681,40648,29370,22536,26648,79304,15752,36317,33012,19305,61893,15641,13972,8912,20023,9323,32860,14834,10709,13335,21132,18408,15132,20295,7755,9765,3674,2655,8666,8714,10084,11199,13851,18577,23870,10438,9194,10228,9575,9709,7879,7145,,,,,,,,,,,
2023-09-10,3933,7330,20567,33058,12966,8296,6709,3639,2148,8078,1399,2774,7903,6039,9564,4327,5353,3476,7014,3260,5027,5432,2197,12812,3725,10637,8374,10754,11500,13009,7633,25306,12718,19757,17461,4061,24432,17204,13040,14284,8473,134291,44492,13452,15914,25700,26977,21821,18294,6982,18669,4959,4628,14832,5104,3084,1524,8664,7062,13999,39824,5815,9972,5319,14445,11807,20780,33593,24223,18765,22877,63487,13259,29297,22890,14997,46245,12746,11709,7620,16537,7993,26268,10960,9477,11027,15701,14462,11833,15867,7348,7764,3039,2288,6230,5889,7880,9176,10873,14231,19649,8587,7625,8244,7780,7896,6730,5922,,,,,,,,,,,
2023-09-11,5198,13688,43109,37727,25303,13993,10646,3981,3336,13465,2120,4693,4946,9843,10330,16521,18293,5840,9207,3184,8994,8680,6755,26959,3475,10823,12952,15732,19653,16970,9599,27163,15222,31228,24440,12115,34219,24993,20986,19485,24260,123787,40458,21739,22523,26228,27091,26089,22220,12958,30931,6400,7965,18567,4158,3638,3218,14223,9509,13169,31000,9239,13885,8417,23068,23887,25518,38513,37723,27524,25789,56570,24260,33042,30705,18955,57863,19995,15629,13893,21047,12646,29089,19079,7227,14128,38768,22345,24859,24191,15368,11589,4821,5210,7723,10404,9894,12023,16966,27689,23391,14043,12354,12615,12535,11960,10499,9066,,,,,,,,,,,
2023-09-12,4894,14352,45122,39631,26433,14942,10833,3937,3337,13536,2082,4721,5994,10110,10780,17108,19004,6037,9879,3275,9160,8948,6884,27778,3427,11099,13010,15917,20154,17570,9796,27529,15590,32707,25608,12279,34831,26243,21448,20051,25838,122683,41957,21993,23279,25809,27594,27511,22787,13079,30709,6650,8088,19205,4691,3866,3423,14525,9727,13306,30806,9289,14451,8451,23629,24729,26334,38906,39187,28020,25814,56362,25502,33702,32357,19988,59693,20805,15873,14334,21793,12868,28131,19799,7628,14454,39816,23146,25481,24594,15337,11970,5063,5251,7966,10407,9789,12291,17384,28354,25113,14200,12698,12959,12628,11989,10912,9145,,,,,,,,,,,
2023-09-13,5006,14434,45246,40649,26322,14796,11175,3930,3321,13630,2165,4704,5574,10122,11133,17261,18983,5905,9864,3383,9306,9043,6775,28175,3461,11326,13009,16136,20092,17638,9975,27649,15958,32859,26310,12239,35177,26250,21755,19967,25249,123971,44029,22587,23217,25661,27694,27772,23475,12914,31355,6729,8096,19440,4731,3888,3285,14498,9831,13387,30706,9225,14530,8507,23351,24252,26343,39104,39115,28048,26008,58047,26164,34670,33019,20654,60382,20747,16260,14211,21763,13070,28615,19681,7600,14246,39846,23373,25707,25034,15078,11906,4935,5280,7841,10800,9849,12234,17444,28456,24847,14291,12764,12936,12912,12189,10726,9489,,,,,,,,,,,
