　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-05-01,1664,3905,9573,18505,7086,4397,3654,1978,1209,3944,683,1426,2396,3245,4719,2763,3469,1932,3740,1378,2687,2931,1045,9724,1902,5732,4913,6128,7386,6989,4513,13196,6556,11190,6943,1970,13809,9303,9052,7939,4155,46382,21712,6710,7631,12336,10817,11260,9519,4086,10224,2905,2521,8193,2440,1480,870,4083,4009,5605,14861,3095,5301,2772,7980,7970,10955,14970,13900,9585,10999,26466,6385,13698,12309,7701,25284,8023,6647,4342,6776,3786,10511,5909,4769,4666,7858,5760,6317,6191,4159,3906,2254,1060,2887,3637,4316,5044,6058,8163,9364,4554,3909,4541,4167,4696,3901,3388,497,1144,1606,2140,548,617,963,3039,957,1537,1474
2022-05-02,1851,4975,12750,20275,10601,5980,4906,2249,1505,7379,854,2584,2184,5745,4517,4194,4942,2682,4649,1450,4156,3981,1257,9707,2208,5850,6992,7910,10321,9534,5412,14265,8328,15466,11605,5912,18359,12169,12376,9949,12994,55734,20260,10351,9523,12065,11879,14391,11056,7450,17009,3880,3204,10059,2851,1884,1535,6461,5251,6111,16617,3527,5408,3767,11261,11381,11878,18809,17649,12444,12176,25160,8237,14611,13489,8265,27830,10779,8435,6546,8998,4439,10565,7421,3704,5288,11131,7252,8748,7550,7627,5097,2852,1395,3215,5440,5284,5950,7669,10222,10883,6410,5941,6043,5891,6367,5364,4253,560,1380,2050,2588,709,893,1444,3942,1185,2065,1757
2022-05-03,2682,9590,28381,24148,17139,8851,7657,2744,2416,10091,1410,3284,2725,7242,6705,12043,11557,3457,6367,2044,5878,5817,3694,18567,2107,7550,9510,10804,15992,10214,6915,16311,10809,21672,16557,6510,23958,17819,17760,14005,17215,66432,24266,13698,15523,16786,15120,16713,16024,9290,20912,4898,5519,12785,2780,2798,2664,10136,6975,8989,21143,6380,8951,5454,16350,17005,16484,23923,26718,18351,15170,30907,12617,20520,20080,12930,36811,14900,10566,10496,12305,8559,15661,13137,4904,8110,26683,15074,16896,15534,8950,7426,4077,3666,4680,7250,6755,7998,11082,18736,14586,9644,8404,8949,8530,8548,7680,6409,902,1807,3105,3418,1929,2738,2247,5181,1793,2861,3777
2022-05-04,2669,9264,28554,24680,16200,8883,7495,2748,2426,9491,1409,2931,2657,6940,7196,11860,11085,3191,6247,2153,5737,5399,3983,18659,2196,7380,9406,10823,15771,9925,6885,16557,11041,21455,15768,6526,23636,17635,17648,13809,17648,67488,25154,13684,15315,16559,15191,16514,16186,8539,21004,4938,5410,12582,2677,2648,2571,10158,6824,9002,20498,6260,8968,5485,15978,16562,16641,24607,26371,18367,15102,32160,15515,20894,20312,13157,37596,14373,10777,10410,12383,8650,15885,13197,5279,7896,26433,14796,16673,15466,8374,7133,4075,3568,4537,6861,6656,8100,10960,18762,14486,9398,8241,8737,8402,8410,7631,6205,881,1694,3053,3438,1888,2713,2147,5250,1683,2769,3618
2022-05-05,2722,8992,27586,24305,15594,8523,7238,2627,2374,8836,1359,2618,2601,5289,6763,11589,10436,3017,6006,2054,5456,5048,3863,18084,1967,7089,8899,10418,15234,9686,6657,15972,10620,20766,15671,6130,22620,16917,16931,13359,16576,68514,24907,13606,14617,16193,14349,16091,15708,8232,20128,4730,5522,12339,2578,2491,2559,9747,6780,8780,19948,6089,8823,5441,14806,15847,16112,23631,25622,17668,14551,30523,14749,20219,20201,13085,35953,13939,10375,10181,12199,8331,15412,13058,4729,7745,25956,14412,16102,14833,8410,6910,4004,3564,4454,6677,6420,7881,10801,18263,14369,9004,7932,8429,8067,7967,6869,6046,807,1593,2942,3258,1901,2591,2159,5150,1576,2696,3642
2022-05-06,2650,8873,27930,27919,15332,8726,7107,2700,2338,8470,1364,2458,2651,5212,7187,10785,10193,3004,6062,2203,5005,5222,3771,18934,2048,7577,8821,10287,15106,9921,6732,16582,10841,21006,15341,5752,22712,16848,16972,13056,16323,88234,28651,13759,14812,16892,14541,16406,16445,8150,20099,4744,5323,12310,2725,2617,2409,9359,6981,8839,20363,6027,9239,5486,14891,15532,16496,25860,25607,17854,14905,34574,14030,20904,21665,13536,39680,14171,10530,9902,13643,8149,16796,13440,4865,8000,25414,14372,16042,15080,7592,7150,3962,3481,4333,6616,6527,7419,10804,17146,14932,8719,7713,8593,7843,7916,6688,5956,854,1668,2844,3319,1844,2490,2039,6409,1654,2726,3598
2022-05-07,1577,4444,11344,21795,7857,4976,3982,2031,1411,4489,858,1735,2549,3457,5348,2900,3782,1971,4266,1899,2823,3227,1207,10448,1747,6178,5071,6274,8028,7194,4773,12552,7165,13506,8803,2003,15105,10500,9738,8494,4584,58718,23669,8877,8082,15262,11876,12050,10770,4942,12251,3346,2822,8774,2234,1891,988,4740,4860,5916,15142,3075,5251,3134,8567,7966,11284,16764,15042,10987,11229,28033,6449,13449,15047,8855,26400,8173,7071,4427,8046,4489,10068,6745,5437,4685,9171,6439,7204,7578,3670,4037,2515,1144,3036,3955,4606,5081,6774,8979,10221,5184,4717,4949,4659,5085,4107,3605,570,1189,1660,2260,696,767,1075,4064,1089,1626,1530
2022-05-08,1472,3383,8047,15851,5460,3681,3036,1624,1083,3814,672,1227,1976,2832,4405,2256,3020,1603,3425,1511,2148,2646,967,7769,1505,5417,4242,5165,6698,6510,3940,9986,5618,9627,6044,1591,11962,8121,7724,6836,3194,47184,17435,5600,6828,10782,8890,9278,8739,3612,9189,2685,2098,7208,1750,1306,697,3948,3815,5309,14134,2731,3815,2421,6661,5658,8351,12962,11833,8659,9053,20770,5204,10248,9648,6253,20212,6518,5625,3752,6561,3348,7903,4982,5095,3355,6366,4327,5347,5782,3033,3003,1956,944,2415,2911,3565,3917,5126,6612,7959,3811,3535,3812,3509,4023,3063,2789,415,994,1396,1898,427,584,727,3275,817,1432,1294
2022-05-09,2658,8089,24959,20996,14441,7732,6508,2379,2105,7352,1248,2631,2319,4496,5887,10072,10065,2937,5366,1832,4547,4748,3664,16393,1793,6352,8185,9141,13576,8767,6001,12936,9246,18063,13930,5382,20794,15381,15303,11891,15552,59637,21370,12424,12998,13862,11295,13587,13867,7509,18436,4195,4854,11110,2147,2268,2249,7575,6139,8054,18793,5639,7646,4953,13728,14160,14490,21712,23185,16302,13351,27280,11373,16839,17354,11660,32438,11242,9456,9167,10195,7316,14586,11561,4198,6994,23120,13191,14348,13645,5617,6543,3656,3235,3989,6050,5813,6463,9680,16399,11894,7876,7274,7559,7243,7244,6213,5603,780,1577,2809,3031,1857,2512,1849,4726,1485,2506,3439
2022-05-10,2376,8337,25832,22102,14674,7808,6715,2447,2059,7326,1335,2350,2377,4694,6260,10073,9979,2936,5641,1910,4673,5319,3757,16523,1968,6649,8204,9227,13935,9079,6209,13241,9731,18761,14208,5277,21057,15809,15677,12108,15607,59710,22054,12424,13116,14213,11915,13891,14121,7754,18536,4353,4889,11352,2317,2410,2320,7543,6266,8080,18294,5784,7644,5018,13849,14491,14780,21942,23580,16723,13519,27601,11787,17192,18362,11808,32721,11885,9733,9200,10472,7404,14035,12004,4319,7054,23570,13414,14892,13647,5488,6773,3669,3317,4115,6318,5916,6764,10256,16563,12740,7954,7527,7635,7341,7418,6302,5584,806,1574,2782,3039,1744,2419,2021,4585,1546,2469,3418
