　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-11-01,3486,13448,38311,36584,24439,14014,10594,3862,3284,12314,2328,4027,3814,9194,9913,16971,18122,5652,8673,2857,8200,7939,7007,26114,3055,11405,11711,14343,23016,15425,9328,25474,14767,30191,23702,10798,32033,23387,24493,19316,20753,99339,34947,17836,21398,22166,23471,24288,20453,12296,27907,6796,8801,15845,4809,3321,3137,13136,8319,10407,27899,8557,11352,7413,20675,24694,26266,30610,36925,23900,22786,46622,22165,28925,28247,17326,53276,19536,14609,13164,17982,12167,24175,17187,7206,10648,35435,20442,22953,20829,13102,10327,5902,4959,6819,10424,9303,11881,16146,26081,20506,14148,11556,11595,12135,11201,11326,9519,1780,2461,3803,4546,2552,3713,3151,7354,2234,3637,5220
2022-11-02,3611,13111,38313,37073,24433,14050,10656,3919,3239,12480,2582,3909,4245,9546,10338,16865,18226,5740,9165,3045,8485,8435,7077,27429,3088,11699,11845,14716,23057,15748,9300,26280,15099,30173,23698,10662,31944,23192,23973,19506,21140,101937,36109,18278,21386,22891,23615,24690,21036,12403,28783,6857,8720,16807,4920,3477,3225,13163,8730,10572,29682,8733,11849,7602,21006,24774,26430,31052,37115,24360,23350,48555,22319,29742,29221,18031,55913,19656,14845,13469,18443,12690,25071,17446,7219,10801,35173,20159,23082,21564,12403,10461,5922,4880,6778,10048,9017,12048,15761,26007,20829,14108,11812,11413,11946,10969,11364,9472,1781,2326,3626,4562,2552,3599,3082,7137,2205,3562,4852
2022-11-03,3634,13048,37663,37467,24008,14076,10588,4017,3291,12131,2484,4061,4498,9459,10205,16553,17705,5734,8993,3191,8290,8257,6830,28437,3158,11985,11850,14666,23476,15484,9415,26328,15083,30182,23864,10414,31957,23559,24120,19578,20483,105559,37417,17929,21567,24557,23739,26180,21487,12454,28058,6880,8610,17127,5126,3443,3084,13364,8621,11112,31409,8683,11951,7401,21253,24378,26628,31459,36846,24358,23744,48841,21875,30131,28643,17644,54227,19392,14976,13840,20511,12851,24645,17349,7885,10858,35219,20101,22615,22125,13158,10626,5981,4879,6830,10110,9155,12349,15671,25451,20885,14234,11613,11379,11959,11180,11417,9554,1840,2362,3543,4597,2427,3668,2915,7403,2125,3619,4917
2022-11-04,4149,13819,38592,43637,24993,14686,11059,4323,3500,13705,2457,4155,4778,10059,11256,16906,18419,6470,9666,3307,9336,8804,7074,37872,3301,12559,12424,15527,24571,16793,10149,30483,16691,31520,25514,10512,33730,25152,25456,20178,20245,128662,44264,19180,22387,26848,26860,28799,23135,12907,30476,7371,9238,18935,5629,3759,3284,13848,9387,12014,33689,9061,12844,8135,22122,25373,28893,36039,39122,25982,24975,57602,22382,33465,32982,20570,62707,20879,16014,14391,24258,12972,28814,18950,8139,11617,36404,20304,23254,23240,14713,10912,6329,4950,7321,10526,9641,13882,16738,26467,22655,14682,12286,12105,12327,11502,12039,10146,1439,2615,3859,4799,2632,3756,3123,8987,2304,3920,5201
2022-11-05,2554,8690,20588,41037,13931,10445,7809,3491,2341,7742,1721,3966,6973,6976,11469,4781,7371,6877,8462,3666,5869,7849,2632,27637,3831,11211,8950,11750,16074,14046,8525,26120,14450,24030,18003,4693,26714,18489,18444,15495,9531,124645,45569,14984,15272,29100,25985,23047,17627,8680,20402,6738,5759,15151,6124,3129,1717,9275,7583,8972,32286,5892,9727,6032,16117,15690,25295,32805,27929,19938,25291,63016,13838,29994,27266,15112,52471,14436,12992,10107,18599,8529,23799,12115,10181,9575,16091,10600,13310,15492,7437,7497,4789,2463,6520,7133,8618,10570,11524,16181,19246,10602,9141,9051,9244,9023,7327,7251,977,2182,2779,4389,1168,1383,1962,7964,1717,3063,3400
2022-11-06,2953,6447,15605,32024,10303,8135,5591,2918,1868,5384,1448,2392,6634,4578,9645,3741,5449,2872,6281,2733,4171,4696,2139,23952,3633,9793,7183,9649,12589,10881,6670,20660,10700,18112,14554,3796,21678,15349,14887,12701,7537,126762,37101,11113,14083,25461,19447,18562,14566,6677,15939,6157,5038,12878,5521,2690,1259,8054,6369,7817,31279,5143,8397,5113,13174,12166,20588,29841,22465,15745,20215,53532,12284,25250,19798,11399,44888,11314,10192,6680,16966,7395,21283,9160,10363,8168,12331,8085,9692,11931,5204,6431,3631,1889,5838,5714,6642,9579,9218,12618,16058,8218,7238,7559,7436,7255,6184,5851,723,1833,2292,3533,1086,1146,1499,9520,1341,2532,2775
2022-11-07,3869,12528,36044,35389,23564,13373,9838,3880,3194,11771,2394,3904,4244,8570,10042,15820,17123,4364,8528,3008,7966,7049,6633,34588,2623,11927,11547,14133,22475,14825,9088,24001,13692,28094,21670,10292,30890,22539,23603,18840,20262,110620,34788,17581,21175,22414,23032,23893,20272,12151,27295,7349,8539,16422,4765,3368,2964,12987,8502,10634,29848,8662,11982,7730,20680,23740,26172,31117,35719,23740,23189,47515,21248,28158,26978,16373,52371,18394,14350,12602,19684,12621,24859,16774,7563,10481,33601,19454,21041,21610,12810,10399,5794,4673,6799,9735,8681,12171,15360,25305,19241,13849,11505,11100,11730,10850,11304,9261,1742,2305,3514,4556,2516,3516,2958,7977,2184,3536,4882
2022-11-08,3716,13407,38581,37075,24758,14298,10543,3987,3247,12464,2434,3900,4329,9189,9935,16883,18377,5749,8948,3096,8211,8059,7019,26819,2942,11602,11757,14667,23093,15644,9324,25073,14833,29670,23731,10538,31660,23314,24233,19314,20836,105436,36285,18130,21721,22557,24186,25372,21099,12486,28121,7163,8943,16874,5080,3533,3219,13199,8630,10690,29132,8823,11952,7619,21061,24707,26873,31758,36312,24402,23885,47945,22474,28740,28890,17417,53686,19302,14506,13230,18551,12462,24127,17564,7346,10724,35399,20857,23021,21828,13247,10391,5851,4953,6943,9984,9149,12149,16274,26320,20924,14234,11656,11681,11955,11066,11475,9481,1706,2302,3658,4562,2593,3665,3057,7408,2144,3575,4959
2022-11-09,3758,13345,37738,39356,24577,14126,10758,4029,3320,12658,2481,4108,5423,9316,10926,16248,17896,5765,9043,3279,8344,8307,6514,27730,3107,12606,12066,14864,23710,15889,9733,26050,14967,30186,24108,10767,32443,23592,24345,19342,21374,108185,38615,18309,22065,23793,26146,26562,22042,12805,29028,8431,9110,17619,5151,3652,3215,13673,9030,11213,32789,8917,12184,7804,21352,25136,27256,32601,37683,25108,24170,50109,22577,29865,29370,17823,54668,19148,14822,13424,18794,13242,24776,17792,8191,11233,35024,20368,23015,22195,13282,10762,6129,4981,7099,10243,9106,12538,16094,26040,21303,14226,12030,11473,12132,11144,11563,9489,1785,2397,3705,4667,2520,3620,3031,7724,2224,3728,5076
2022-11-10,3916,13465,38303,56611,24837,14344,10890,4048,3313,12753,2607,4202,5406,9751,10667,16612,17866,6061,9068,3275,8491,8315,6365,29535,3301,12760,12071,14709,23361,15999,9684,26630,15230,30445,24711,10535,32386,24086,24480,19822,20736,112004,39246,18340,21671,24206,25816,26856,21955,12641,28499,7992,9186,17646,5261,3618,3216,13726,9106,11450,33442,8973,12326,7727,21675,24894,27428,33574,37860,25203,24410,50558,22789,30806,30440,18153,56056,19557,14928,13878,19473,13165,26878,17607,8218,11365,35021,20250,22749,21579,13586,10743,6000,4983,7056,10177,9212,12683,16145,25967,21514,14414,11938,11523,12168,11181,11804,9784,1804,2349,3582,4522,2503,3564,3013,7924,2109,3630,5024
2022-11-11,4201,13874,39214,57509,25793,14818,11274,4341,3543,14734,2739,4642,6085,10120,12435,16631,18571,6716,9685,3601,9556,8868,6398,36067,3741,13406,12729,16187,24883,17417,10268,31300,16975,31435,27162,10895,34100,25070,25820,20591,21247,141935,47062,19714,23128,26223,30387,31050,23975,13268,30851,8674,9061,19488,5992,3778,3311,14139,9644,13217,39906,9385,13881,8364,22962,25764,30689,44394,40139,26900,26260,61024,24017,34247,34316,20355,65010,21019,16186,15167,22808,13757,30289,18660,9040,12161,36007,20430,23615,23173,14800,11088,6368,4984,7685,10707,9896,14313,16785,27163,23354,15096,12518,12390,12823,11644,12417,10660,1905,2622,3880,5125,2601,3763,3131,11091,2284,4035,5694
2022-11-12,3050,9185,22779,57528,16837,10887,7927,3753,2520,9502,2027,3602,10798,6648,13162,6683,6587,4237,8723,5112,6244,6519,2550,26293,3533,13438,9892,12856,17176,14858,9005,27666,14299,25113,24308,5342,29002,20341,20254,17586,14019,144914,49659,16465,18094,28927,28754,28323,19972,11332,21958,8239,6707,16434,5890,3226,1925,9536,8138,10391,41488,6776,11006,6883,17934,17649,29036,51320,30951,21901,26824,70227,14835,33820,29467,15819,58784,16273,13751,9810,20307,10357,27106,12873,13442,11309,19732,16304,14436,17702,7927,8926,5010,2309,7897,8260,9441,12148,12711,17989,22097,12012,9858,10393,9783,9557,8316,8067,1497,2383,2984,4543,1183,1553,2020,12895,1901,3545,3554
2022-11-13,2815,6869,16487,42776,11282,8677,5832,3179,1941,5900,1580,2721,7662,4753,9819,3810,5158,3342,6485,3467,4847,4971,1952,21349,3062,11662,7767,10303,13824,11865,6951,21595,11232,18204,16276,3402,22625,16061,15810,13652,7567,141760,38032,11113,14096,25214,22055,21231,15385,6538,16021,6496,5194,12986,5440,2585,1284,7158,6434,8643,34804,5703,9231,5128,13880,12747,22610,40831,25222,16733,23064,57146,11445,26476,20407,12410,44085,11677,10524,7910,16555,8121,22455,9678,11699,8838,13287,10022,9917,12832,5641,6814,3932,1977,5728,5908,6804,10081,9644,13503,16647,8739,7250,7531,7770,7503,6446,6268,839,2013,2481,3587,989,1279,1588,12668,1517,2719,3220
2022-11-14,3920,12583,35959,46286,23368,13403,10272,3677,3255,11224,2361,4078,4491,8940,10473,15720,17303,5561,8541,3201,8105,7885,6071,26706,2953,11830,11555,14252,22839,14968,9013,23712,14054,28013,22119,9839,31075,22504,23494,18939,21049,116649,35493,17650,20127,22852,23910,24158,20853,11780,27990,7385,8381,16587,4852,3469,2994,12814,8521,10746,32165,8801,12314,7721,20849,24350,26611,35164,35887,24220,23811,50148,21363,28842,27296,16506,50671,18122,14408,12881,17579,12633,24044,16661,7201,10612,32902,19096,21401,21166,12607,10202,5870,4746,6579,9952,8752,11998,14807,24367,19659,13754,11416,10869,11806,10756,11312,9358,1670,2326,3513,4461,2514,3654,2945,8963,2099,3636,4909
