　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-08-01,3391,11015,33503,30886,17913,10652,8470,3453,2870,9175,2098,2937,3084,5843,8709,13252,14246,4329,7564,2630,6243,6422,5784,23917,2714,10102,9998,11911,19210,11788,8018,17845,12087,24254,17659,7030,26737,19999,20963,16287,18734,102614,32650,16104,17899,18344,17321,19108,17746,9782,22674,5869,7608,13246,3556,2987,2607,9944,7259,9339,23904,7888,10249,6701,17735,20730,22744,28529,30251,21178,19722,43885,15214,24706,25412,15413,48505,15206,12560,11814,15555,11342,29285,15190,6831,9319,30315,17264,18841,19462,6382,8399,4965,4315,5610,8271,7828,10107,13014,21949,16463,11987,9671,9787,10102,9455,8653,7972,1106,1998,3033,3927,2311,3253,2498,6768,1682,2925,4208
2022-08-02,3572,11662,34795,32478,18758,10945,9115,3634,2981,9260,2180,3058,3254,6233,9092,13906,14997,4496,7849,2565,6460,6553,5991,24467,2574,10023,10283,12361,19689,12058,8424,18924,12859,25592,18784,7265,27720,20620,21375,16678,19642,96581,33968,16737,18046,18571,18063,19642,18256,9943,23073,6172,7935,13368,3599,3028,2721,10165,7382,9308,23151,7936,10358,6736,17982,21361,23193,28272,30925,21728,20214,43967,16036,25831,27050,15913,48406,16082,12859,12204,15196,11103,21767,15828,6659,9589,31503,17913,19578,19645,6315,8929,4746,4391,5827,8641,8123,9975,13451,22205,17435,12459,9628,10309,10311,9648,8640,8110,1269,2116,3208,4062,2414,3387,2572,6648,1723,3064,4383
2022-08-03,3483,11652,35108,34200,19073,11188,8950,3675,3079,9503,2254,3040,3518,6278,9766,13869,14854,4522,8087,2824,6575,6602,5991,24987,2847,10480,10528,12744,20025,12718,8578,20052,13176,26747,19121,7508,28189,20946,21776,17112,19554,100289,36226,16922,18639,19782,18685,20340,18711,10424,23598,6249,7908,14546,3935,3154,2705,10778,7886,9614,25277,8001,10558,6938,18726,21512,23777,29558,31903,22382,20955,46455,16312,26257,28157,16633,49918,16092,13216,12150,15513,11227,23312,16009,7149,9964,31865,18614,19885,20061,6360,9263,5124,4345,5945,8486,8191,10233,13597,22840,18164,12580,9830,10198,10596,9726,9116,8283,1215,2108,3223,4033,2430,3357,2590,6783,1767,3135,4403
2022-08-04,3494,11787,35652,35326,19111,11218,9308,3676,2899,9427,2291,3144,3938,6298,9951,13815,14864,4381,8282,2859,6509,6702,5957,26917,2943,10449,10428,12688,20182,12488,8650,20351,13208,26551,19218,7381,28333,21150,21830,17327,18931,104865,37989,16667,18375,19998,19566,20694,18897,10248,23699,6212,7949,13907,4109,3166,2832,10381,7823,9940,25650,8029,10564,6912,18778,21204,24426,30635,32090,22607,21246,47548,16404,26595,28750,16819,52366,16078,13272,12803,16472,11348,24276,16303,6828,10510,31698,18832,20030,20174,6602,9255,5119,4520,5994,8629,8193,10429,13810,22823,18646,12648,10009,10438,10604,9828,8951,8340,1166,2089,3209,4002,2298,3252,2534,6715,1783,3066,4370
2022-08-05,3769,11925,35978,39297,19733,11503,9671,3824,2947,9903,2307,3144,4045,6628,10486,13639,14766,4720,8542,3127,6795,7039,5901,27869,3134,11001,11185,13569,21144,13635,9251,22062,14146,26959,20454,7402,29596,22153,22769,17812,18928,117759,41778,17876,19138,21169,20985,21932,19997,10700,24074,6689,8094,15335,4443,3202,2835,10099,8078,10310,27019,8308,11291,7326,19007,21708,25548,33205,33199,23402,22223,52745,16996,28830,30792,18049,56306,17366,14261,13163,18349,11751,26874,17205,7511,10610,32564,18748,19984,20865,6445,9844,5305,4504,6432,8938,8747,11293,14106,23661,19612,13044,10451,10838,11026,10270,9136,8755,1233,2302,3531,4350,2374,3399,2579,7828,1860,3329,4594
2022-08-06,2396,6790,18299,34572,11504,7339,6162,3412,1997,5912,1496,2354,5260,4306,8866,3899,5240,3334,6910,2699,4351,4827,1957,17049,3019,9492,7981,10071,13340,12057,7469,18791,10799,19157,13420,2986,22791,16012,15756,13192,7537,109399,38411,13073,12173,18440,20302,18947,14886,7175,16612,5251,5018,11456,4090,2300,1376,6324,6476,8537,26917,5199,7980,5835,13885,13487,20872,27765,24207,17498,19384,53394,11738,24722,23801,14228,46301,12358,11439,8575,14680,7132,21683,10375,7063,7857,13818,15218,11012,13238,4597,6113,3661,1877,4978,6210,7106,9328,9747,13314,15730,8960,7519,7967,7675,7638,5799,5906,743,1850,2406,3915,1022,1135,1612,6516,1448,2454,2596
2022-08-07,2572,5350,14576,26742,8742,6135,4700,3026,1759,4336,1246,1978,4067,3357,7736,2952,4131,2471,5394,2540,3506,3842,1869,12843,2915,8652,6503,8454,11262,9721,6087,15268,8780,14549,11186,2449,18369,12576,12327,10762,6087,111753,32487,9086,11256,16062,16409,15284,12426,5636,12441,4265,4006,9792,3687,2042,1182,4927,5206,7381,25308,4450,6999,4189,10913,9895,16638,25666,19051,13735,16347,45343,9650,20263,17810,10962,40105,9768,8944,5642,13300,5949,18438,7627,6890,6367,11035,12856,8531,11059,3443,4519,2941,1493,4277,4514,5765,7761,7923,10257,13437,6876,5675,6192,6209,6241,4839,4732,625,1491,2032,3041,867,990,1258,7773,1195,2094,2149
2022-08-08,3677,10907,33907,31934,17847,10757,8615,3588,2862,9204,2163,2969,3146,5836,9126,13205,14276,4282,7590,2757,6321,6289,5569,23408,2814,10544,10235,12266,19498,11678,8035,18375,12165,24827,17637,7036,26567,20006,20955,16392,19135,104748,32609,16203,17559,18333,17470,18924,18105,10119,23075,6020,7651,13438,3676,2984,1951,9228,7354,9274,24979,7717,10521,6837,17712,20490,23049,29037,30279,21303,20109,44523,16011,25354,25444,15303,47978,15187,12958,11878,15763,10878,23952,15046,6611,9456,30054,17425,19053,19394,6131,8555,4968,4272,5557,8057,7875,9841,13072,21822,16276,11979,9550,10009,10161,9456,8685,7949,1090,1985,3097,4014,2344,3199,2427,7102,1684,2960,4202
2022-08-09,3633,11644,35395,33799,19207,11278,9321,3666,3048,9454,2319,3065,3947,6278,9439,13678,14867,4473,8129,2801,6553,6632,5825,24677,2835,10943,10766,12671,20058,12495,8621,19920,13071,26276,19472,7531,28258,21408,22019,17038,19993,104900,35296,17085,18847,19794,19656,21099,19133,10200,23975,6176,7962,14386,4071,3159,2761,10236,7732,9718,25550,8109,10935,6953,18607,21718,23918,29821,31641,22429,20870,46670,16961,26922,28254,16470,49719,16546,13356,12330,15807,11633,22648,16048,7286,10003,31708,18686,20097,19943,6565,9126,5076,4445,6000,8440,8379,10274,13862,22740,18043,12673,9976,10339,10565,9687,9043,8319,1160,2069,3260,4118,2379,3350,2507,6862,1809,3095,4477
2022-08-10,3624,11687,35036,34612,19387,11367,9236,3777,2975,9594,2285,3401,3899,6546,9561,13885,15325,4319,8091,2799,6584,6684,5871,26123,2789,10684,10656,13220,20144,12618,8874,20252,13390,26547,19113,7398,28363,21096,22257,17290,19631,104857,37592,17339,18873,19984,19545,20918,19287,10555,24372,6374,7904,14497,4125,3269,2916,10363,7858,9792,25741,8227,10832,7077,18767,21763,24318,30153,32339,22705,21279,48517,17378,26881,28946,16659,50893,16295,13568,12628,16375,11711,22822,16304,7206,10132,32170,18873,20474,20498,6421,9167,5075,4520,6086,8448,8378,10380,13981,23335,18072,12733,10169,10418,10716,9747,9225,8411,1164,2101,3405,4118,2435,3330,2580,6800,1769,3130,4420
