　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-03-01,3339,13019,38256,32767,23415,13121,10217,3638,3166,13289,2082,4467,5510,9469,9597,16719,16554,5415,8849,3037,8232,8462,5615,24913,2980,10614,12375,14768,22046,16027,8911,24563,14625,29354,24153,9448,32990,24290,24148,18950,21811,96442,33689,18611,21047,24883,25346,28136,20875,12346,29148,6500,7728,18346,3826,3413,3229,12870,9322,12277,30667,8606,12050,7302,21498,22603,23235,33294,35790,24543,21977,44969,20901,27648,27502,17190,50344,18723,14127,13259,17437,12032,21829,17290,8483,10090,34320,20639,22445,20879,14641,10895,5580,4656,6574,9917,8942,10986,15335,25427,19697,12871,11903,12179,11622,11432,10728,8850,1486,2408,3927,4544,2390,3515,2909,7403,2308,3838,4604
2022-03-02,3260,13270,38806,33221,23322,13185,10390,3566,3207,13187,2011,4324,4636,9315,9468,17071,16878,5403,8819,3001,8327,8453,5797,25173,2980,10702,12423,14694,22132,15943,8994,23533,15011,29176,23943,9262,32889,24214,24104,19080,22023,94605,35466,18831,21146,24300,24106,26243,21471,12112,28924,6365,7730,18065,3752,3386,3269,12744,9084,11644,28547,8604,12118,7474,21503,22173,23494,33369,35736,24691,22001,46397,21922,28647,27858,18233,51207,18787,14456,13392,17735,12214,21925,17649,7927,10389,35136,21473,23214,20791,14185,10735,5634,4736,6579,10063,9238,11141,15606,25794,20112,12957,11856,12115,11630,11382,10789,8839,1465,2419,3907,4606,2428,3637,2951,7090,2347,3851,4705
2022-03-03,3142,12895,39704,34098,23436,13120,10334,3645,3191,13080,1961,4483,4985,9555,10003,16943,16754,5422,8959,3215,8336,8613,5606,25573,3025,10731,12377,14775,21860,16017,9060,24128,14875,29343,24134,9250,33230,24330,24044,19385,21207,99017,35990,18605,21346,24616,24612,26538,21077,11805,28965,6543,7818,18503,4138,3538,3154,12826,9249,12046,29271,8674,12084,7358,21583,22280,23349,33867,35617,24673,22825,46889,21646,28978,28862,17914,52259,19078,14463,13966,17962,12150,22654,17918,8573,10237,35523,21384,22952,21131,14458,10865,5808,4730,6497,9909,9090,11045,15658,26520,20193,13065,12134,12108,11622,11349,11045,8936,1405,2460,3866,4610,2424,3588,2937,7278,2385,3865,4652
2022-03-04,3450,13630,41437,39981,24841,13967,10887,3752,3381,13193,2021,4560,5657,9481,11769,16817,16999,5678,9618,3331,8632,8854,5919,26031,3286,11559,12799,15589,23277,16785,9614,26831,16335,31051,26016,9645,34875,25446,24971,19983,22127,128936,43434,20302,22551,28541,26300,27843,23157,12413,30119,6860,8316,19739,4406,3764,3213,12448,9698,12500,31402,9174,13546,7899,22207,22736,25746,38540,37259,25876,24087,57505,22257,32092,33440,20874,61276,20138,15197,14165,20748,13141,24995,19317,9202,11378,37423,22567,24340,22932,14389,11831,6185,4830,6990,10210,9883,11966,16924,27016,22186,13453,12593,12718,12082,11760,11122,9341,1493,2603,3997,4937,2543,3650,3118,9132,2607,4317,4927
2022-03-05,1909,7996,21321,37493,14443,9392,7123,3312,2446,7592,1492,3070,8651,6127,10278,4828,6169,3476,7825,3542,4927,6030,2153,14303,3264,12287,9190,11676,15161,13167,7717,29148,13882,23308,20814,3836,26739,18568,17571,15072,9026,115914,44436,16142,14718,35239,24941,24737,18210,8081,21131,5786,5192,15768,5404,2766,1678,8056,7524,10645,30630,5428,9356,5703,15460,13816,22150,32792,26305,19337,21230,62172,13942,27607,28282,16831,47900,13316,12749,8426,14523,8918,22033,12288,13088,9151,17152,15421,12693,14570,7864,8790,4604,2159,6270,6826,8536,9550,11453,16483,18517,10007,9049,9345,8527,8846,7149,6658,932,2053,2665,3960,1226,1443,1838,7344,1841,3361,2866
2022-03-06,1759,6159,15161,26960,10513,7207,5778,3088,1969,6117,1191,2316,6237,5063,8735,3883,5044,3073,6122,2696,4173,4953,1850,11257,3065,9869,7619,9558,12386,10787,6588,21859,11341,17531,17121,3077,21817,15078,14306,12562,6239,97896,34682,10286,12643,25361,18833,19822,14806,6360,17066,4845,4106,13651,4390,2473,1366,6957,6238,8885,27599,4700,7332,4504,12581,10124,16882,26480,21061,15251,17657,47731,10565,21350,19136,12680,37200,11241,9835,6404,11495,6570,17471,8990,10587,7078,12194,9468,10360,11005,6776,6542,3814,1747,5226,5378,6623,7296,9131,12603,15011,7481,6860,7287,6645,7134,5776,5300,801,1831,2387,3496,982,1225,1519,6301,1525,2687,2666
2022-03-07,3406,13229,39940,32658,23585,13490,10789,3824,3138,13558,1897,4359,3512,9466,9721,17412,17373,5495,8892,2886,8347,8305,6135,24655,3135,9750,12450,14909,22447,15698,9174,23751,14556,29575,22181,9440,33623,24162,24581,18866,22917,97323,33745,18814,20963,22728,22584,23708,20040,12012,29129,6397,7516,17306,4044,3475,3241,13298,8849,11217,26358,8509,11672,7208,21424,22352,22735,35228,36055,24435,21045,44940,21465,28839,28206,17261,52551,18914,14679,13552,17995,11497,22219,18038,6468,10140,36039,21974,23569,20878,14501,10357,5495,4939,6475,10446,9343,11008,15558,25990,19343,13093,11920,12361,12168,11638,10781,8762,1412,2658,4143,4947,2573,3810,3190,7643,2436,4062,5009
2022-03-08,3259,13533,40445,34857,24112,13525,10538,3647,3259,13549,1999,4461,5173,9578,10196,17577,17414,5544,9039,3184,8290,8614,5765,26833,3058,11146,12694,15141,22729,16431,9196,24056,15052,30216,24599,9558,33902,24797,24646,19393,22333,98155,36696,19132,21735,27519,25172,26691,22240,12732,29674,6499,7876,19032,4495,3666,3303,14077,9555,12249,30061,8805,12354,7581,22105,23055,24274,35066,36662,25246,23069,47859,22030,29035,29552,18223,53730,19618,14824,13625,18297,12336,22379,18157,8538,10768,35666,22171,23374,21738,14324,10988,5765,4791,6620,10125,9363,11239,16349,26306,20760,13221,12295,12349,11896,11393,11185,9145,1499,2507,3935,4792,2584,3635,3111,7459,2445,4037,4863
2022-03-09,3357,13553,40524,35194,24248,13586,10819,3843,3396,13865,2079,4493,5503,9642,10070,17405,17740,5523,9256,3423,8633,8655,6023,29521,3165,11324,12785,15258,22576,16478,9249,24815,15010,30407,24829,9647,33945,24927,24726,19712,22231,100469,37965,19704,21722,27615,25553,26787,22209,12361,30278,6605,8100,19189,4362,3609,3329,14071,9584,12405,31148,8778,12515,7743,21926,22932,24565,35388,36855,25546,23123,49751,22825,29503,30111,18742,54099,19588,14799,13594,19132,12576,23213,18420,9023,10835,36178,22326,23790,21620,14180,11003,5792,4799,6789,10171,9376,11294,16211,26517,21235,13231,12254,12407,11851,11494,11047,8853,1483,2496,3930,4688,2517,3667,3023,7419,2461,3982,4930
2022-03-10,3350,13615,40818,36535,24377,13496,10627,3830,3390,13315,2017,4505,5540,9565,10380,17410,17383,5651,9073,3455,8409,8460,5806,30266,3236,11220,12723,15229,22513,16413,9187,24567,15087,30326,24615,9467,33925,24938,24559,19628,22297,105732,38571,19222,22202,27859,26230,26870,22059,12380,29494,6637,7864,19270,4516,3599,3250,13771,9451,12501,30401,9012,12695,7590,22132,22890,24341,35536,36667,25419,23308,49842,22525,30268,30717,18551,54644,18766,14663,14292,19815,12521,23235,18312,8904,10794,35900,22383,24032,21696,14405,11003,5840,4807,6642,10267,9336,11283,16328,26810,20786,13250,12251,12328,11909,11498,11081,8945,1471,2462,3916,4870,2579,3619,3032,7654,2442,3989,4803
