　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020-09-01,4581,14309,42923,39135,26342,13800,11563,3866,3059,12850,2014,4364,3482,8204,9841,18199,17961,5925,9047,2966,8369,8317,5974,27661,3387,10344,11911,15965,23107,15404,9736,24523,16977,32191,23675,9877,35618,25878,25313,19494,25505,118014,37482,21169,22140,25221,20953,23642,21946,12850,30369,6429,7764,17718,3826,3634,3479,11517,9267,10594,25322,8757,12462,7596,21849,22277,25996,38130,36918,25869,24924,51636,22001,27740,32669,20923,59864,21011,15641,15216,18147,13105,25040,19103,7477,11292,39231,23097,24238,22653,9171,10919,5322,5107,6129,9933,9398,11460,16886,28522,23108,13321,12195,12462,11825,11535,9409,9232,1023,2292,3617,4107,1968,2797,2483,6610,1948,3126,3684
2020-09-02,4505,14247,41689,38687,26038,13556,10977,3936,3059,12908,2150,4548,3945,8285,9694,17702,17555,5700,9191,3151,8269,8384,5699,28014,3441,10775,12149,16103,23085,15298,9782,23933,16779,32330,23654,9495,35299,25830,25043,19213,24031,115182,37273,20568,21293,24603,21405,23080,21936,12485,30325,6549,7672,18123,3734,3556,3313,11625,9214,10584,25534,8684,12707,7586,21583,22090,25764,37455,36595,25851,24920,51702,21411,27186,32628,20740,59525,20307,15740,15067,18187,13044,24864,18591,7332,10999,38565,24395,24320,23093,9028,10940,5291,4992,6074,9904,9206,11221,16510,27954,23113,13351,12215,12216,11877,11370,9471,9134,1014,2223,3448,3896,1867,2679,2466,6537,1993,3088,3649
2020-09-03,4749,14360,43672,41943,26859,13470,11548,3785,2985,12996,2189,4457,3759,8018,10404,17285,17927,5753,9291,3570,8140,8352,5777,27663,3746,10797,12183,15905,23414,15118,9740,25356,17105,32761,23180,9647,35949,25900,25404,19228,24438,123409,38977,21314,22285,25340,22132,24065,22294,12793,30168,6597,7879,18979,4199,3704,3212,11609,9504,10806,26801,8763,12671,7447,21767,22697,26394,39014,37279,26296,25195,54169,21378,28675,34235,21097,60822,20534,15843,15537,18846,13211,26456,19298,7585,11348,39644,24579,24630,22721,9262,10942,5381,5152,6096,10009,9519,11761,17038,28544,23181,13673,12225,12570,11828,11495,9467,9134,983,2253,3527,4012,1891,2782,2529,6722,2008,3150,3749
2020-09-04,4885,14919,45658,48185,27792,14151,11799,3875,3172,13395,2186,4591,4680,8366,12015,17389,17758,6063,9663,3258,8284,8853,5794,28533,3878,11505,12572,16808,24687,16446,10282,27178,18275,33719,25380,9731,37173,27033,26009,19743,25079,153025,45352,22849,23107,26963,24556,25906,24041,13087,31342,6793,8200,19264,4595,3702,3305,12320,9560,11219,29229,9159,14277,8085,22955,23342,28743,43215,38644,27383,27218,63593,22245,31395,39189,23760,70850,21305,16660,15643,22283,13867,33842,21026,8181,12455,41122,25651,25478,24324,8989,11533,5763,5253,6409,10162,10135,12101,17963,29192,25155,14097,12550,12895,12597,12153,9894,9641,995,2450,3502,4463,2062,2867,2524,7919,2073,3407,4011
2020-09-05,3059,9341,23801,44114,15943,9517,7554,3480,2356,8180,1715,2988,7246,6711,10713,5631,6893,3720,8000,3230,5509,5960,2339,17982,4054,10732,9739,12758,16589,13935,8497,26591,15401,27217,20307,5180,29804,20716,19626,16408,11998,143801,44591,17394,16119,27995,25479,23905,19480,9074,22866,5758,5445,14765,5464,3142,1706,7927,8084,11884,32640,6359,11221,6193,17003,15548,26131,37636,29234,20360,24599,67008,13843,30008,32682,19150,57577,14670,13881,11068,16821,9685,31930,13572,9179,10305,19727,16264,14472,16305,7253,8517,4769,2447,6265,7609,8992,10049,12848,19759,20967,10550,9205,10030,9425,9561,7220,7254,591,2167,2644,4113,1270,1099,1767,7502,1811,3052,2903
2020-09-06,3168,7851,17493,33417,12335,7872,6147,3226,2041,7438,1410,2834,7444,5643,8689,5068,5971,3509,6614,3160,4890,5156,2149,13537,4034,10478,8516,11525,14238,12611,7787,24878,13523,21256,16144,4263,25868,17528,16571,14050,9216,128359,35118,12322,14734,22444,22354,19921,16724,7227,19510,5137,4676,14123,4783,2646,1377,7242,6768,9505,31522,5714,9528,5113,14689,12253,21437,32826,25052,17189,20927,54856,11735,25658,23638,15016,46105,12515,11693,7628,13181,8526,27297,10557,8921,7887,14563,12089,11340,12983,6473,6771,4119,1925,5491,5989,7378,8511,10142,16146,17562,8650,7735,8507,7829,8384,6795,6162,622,2023,2453,3799,1103,922,1394,6784,1753,2678,2886
2020-09-07,4688,13906,41706,38644,25702,13961,11368,3754,3042,13073,2116,4315,4361,8466,9883,18901,17233,5437,8874,3199,8821,8329,5494,27686,3650,10895,12028,16283,23583,15704,9669,25042,16803,31889,23103,11146,35360,25476,25494,19403,24844,122236,37154,21055,21765,24934,23819,25145,22196,13073,31610,6514,7746,18238,4066,3396,3355,12614,9595,11044,28388,8878,12832,7485,22190,23620,26436,38859,37977,25935,24962,54279,19462,28439,32484,19816,59586,19754,16044,15348,18313,13525,30109,18538,7442,10863,37858,23280,23923,22132,10121,10882,5574,5033,6167,10012,9208,11280,16712,27770,22104,13689,12284,12383,11919,11646,9600,9162,1031,2323,3394,4159,1969,2737,2385,6793,2028,3271,3750
2020-09-08,4384,14417,43612,40988,26873,14707,11541,3728,3041,13249,2144,4328,4624,9134,10313,19442,17630,5590,9253,3231,8824,8457,5704,27985,3637,11104,12366,16781,24124,16194,9803,25595,17163,32839,24721,9695,36113,26354,25549,19648,25371,122212,38879,21581,22368,26469,23931,26091,23925,13084,32132,6704,8278,18862,4199,3709,3475,12365,9517,11089,28455,8785,12997,7651,22659,23942,27140,39274,38685,26255,25312,53813,20903,29385,33992,20791,60954,20933,15930,15637,18683,13534,26745,19376,7728,11353,39189,24125,24581,22552,10316,11241,5563,5114,6254,10139,9331,11858,17054,28298,23269,13858,12418,12570,12131,11873,9829,9448,1045,2236,3490,4074,1988,2784,2500,6785,2060,3179,3916
2020-09-09,4668,14796,43620,41394,26984,15230,11590,4030,2961,13346,2230,4273,4710,9222,12693,19685,17505,5519,9459,3283,9024,8670,5656,28213,3812,11255,12872,17124,24243,16269,10039,25795,17918,33705,24898,9717,36653,26801,26266,19999,24816,123889,39716,21998,22662,26214,24729,26197,23246,13015,32266,6770,7891,19226,4287,3683,3481,12385,9603,11304,29126,8980,13148,7745,22628,24079,27302,39793,38882,26565,25587,54882,21337,29540,34743,21222,62840,20920,15939,15385,19172,13616,27852,19682,7707,11671,39418,24571,25041,22755,10455,11405,5626,5147,6496,10320,9588,11814,17212,28171,23744,13927,12543,12560,12130,11912,9913,9317,1032,2416,3686,4168,1966,2804,2504,6955,2220,3210,3791
2020-09-10,4470,14800,44505,42410,27322,15045,11806,3909,3036,13365,2152,4512,4368,9133,10461,19550,17305,5503,9338,3212,8850,8646,5751,28377,4012,11013,12613,16976,23969,16041,10225,25895,17723,34264,24618,9812,36801,26706,26128,20044,25229,129183,40826,21945,23381,26974,25091,25973,23103,12850,31772,6776,8121,19087,4458,3692,3494,12392,9648,11253,29387,9001,13045,7789,22831,24269,27738,40594,38746,26752,26242,55084,23265,29814,35607,21193,63263,21289,16012,16096,19177,13683,32757,20026,7816,11776,40263,24681,24941,23125,11163,11364,5699,5064,6457,10336,9498,11831,17006,28654,23831,14008,12448,12836,12423,11745,9920,9423,1076,2331,3573,4285,1961,2813,2580,7253,2069,3266,3840
