　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020-12-01,3960,15355,45073,39746,27598,16140,12295,4007,3107,15151,2117,4852,4379,10915,10548,19741,18533,5953,9715,2972,9190,8980,6865,29352,3447,10815,12955,17347,25454,17564,10117,27357,17814,34723,24558,11990,38321,27410,27351,20898,25819,115062,37594,21553,24178,26361,26295,27772,26230,13351,32352,6947,8477,19012,4932,3724,3665,14477,9765,12060,29299,9138,13311,7906,23123,24833,27319,43124,41201,27207,25722,52048,24466,30610,33605,21351,62310,21811,16446,15732,19656,13070,26293,20220,7307,11374,40573,26827,25466,22690,15872,11549,5695,5369,6572,11064,10048,12340,17806,29823,23338,14081,12540,13229,12770,12376,11379,9722,1189,2589,3969,4777,2101,3264,2896,7648,2286,3643,4088
2020-12-02,4036,15594,45391,41706,27500,15981,12414,4097,3240,15251,2169,4883,4652,10864,10920,20046,18589,6161,10061,3195,9383,9077,6933,30009,3488,11484,13259,17656,26241,18110,10395,28116,18602,35542,25879,12136,39096,27964,27630,21301,26122,119391,40079,22473,24404,27015,27335,29839,26316,13273,33558,7263,8619,19994,5178,3823,3749,14867,9889,12779,30378,9204,13774,8090,23631,25202,28153,44848,41685,27455,27287,56051,25458,31677,35392,22556,64141,22039,16830,16185,20014,13628,29929,20484,7960,11716,41021,27328,25791,23694,15709,11824,5938,5378,6704,11080,10127,12512,17834,31003,24358,14264,13050,13447,12718,12408,11624,9860,1262,2673,4115,4650,2116,3366,3001,7830,2492,3628,4212
2020-12-03,4113,15672,46210,42765,27487,16599,12381,4004,3226,15491,2286,4936,4484,10847,11251,19826,18794,6172,10224,3175,9550,9068,6940,36626,3664,11434,13386,17711,25514,18135,10720,28552,18544,35326,25720,11968,38986,28278,27869,21276,26144,126188,40403,22121,24245,27014,27024,29130,27160,13403,32728,7052,8526,19708,5425,3710,3594,14379,9882,12053,29710,9278,13645,8070,23683,25017,28287,45404,41507,27587,27192,55539,25690,31854,36159,21913,66160,22260,16977,16514,22672,13243,29691,20572,7765,11701,40842,27779,26015,23099,15877,11737,5798,5316,6632,11256,10085,12656,18035,30676,24192,14485,12931,13701,13200,12552,11395,9711,1228,2594,4113,4799,2082,3162,2949,7975,2350,3734,4059
2020-12-04,4947,16329,48733,50428,29665,17376,13092,4224,3339,15630,2361,5155,4847,11153,13421,19705,18926,6580,10908,3301,9881,9687,7064,38840,3928,11671,13793,18902,27847,19074,11408,31565,20189,37029,28087,12278,40808,29121,28669,21828,26462,173227,49565,23875,25653,30993,28728,31318,28348,13664,34446,7400,9088,20991,6277,4002,3472,14367,10461,12875,31866,9820,15674,8732,25090,25614,32793,58281,43766,29620,32442,71046,27296,37111,41664,25516,80409,23435,18391,16866,28016,14407,34941,22286,8396,13183,43268,29524,27365,24844,15881,12974,6409,5551,7166,11360,11069,13474,19354,31948,26625,15194,13704,14569,13605,13094,11891,10365,1217,2946,4232,5277,2251,3294,3085,11077,2668,4196,4789
2020-12-05,2814,10738,29125,49062,18098,12219,8730,3604,2692,9389,1669,3290,6271,7558,14251,5785,7391,4360,8936,3224,6113,7016,2919,26288,4131,11314,10514,14780,19730,15833,9504,31318,17296,28822,27463,6761,33187,23188,22371,18159,12218,167727,53454,19976,17939,31032,26434,32663,25473,10518,26154,6355,6184,17592,7681,3481,1796,9082,8704,11679,31557,7182,13927,7832,20058,18498,35280,87068,35836,25018,37560,88931,18030,33125,38624,21963,75429,17566,15916,10091,20740,10365,34759,15376,9470,11419,26059,22058,16351,17489,14191,11593,6527,2707,7313,9667,10208,11354,14694,21820,22701,12058,10733,12320,10932,11063,9176,8755,928,2906,3611,5229,1632,1548,2468,16680,2536,4386,4561
2020-12-06,3091,9791,21138,36780,15618,10861,7041,3364,2225,7818,1393,2595,5898,6349,10701,4966,6692,3666,7525,2652,5365,5863,2365,19932,4083,10227,9157,12508,16053,15060,8503,32822,15492,24260,20822,4482,28626,19671,18945,15439,9977,156559,41761,13656,16470,29384,23077,29824,22332,8115,22819,5918,5134,16149,6724,2825,1451,7992,7518,11534,31872,6268,11194,5852,16656,13760,26738,59057,31812,21070,37494,67553,14467,26497,28178,17624,61561,14940,13579,8786,18492,8178,28924,11192,8625,8921,16071,18661,12925,13809,7934,8078,4873,2107,5814,6949,8317,9400,11123,16870,18391,9776,8968,9764,8927,9470,7264,7194,780,2478,3117,4759,1121,1129,1817,11465,2256,3390,3674
2020-12-07,4264,14897,43244,39587,26517,15255,12077,4004,3169,15011,2108,4863,5178,10466,10448,19174,17967,5795,9654,3156,9207,8877,6525,28314,3484,11199,12956,17483,24709,17741,10096,27770,17313,33851,23315,11368,37372,26896,27004,20873,25114,123264,38365,22009,23449,27117,26932,30257,23349,13412,32162,6926,7996,19406,5138,3631,3638,14343,9670,12791,31474,9197,13566,8123,23136,24684,28264,47994,40679,26893,26466,54009,23875,29954,33304,20751,64147,21148,17006,16058,19926,13389,26954,19637,7493,11487,38099,23792,24772,22329,11186,10938,5750,5155,6485,10182,9877,12059,17067,29311,22637,14050,12766,13082,12536,12097,11283,9673,1158,2546,3907,4679,2066,3181,2788,8658,2301,3606,4162
2020-12-08,4135,15561,46215,42044,28278,16052,12456,4083,3160,15292,2124,4950,4772,10942,11116,20145,18697,6121,9852,3212,9326,9078,6978,29454,3582,11303,13381,17826,25454,18114,10337,27827,18126,35572,25567,12281,38568,28006,27450,21294,26360,119630,39950,22325,24459,27748,26817,30212,23674,13759,33258,6942,8376,19853,5212,3779,3601,14577,9834,12436,30014,9128,13787,8143,23528,25002,28715,45605,41920,27818,26649,55110,25078,31088,34851,21543,64010,22294,16661,16014,19865,13404,27050,20662,7891,11841,41101,25218,25958,23072,16237,11792,5931,5535,6667,11068,10223,12240,17929,29938,23903,14192,12907,13598,12837,12402,11544,9829,1204,2602,4016,4643,2147,3261,2942,8002,2428,3649,4094
2020-12-09,4146,16044,46884,44457,28391,16650,12623,4136,3263,15474,2222,4922,4461,11059,11723,20263,19016,6199,10056,3146,9499,9212,6961,30208,3742,11222,13370,17960,25743,18114,10640,28329,18550,36457,26547,12205,39204,28342,27913,21480,26364,122107,42068,22968,24413,26712,26894,28478,24182,13359,32991,6982,8370,19786,5324,3843,3738,14814,9907,12192,29483,9123,13528,8029,23711,25249,28748,45933,42088,27975,26317,56946,26169,31994,36074,22285,66557,22668,17065,16158,20624,13093,27941,20853,7738,12031,42208,25201,26518,23444,15769,12058,5982,5550,6720,11177,10482,12643,18306,31325,24545,14474,13072,13617,13273,12569,11569,9857,1215,2720,4153,4833,2186,3457,3058,8051,2507,3816,4326
2020-12-10,4339,15826,46678,44516,28689,16259,12503,4049,3333,15443,2208,4858,4695,11237,11271,20130,18814,6130,10185,3282,9403,9372,6841,35428,3868,11511,13372,17868,25643,18202,10412,28731,18518,36195,26620,12046,39009,27762,27734,21226,25626,128981,43031,22386,24771,28024,27826,32204,24286,13417,32986,7117,8599,20253,5268,3806,3752,14635,9937,12879,31646,9357,14264,8121,24031,25348,29953,48634,42586,28214,27759,59030,25595,32186,37102,22378,69272,22523,17087,16783,21855,13893,28895,20963,8098,12010,41649,25299,26200,23631,15608,12115,5892,5448,6791,11091,10156,12550,17994,30528,24673,14520,13184,13617,12895,12589,11653,9916,1273,2624,4154,4798,2141,3268,2884,8526,2403,3747,4274
