　　　　車站日期,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2020-01-01,4389,7965,21946,42129,13333,7654,6953,3390,2105,8102,1346,2892,10904,5871,10826,5078,5879,3669,7342,3118,5498,5770,2752,27076,3459,10590,9198,12328,13197,13191,7832,23011,13308,20066,22557,4319,28714,19726,17603,16571,11557,159186,45261,17177,15760,27944,33111,27425,18802,7679,21680,5636,5155,16502,9187,2740,1766,8888,7988,10583,40856,6380,10513,5708,15817,13428,24555,44285,28533,18155,36451,90210,12756,28539,28780,17990,61254,12936,13677,8439,18955,12858,33948,12639,6735,13825,20078,17401,13867,19795,7330,7489,3903,2204,5956,6902,8649,10285,12510,21172,24380,9445,8878,9520,8916,9268,6894,6537,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,5668,16106,47151,47445,29383,16119,12749,4101,3310,15966,2273,5293,9576,11033,12117,20139,18562,5941,9816,3690,9413,9043,5858,35594,3462,11978,13018,18123,22970,18680,10358,29068,18737,36191,32673,12615,40415,29416,27241,23274,27764,151036,47069,26134,26286,29658,35207,33357,24605,13773,34285,7255,8610,21983,7897,3813,3831,14878,10429,12281,39120,9149,14584,7730,23730,25740,29868,44228,44324,27843,34602,76529,27244,36167,39629,25071,67714,22334,17679,16593,20843,16061,36306,21640,8771,15584,45954,26544,27563,28427,15001,11932,5694,5165,7152,10925,10189,13475,19810,34359,30561,14523,13384,13767,13087,12692,11192,9730,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,5765,16963,51301,53855,31000,18064,13354,4249,3250,17491,2365,5320,10021,11116,14563,20604,19100,6399,10468,3924,9739,9639,6361,38049,3469,12308,13881,19097,24731,19868,10763,31245,20331,37850,33677,12898,42280,30844,28820,24236,28332,176847,52825,28674,27279,31871,37324,34758,27357,14323,35596,7410,9398,22756,7723,3874,3868,15099,11123,12571,39312,9706,15904,8378,25046,26977,32750,48964,46655,29303,36222,86552,27910,38868,43763,27740,77079,23468,18844,17007,24605,16578,41392,23712,9350,17106,48529,32864,29096,30132,15038,13015,6112,5479,7778,11279,11042,14131,20993,35113,33007,15225,13859,14773,13682,13458,11809,10145,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,4476,10879,29221,51875,22588,12386,9549,4136,2721,10741,1810,4646,12235,7861,13771,6822,9456,5595,9141,4189,6866,7757,3270,31900,3666,12848,10607,15026,18831,16973,9928,29645,17912,29360,27923,7249,35534,25407,22210,19978,14607,166996,52870,23689,20918,32561,36372,31615,22631,10959,27085,6677,7189,20098,9027,3330,2038,10368,9725,11482,40491,7263,13804,7475,20130,18855,30432,44128,36137,24495,35676,89185,20170,35413,38892,23245,65591,19292,16178,10668,20332,13773,38723,16700,11818,15350,26354,23033,18560,22865,9482,10917,4907,3085,7423,9305,10331,12626,16572,25975,29516,12159,11593,12587,11362,11540,8856,8598,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,4426,8562,22314,41142,14529,8776,7448,3531,2387,8601,1563,3206,10173,6448,11964,5586,6999,4161,7640,4601,5653,5848,2420,24819,3555,11637,9252,12695,15299,16318,8499,27235,15357,23843,24148,5884,29799,21318,18266,17087,12648,154065,42717,17430,18250,26799,30816,25592,21170,8384,23984,5583,6550,16940,7567,3087,1826,9636,7906,10993,37856,6324,11190,5691,16576,14564,25004,39093,30649,20472,29775,75296,15509,29366,29053,18217,53283,14244,13534,8661,15955,11244,32222,12474,11135,12117,18618,16858,14344,18234,7361,11051,4267,2469,6143,7105,8116,10325,12522,20291,24284,9828,9026,10092,8925,9716,7440,6916,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,5701,15664,46600,44455,28281,15106,12361,4038,3263,15810,2238,5165,6511,10791,11956,19939,18214,5794,9480,3716,9342,8715,5923,30092,3101,11432,13087,18130,22856,18022,10013,26567,17924,35425,27857,11983,39982,29052,27417,23269,28813,139918,41818,25968,25411,28143,32008,30662,24645,13868,34839,7051,8308,21060,5805,3711,3763,14878,10556,12190,35305,9088,14206,8030,23573,26197,28839,43229,43780,27826,31951,70026,24488,34090,36783,23389,64861,22347,17224,16429,19503,15029,35384,20748,8196,14706,44474,25717,26645,26312,14570,11891,5687,5173,7015,10846,9782,12720,18844,32282,27664,14382,13219,13596,12974,12607,11228,9716,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,5479,16244,47704,45755,28791,15736,12809,4133,3167,15981,2431,5175,7673,11075,12197,20610,18525,5940,9816,3962,9433,9178,5948,30443,3237,11682,13153,18060,23251,19004,10410,27762,18723,36703,30581,12316,40323,29898,27852,23638,28988,138668,43493,26425,26027,29832,33388,31609,25636,14097,34780,7250,8453,21423,6367,3805,3887,15246,10647,12129,35736,9160,14488,7710,23801,26622,30033,43759,44722,28861,32435,71443,26684,34396,37983,23984,65676,22589,17434,16132,19794,14896,31827,21028,8506,14742,45407,26319,27145,26772,14933,12326,5798,5263,7014,10860,10094,12943,19153,32926,28627,14584,13397,13893,13122,12779,11246,9734,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,5539,16823,48320,48211,29142,16045,12944,4318,3442,16488,2332,5145,6683,11414,13725,20888,18934,5961,9871,3731,9760,9283,6098,31336,3284,11359,13691,18591,24183,19204,10745,28877,19363,37452,31767,12259,40844,30309,28178,23815,29649,142891,45952,26843,26110,29702,33008,31397,26064,14146,35850,7415,8612,21609,6455,3938,4060,15515,10762,12062,35305,9301,14728,7981,24059,26831,30291,44564,45198,28713,32952,75125,27029,35538,39270,25677,67584,22964,18019,16322,20355,14961,31849,21785,8304,15119,46641,27317,27756,26902,14775,12255,5873,5461,7155,11031,10422,13343,19392,33606,29690,14531,13696,14141,13154,13005,11301,9729,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,6176,17241,50955,50133,30164,16445,13480,4401,3532,16805,2619,5381,7424,11680,13721,20954,19120,6206,10497,4024,9936,9691,6113,34044,3664,12727,15285,20448,26076,21408,11773,32126,20435,38476,75413,13412,44447,32603,30000,25738,63319,171651,47583,27096,26879,31353,34436,32810,27320,14544,36205,7521,9176,22142,6466,4004,4108,15600,11070,12774,37384,9869,16957,8373,25206,27325,32256,47114,46946,29802,36622,84231,30893,37087,40855,25671,70952,23619,18200,17822,22095,16806,33793,23293,9216,15826,47881,28499,30114,28545,15493,12936,5869,5471,7395,11573,10587,13764,19835,35284,32918,15173,13999,14513,13540,13286,11768,10303,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,7008,17127,51783,54872,31444,16429,13568,4361,3805,16462,2372,5364,7266,11529,15218,21053,19240,6602,10970,4210,10311,9929,6234,36688,3569,12796,14692,19310,25525,20487,12055,32910,21087,38541,46106,13168,43072,32009,29684,25094,53631,222665,52240,28164,27136,31867,34460,32976,28393,14725,36283,7874,9208,23153,6806,4203,3974,15063,11245,12606,35813,10396,17726,8840,26309,27426,33554,52875,47987,30355,34811,87572,29975,38629,46035,27797,80924,24275,19191,17367,34231,16539,36701,24155,9779,17714,49066,29498,29861,29872,14981,13643,6372,5554,7827,11619,11151,14845,20770,35796,32439,16000,14535,15271,13951,13755,11739,10701,0,0,0,0,0,0,0,0,0,0,0
